Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 797, 100, 100, 0.062266, 1.000000, 5375, 53.750000, 2.381395
1.000000, -5.020600, 1.260419, 544, 100, 100, 0.042500, 1.000000, 4994, 49.939999, 2.563076
2.000000, -4.020600, 1.123350, 440, 100, 100, 0.034375, 1.000000, 4455, 44.549999, 2.873176
3.000000, -3.020600, 1.001187, 287, 100, 105, 0.021354, 0.952381, 4583, 43.647617, 2.932577
4.000000, -2.020600, 0.892308, 197, 100, 127, 0.012119, 0.787402, 5553, 43.724411, 2.927427
5.000000, -1.020600, 0.795271, 137, 100, 185, 0.005785, 0.540541, 8091, 43.735134, 2.926709
6.000000, -0.020600, 0.708786, 109, 100, 452, 0.001884, 0.221239, 19698, 43.579647, 2.937151
7.000000, 0.979400, 0.631706, 105, 100, 1207, 0.000680, 0.082850, 52514, 43.507870, 2.941996
8.000000, 1.979400, 0.563009, 100, 100, 4599, 0.000170, 0.021744, 200192, 43.529465, 2.940537
9.000000, 2.979400, 0.501782, 100, 100, 22225, 0.000035, 0.004499, 967026, 43.510731, 2.941803
10.000000, 3.979400, 0.447214, 100, 100, 206873, 0.000004, 0.000483, 9008120, 43.544205, 2.939542
11.000000, 4.979400, 0.398580, 100, 100, 3023170, 0.000000, 0.000033, 131915364, 43.634781, 2.933440
