Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.230000,1.000000,3.000000,104.065041,342.618347,0.640000,0.000000,1.000000,600.000000,178.272964,1.180000,1.000000,2.000000,325.423737,328.690765,24.360001,1.000000,3.000000,15.763546,6785.514648,0.660000,0.000000,3.000000,581.818176,183.843994,2.160000,1.000000,3.000000,59.259258,601.671326,0.930000,0.000000,1.000000,137.634415,259.052917
1.000000,1.188119,1.000000,2.000000,107.733330,338.547485,0.663366,0.000000,1.000000,578.865662,189.022339,1.198020,1.000000,2.000000,320.528931,341.368683,24.148516,1.000000,2.000000,15.901599,6880.978027,0.722772,1.000000,2.000000,531.287659,205.949722,2.306931,1.000000,2.000000,55.484978,657.346436,0.900990,0.000000,1.000000,142.065933,256.731873
2.000000,1.166667,1.000000,5.000000,109.714287,334.933777,0.637255,0.000000,1.000000,602.584595,182.947037,1.186275,1.000000,2.000000,323.702484,340.562958,24.245098,1.000000,5.000000,15.838253,6960.430664,0.764706,1.000000,5.000000,502.153839,219.536438,2.235294,1.000000,5.000000,57.263157,641.721863,0.803922,0.000000,1.000000,159.219513,230.794724
3.000000,1.163462,1.000000,2.000000,110.016525,338.826050,0.663462,0.000000,1.000000,578.782593,193.214859,1.201923,1.000000,2.000000,319.487976,350.026947,24.365385,1.000000,2.000000,15.760063,7095.746094,0.653846,0.000000,2.000000,587.294128,190.414642,2.201923,1.000000,2.000000,58.131004,641.249329,0.740385,0.000000,1.000000,172.883118,215.616592
4.000000,1.112000,1.000000,2.000000,115.107918,393.099518,0.664000,0.000000,1.000000,578.313293,234.728485,1.144000,1.000000,2.000000,335.664307,404.411774,24.256001,1.000000,23.000000,15.831134,8574.661133,0.720000,1.000000,2.000000,533.333313,254.524887,2.176000,1.000000,2.000000,58.823524,769.230774,0.704000,0.000000,1.000000,181.818176,248.868774
5.000000,1.142857,1.000000,2.000000,111.999992,587.734863,0.637363,0.000000,1.000000,602.482727,327.775208,1.148352,1.000000,2.000000,334.392334,590.560486,24.225275,1.000000,25.000000,15.851213,12458.283203,0.664835,1.000000,2.000000,577.586792,341.903412,2.197802,1.000000,2.000000,58.239998,1130.259277,0.681319,0.000000,1.000000,187.870956,350.380371
6.000000,1.148052,1.000000,2.000000,111.493210,1248.770874,0.605195,0.000000,1.000000,634.506409,658.288696,1.137662,1.000000,2.000000,337.534271,1237.469604,24.277922,1.000000,2.000000,15.816840,26407.830078,0.716883,1.000000,2.000000,535.652161,779.775391,2.210390,1.000000,2.000000,57.908344,2404.307373,0.662338,0.000000,1.000000,193.254898,720.444641
7.000000,1.147671,1.000000,2.000000,111.530220,3278.308594,0.649158,0.000000,4.000000,591.535889,1854.310913,1.162537,0.000000,2.000000,330.312012,3320.773926,24.241823,1.000000,26.000000,15.840393,69246.484375,0.702676,1.000000,2.000000,546.482361,2007.185547,2.230922,1.000000,2.000000,57.375389,6372.602051,0.676908,0.000000,1.000000,189.095169,1933.579224
8.000000,1.157983,1.000000,4.000000,110.537048,15667.551758,0.640301,0.000000,1.000000,599.717590,8663.301758,1.179954,1.000000,6.000000,325.436432,15964.822266,24.238962,1.000000,4.000000,15.842262,327954.093750,0.702448,1.000000,4.000000,546.659546,9504.151367,2.226407,1.000000,4.000000,57.491726,30123.376953,0.659761,0.000000,3.000000,194.009521,8926.597656
9.000000,1.155521,0.000000,4.000000,110.772537,73772.945312,0.636763,0.000000,3.000000,603.050354,40653.406250,1.166474,0.000000,4.000000,329.197083,74472.257812,24.241552,0.000000,25.000000,15.840569,1547674.875000,0.701286,0.000000,4.000000,547.565430,44772.820312,2.223725,0.000000,4.000000,57.561073,141971.250000,0.651042,0.000000,3.000000,196.607864,41565.054688
10.000000,1.156668,0.000000,9.000000,110.662712,652530.437500,0.633940,0.000000,5.000000,605.735840,357635.031250,1.166938,0.000000,5.000000,329.066406,658324.187500,24.245579,0.000000,9.000000,15.837939,13678065.000000,0.700478,0.000000,9.000000,548.197205,395172.312500,2.218648,0.000000,9.000000,57.692783,1251643.375000,0.646935,0.000000,5.000000,197.856018,364966.375000
11.000000,1.159654,0.000000,9.000000,110.377785,8103853.000000,0.633354,0.000000,4.000000,606.295776,4425985.500000,1.171286,0.000000,6.000000,327.844849,8185140.500000,24.133030,0.000000,26.000000,15.911802,168645648.000000,0.701628,0.000000,9.000000,547.298889,4903090.500000,2.225161,0.000000,9.000000,57.523937,15549793.000000,0.647875,0.000000,7.000000,197.569016,4527458.000000
