Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 281, 100, 100, 0.087812, 1.000000, 2288, 22.879999, 1.398601
1.000000, -5.020600, 1.260419, 256, 100, 104, 0.076923, 0.961538, 2785, 26.778847, 1.194973
2.000000, -4.020600, 1.123350, 233, 100, 107, 0.068049, 0.934579, 2470, 23.084112, 1.386235
3.000000, -3.020600, 1.001187, 194, 100, 116, 0.052263, 0.862069, 2221, 19.146551, 1.671319
4.000000, -2.020600, 0.892308, 157, 100, 115, 0.042663, 0.869565, 2191, 19.052174, 1.679598
5.000000, -1.020600, 0.795271, 134, 100, 147, 0.028486, 0.680272, 2876, 19.564627, 1.635605
6.000000, -0.020600, 0.708786, 128, 100, 214, 0.018692, 0.467290, 4074, 19.037384, 1.680903
7.000000, 0.979400, 0.631706, 115, 100, 343, 0.010477, 0.291545, 6137, 17.892128, 1.788496
8.000000, 1.979400, 0.563009, 107, 100, 919, 0.003638, 0.108814, 16566, 18.026115, 1.775202
9.000000, 2.979400, 0.501782, 101, 100, 1917, 0.001646, 0.052165, 34608, 18.053207, 1.772538
10.000000, 3.979400, 0.447214, 101, 100, 5835, 0.000541, 0.017138, 105202, 18.029478, 1.774871
11.000000, 4.979400, 0.398580, 100, 100, 28869, 0.000108, 0.003464, 519309, 17.988464, 1.778918
12.000000, 5.979400, 0.355234, 100, 100, 180568, 0.000017, 0.000554, 3253900, 18.020357, 1.775769
13.000000, 6.979400, 0.316603, 100, 100, 1463819, 0.000002, 0.000068, 26114482, 17.839966, 1.793725
14.000000, 7.979400, 0.282173, 100, 100, 28815046, 0.000000, 0.000003, 510976359, 17.732969, 1.804548
