Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.010000,0.000000,5.000000,31.683168,441.433563,0.750000,0.000000,3.000000,170.666672,327.797211,0.950000,0.000000,1.000000,134.736847,415.209778,10.840000,0.000000,11.000000,11.808118,4737.762207,0.840000,0.000000,5.000000,152.380951,367.132874,1.470000,0.000000,5.000000,21.768707,642.482544,0.930000,0.000000,3.000000,34.408604,406.468536
1.000000,0.951923,0.000000,2.000000,33.616161,369.694794,0.817308,0.000000,1.000000,156.611755,317.414734,0.846154,0.000000,1.000000,151.272720,328.617615,10.298077,0.000000,11.000000,12.429505,3999.425293,0.730769,0.000000,2.000000,175.157898,283.806091,1.769231,0.000000,2.000000,18.086958,687.109497,0.826923,0.000000,1.000000,38.697674,321.149017
2.000000,0.897196,0.000000,1.000000,35.666668,415.870422,0.785047,0.000000,1.000000,163.047607,363.886658,0.794393,0.000000,1.000000,161.129410,368.218628,9.616822,0.000000,1.000000,13.310010,4457.611328,0.757009,0.000000,1.000000,169.086426,350.890686,1.467290,0.000000,10.000000,21.808918,680.121460,0.869159,0.000000,1.000000,36.817204,402.874481
3.000000,0.862069,0.000000,2.000000,37.119999,522.287231,0.724138,0.000000,1.000000,176.761917,438.721252,0.827586,0.000000,1.000000,154.666656,501.395752,9.051724,0.000000,2.000000,14.140952,5484.016113,0.706897,0.000000,2.000000,181.073166,428.275513,1.301724,0.000000,2.000000,24.582781,788.653809,0.853448,0.000000,10.000000,37.494949,517.064392
4.000000,0.782609,0.000000,1.000000,40.888889,472.387054,0.660870,0.000000,1.000000,193.684219,398.904572,0.860870,0.000000,1.000000,148.686859,519.625732,9.095653,0.000000,9.000000,14.072658,5490.187012,0.678261,0.000000,1.000000,188.717957,409.402100,1.260870,0.000000,1.000000,25.379309,761.067993,0.747826,0.000000,1.000000,42.790695,451.392059
5.000000,0.863946,0.000000,1.000000,37.039368,649.130737,0.714286,0.000000,3.000000,179.199997,536.682861,0.843537,0.000000,1.000000,151.741943,633.796875,9.108844,0.000000,1.000000,14.052278,6843.984375,0.721088,0.000000,1.000000,177.509445,541.794128,1.292517,0.000000,2.000000,24.757895,971.140503,0.741497,0.000000,1.000000,43.155960,557.127991
6.000000,0.794393,0.000000,1.000000,40.282352,892.979858,0.649533,0.000000,1.000000,197.064743,730.142334,0.733645,0.000000,1.000000,174.471344,824.693176,8.700934,0.000000,1.000000,14.711063,9780.755859,0.663551,0.000000,1.000000,192.901413,745.900818,1.182243,0.000000,1.000000,27.067194,1328.964111,0.654206,0.000000,1.000000,48.914284,735.395203
7.000000,0.758017,0.000000,1.000000,42.215385,1453.153076,0.685131,0.000000,1.000000,186.825531,1313.426880,0.781341,0.000000,1.000000,163.820892,1497.865601,8.586006,0.000000,9.000000,14.907979,16459.751953,0.641399,0.000000,1.000000,199.563629,1229.591064,1.204082,0.000000,2.000000,26.576271,2308.277832,0.655977,0.000000,1.000000,48.782223,1257.536255
8.000000,0.809576,0.000000,1.000000,39.526882,4127.345215,0.672470,0.000000,1.000000,190.343033,3428.359375,0.746464,0.000000,1.000000,171.475220,3805.589844,8.574537,0.000000,9.000000,14.927919,43714.355469,0.676823,0.000000,1.000000,189.118958,3450.549561,1.179543,0.000000,2.000000,27.129150,6013.497559,0.642002,0.000000,1.000000,49.844070,3273.029297
9.000000,0.815858,0.000000,1.000000,39.222507,8663.281250,0.671362,0.000000,1.000000,190.657349,7128.927734,0.742827,0.000000,1.000000,172.314606,7887.795410,8.589462,0.000000,9.000000,14.901980,91208.164062,0.683359,0.000000,1.000000,187.309921,7256.328613,1.195096,0.000000,2.000000,26.776081,12690.265625,0.648409,0.000000,1.000000,49.351570,6885.203125
10.000000,0.779263,0.000000,3.000000,41.064438,25219.810547,0.680548,0.000000,1.000000,188.083603,22025.041016,0.758183,0.000000,2.000000,168.824600,24537.593750,8.572751,0.000000,3.000000,14.931029,277445.656250,0.682776,0.000000,3.000000,187.469879,22097.146484,1.200000,0.000000,3.000000,26.666666,38836.402344,0.665296,0.000000,1.000000,48.098919,21531.404297
11.000000,0.786934,0.000000,6.000000,40.664143,126292.039062,0.668260,0.000000,4.000000,191.542191,107246.515625,0.762721,0.000000,3.000000,167.820160,122406.218750,8.551560,0.000000,6.000000,14.968028,1372407.375000,0.672902,0.000000,6.000000,190.220932,107991.437500,1.189823,0.000000,6.000000,26.894756,190950.156250,0.654266,0.000000,3.000000,48.909782,105000.625000
12.000000,0.788528,0.000000,10.000000,40.581921,790123.062500,0.667942,0.000000,9.000000,191.633316,669293.062500,0.768021,0.000000,9.000000,166.662125,769574.125000,8.575528,0.000000,10.000000,14.926194,8592870.000000,0.672533,0.000000,10.000000,190.325134,673893.437500,1.192825,0.000000,10.000000,26.827074,1195237.125000,0.652917,0.000000,4.000000,49.010792,654237.875000
13.000000,0.775073,0.000000,7.000000,41.286419,6359693.000000,0.654665,0.000000,9.000000,195.519867,5371708.500000,0.752689,0.000000,5.000000,170.057022,6176021.000000,8.552767,0.000000,7.000000,14.965918,70177840.000000,0.659459,0.000000,7.000000,194.098404,5411048.000000,1.177620,0.000000,7.000000,27.173458,9662699.000000,0.638637,0.000000,32.000000,50.106712,5240195.000000
14.000000,0.582422,0.000000,11.000000,54.942993,94640168.000000,0.582298,0.000000,11.000000,219.818710,94620056.000000,0.582383,0.000000,11.000000,219.786606,94633872.000000,9.315808,0.000000,11.000000,13.740086,1513764736.000000,0.582299,0.000000,11.000000,219.818298,94620232.000000,0.863105,0.000000,11.000000,37.075424,140249632.000000,0.582285,0.000000,11.000000,54.955906,94617936.000000
