Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.240000,1.000000,5.000000,103.225807,625.315186,0.620000,0.000000,2.000000,206.451614,312.657593,0.870000,0.000000,1.000000,147.126434,438.729187,8.760000,1.000000,9.000000,14.611872,4417.549316,0.640000,1.000000,5.000000,200.000000,322.743317,1.990000,1.000000,5.000000,64.321609,1003.529968,0.880000,0.000000,1.000000,145.454544,443.772064
1.000000,1.220000,1.000000,2.000000,104.918030,636.411072,0.640000,0.000000,1.000000,200.000000,333.854980,0.860000,0.000000,1.000000,148.837204,448.617645,8.510000,1.000000,9.000000,15.041127,4439.228027,0.620000,0.000000,2.000000,206.451614,323.422028,1.980000,1.000000,2.000000,64.646461,1032.863892,0.870000,0.000000,1.000000,147.126434,453.834137
2.000000,1.310000,1.000000,2.000000,97.709930,682.291687,0.590000,0.000000,1.000000,216.949158,307.291656,0.900000,0.000000,6.000000,142.222229,468.750000,8.540000,1.000000,2.000000,14.988291,4447.916504,0.700000,1.000000,2.000000,182.857147,364.583344,1.920000,1.000000,2.000000,66.666672,1000.000000,0.870000,0.000000,1.000000,147.126434,453.125000
3.000000,1.200000,1.000000,2.000000,106.666664,659.192810,0.609524,0.000000,1.000000,209.999985,334.828094,0.838095,0.000000,1.000000,152.727264,460.388611,8.657143,1.000000,8.000000,14.785479,4755.604980,0.666667,1.000000,2.000000,192.000000,366.218231,1.933333,1.000000,2.000000,66.206902,1062.032837,0.857143,0.000000,1.000000,149.333328,470.851990
4.000000,1.246154,1.000000,2.000000,102.716049,828.155762,0.646154,0.000000,1.000000,198.095230,429.414093,0.807692,0.000000,1.000000,158.476196,536.767578,8.615385,1.000000,9.000000,14.857142,5725.521484,0.638462,1.000000,2.000000,200.481934,424.302002,1.946154,1.000000,2.000000,65.770752,1293.354370,0.746154,0.000000,1.000000,171.546402,495.871033
5.000000,1.217143,1.000000,2.000000,105.164322,1103.790283,0.680000,0.000000,1.000000,188.235291,616.671631,0.851429,0.000000,1.000000,150.335571,772.135071,8.600000,1.000000,2.000000,14.883720,7799.083008,0.685714,1.000000,2.000000,186.666656,621.853821,1.948571,1.000000,2.000000,65.689148,1767.101074,0.691429,0.000000,1.000000,185.123978,627.035828
6.000000,1.230769,1.000000,6.000000,103.999992,2253.745605,0.669516,0.000000,1.000000,191.182983,1225.995850,0.814815,0.000000,1.000000,157.090912,1492.062988,8.549857,1.000000,10.000000,14.971010,15656.226562,0.678063,1.000000,6.000000,188.773102,1241.646851,1.908832,1.000000,6.000000,67.056717,3495.392334,0.698006,0.000000,3.000000,183.379593,1278.165771
7.000000,1.202339,1.000000,2.000000,106.459145,5405.535156,0.650292,0.000000,3.000000,196.834534,2923.615967,0.832749,0.000000,1.000000,153.707870,3743.911621,8.564912,1.000000,9.000000,14.944695,38506.546875,0.657310,1.000000,2.000000,194.733093,2955.166016,1.918129,1.000000,2.000000,66.731712,8623.616211,0.653801,0.000000,1.000000,195.778183,2939.390869
8.000000,1.204229,1.000000,4.000000,106.292099,26297.470703,0.618212,0.000000,1.000000,207.048584,13500.278320,0.842143,0.000000,3.000000,151.993164,18390.390625,8.593705,1.000000,4.000000,14.894623,187665.937500,0.650889,1.000000,4.000000,196.654114,14213.856445,1.924315,1.000000,4.000000,66.517166,42022.433594,0.640798,0.000000,2.000000,199.751038,13993.486328
9.000000,1.196395,1.000000,3.000000,106.988106,138987.671875,0.615795,0.000000,3.000000,207.861481,71538.156250,0.846164,0.000000,2.000000,151.270859,98300.679688,8.589817,1.000000,7.000000,14.901365,997897.000000,0.640779,1.000000,3.000000,199.756897,74440.625000,1.925951,1.000000,3.000000,66.460670,223741.750000,0.635990,0.000000,2.000000,201.261063,73884.281250
10.000000,1.196280,0.000000,3.000000,106.998405,1302628.750000,0.623087,0.000000,5.000000,205.428757,678479.500000,0.841196,0.000000,14.000000,152.164337,915978.062500,8.598417,0.000000,10.000000,14.886460,9362817.000000,0.649353,0.000000,3.000000,197.119156,707080.937500,1.925898,0.000000,3.000000,66.462486,2097110.750000,0.646860,0.000000,5.000000,197.878998,704365.812500
11.000000,1.199359,0.000000,4.000000,106.723648,17588214.000000,0.625423,0.000000,3.000000,204.661636,9171618.000000,0.840256,0.000000,12.000000,152.334473,12322085.000000,8.545414,0.000000,4.000000,14.978794,125315712.000000,0.651237,0.000000,4.000000,196.549118,9550175.000000,1.926103,0.000000,4.000000,66.455414,28245682.000000,0.647480,0.000000,13.000000,197.689529,9495081.000000
