Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -3.010300, 1.000000, 780, 100, 100, 0.060938, 1.000000, 2777, 27.770000, 4.609291
1.000000, -2.010300, 0.891251, 617, 100, 100, 0.048203, 1.000000, 2760, 27.600000, 4.637681
2.000000, -1.010300, 0.794328, 441, 100, 100, 0.034453, 1.000000, 2761, 27.610001, 4.636002
3.000000, -0.010300, 0.707946, 298, 100, 104, 0.022386, 0.961538, 2865, 27.548077, 4.646422
4.000000, 0.989700, 0.630957, 185, 100, 126, 0.011471, 0.793651, 3452, 27.396826, 4.672074
5.000000, 1.989700, 0.562341, 143, 100, 189, 0.005911, 0.529101, 5210, 27.566137, 4.643378
6.000000, 2.989700, 0.501187, 112, 100, 435, 0.002011, 0.229885, 11913, 27.386208, 4.673886
7.000000, 3.989700, 0.446684, 104, 100, 1143, 0.000711, 0.087489, 31300, 27.384077, 4.674249
8.000000, 4.989700, 0.398107, 103, 100, 4781, 0.000168, 0.020916, 130798, 27.357876, 4.678726
9.000000, 5.989700, 0.354813, 100, 100, 24083, 0.000032, 0.004152, 658911, 27.360004, 4.678362
10.000000, 6.989700, 0.316228, 100, 100, 195225, 0.000004, 0.000512, 5341978, 27.363186, 4.677818
11.000000, 7.989700, 0.281838, 100, 100, 2908927, 0.000000, 0.000034, 79765894, 27.421072, 4.667943
