Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,10.560000,9.000000,15.000000,24.242424,10.628019,5.910000,5.000000,7.000000,173.265656,5.948068,5.800000,5.000000,8.000000,176.551712,5.837359,73.550003,9.000000,15.000000,13.922502,74.023758,0.930000,9.000000,15.000000,1101.075317,0.935990,0.820000,9.000000,15.000000,312.195129,0.825282,1.790000,1.000000,2.000000,143.016769,1.801530
1.000000,9.290000,9.000000,10.000000,27.556513,10.553221,5.300000,5.000000,6.000000,193.207535,6.020675,5.130000,4.000000,7.000000,199.610138,5.827559,65.260002,9.000000,10.000000,15.691081,74.133820,0.810000,1.000000,10.000000,1264.197510,0.920141,0.810000,9.000000,10.000000,316.049377,0.920141,1.430000,1.000000,2.000000,179.020981,1.624446
2.000000,9.080000,9.000000,10.000000,28.193832,10.534864,5.220000,5.000000,6.000000,196.168594,6.056387,5.100000,4.000000,6.000000,200.784317,5.917160,63.959999,9.000000,68.000000,16.010006,74.208145,0.850000,9.000000,10.000000,1204.705811,0.986193,0.760000,0.000000,10.000000,336.842102,0.881773,1.220000,1.000000,2.000000,209.836060,1.415477
3.000000,9.130000,9.000000,10.000000,28.039431,10.607645,5.250000,5.000000,6.000000,195.047623,6.099686,4.900000,4.000000,7.000000,208.979584,5.693040,64.029999,9.000000,64.000000,15.992504,74.392937,0.820000,1.000000,10.000000,1248.780518,0.952713,0.810000,0.000000,10.000000,316.049377,0.941094,1.130000,1.000000,2.000000,226.548676,1.312885
4.000000,9.174757,9.000000,11.000000,27.902647,10.667117,5.300971,5.000000,6.000000,193.172150,6.163224,4.990291,4.000000,6.000000,205.198456,5.802009,63.912621,9.000000,65.000000,16.021875,74.308609,0.796117,1.000000,11.000000,1286.243896,0.925612,0.737864,1.000000,11.000000,346.947357,0.857885,1.097087,1.000000,2.000000,233.345139,1.275539
5.000000,9.117647,9.000000,11.000000,28.077419,10.631001,5.169117,5.000000,6.000000,198.099579,6.027092,5.051471,4.000000,14.000000,202.713242,5.889917,63.933823,9.000000,65.000000,16.016562,74.545609,0.823529,9.000000,11.000000,1243.428589,0.960219,0.705882,9.000000,11.000000,362.666656,0.823045,0.963235,0.000000,2.000000,265.770996,1.123114
6.000000,9.115578,9.000000,11.000000,28.083794,10.626830,5.216080,5.000000,6.000000,196.315994,6.080843,5.005025,4.000000,6.000000,204.594391,5.834798,63.924622,9.000000,11.000000,16.018867,74.522552,0.788945,1.000000,11.000000,1297.936279,0.919742,0.773869,0.000000,11.000000,330.805206,0.902168,0.954774,0.000000,2.000000,268.126312,1.113064
7.000000,9.113553,9.000000,12.000000,28.090033,10.618412,5.184982,4.000000,6.000000,197.493454,6.041142,4.941392,4.000000,7.000000,207.229065,5.757330,64.049454,9.000000,64.000000,15.987646,74.625504,0.851648,1.000000,12.000000,1202.374268,0.992275,0.774725,9.000000,12.000000,330.439728,0.902650,0.912088,0.000000,3.000000,280.674683,1.062695
8.000000,9.126287,9.000000,10.000000,28.050837,10.634444,5.224810,5.000000,7.000000,195.988007,6.088232,4.908643,2.000000,7.000000,208.611618,5.719817,64.045227,9.000000,10.000000,15.988701,74.628967,0.845947,9.000000,10.000000,1210.477539,0.985743,0.735781,9.000000,10.000000,347.929413,0.857372,0.931482,0.000000,2.000000,274.830780,1.085414
9.000000,9.121161,8.000000,12.000000,28.066601,10.623418,5.222583,4.000000,7.000000,196.071564,6.082743,4.907001,4.000000,7.000000,208.681427,5.715185,64.120193,8.000000,12.000000,15.970008,74.680801,0.830233,1.000000,12.000000,1233.388062,0.966973,0.732234,1.000000,12.000000,349.615143,0.852833,0.925601,0.000000,4.000000,276.577057,1.078048
10.000000,9.123493,5.000000,14.000000,28.059427,10.635839,5.226799,3.000000,20.000000,195.913422,6.093213,4.838895,0.000000,11.000000,211.618546,5.641009,64.106987,5.000000,64.000000,15.973298,74.733612,0.834668,5.000000,14.000000,1226.834839,0.973026,0.727638,1.000000,14.000000,351.823151,0.848255,0.922184,0.000000,3.000000,277.601868,1.075049
11.000000,9.087716,6.000000,14.000000,28.169893,10.992080,5.207261,2.000000,10.000000,196.648499,6.298461,4.761666,1.000000,18.000000,215.050766,5.759491,64.026192,6.000000,14.000000,15.993455,77.443115,0.830062,6.000000,14.000000,1233.642578,1.004005,0.725725,1.000000,14.000000,352.750885,0.877803,0.917611,0.000000,6.000000,278.985260,1.109900
