Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, 0.000000, 0.707107, 2063, 100, 100, 0.080586, 1.000000, 4751, 47.509998, 5.388340
1.000000, 1.000000, 0.630210, 1449, 100, 100, 0.056602, 1.000000, 4367, 43.669998, 5.862148
2.000000, 2.000000, 0.561675, 972, 100, 100, 0.037969, 1.000000, 4399, 43.990002, 5.819504
3.000000, 3.000000, 0.500593, 583, 100, 101, 0.022548, 0.990099, 4065, 40.247524, 6.360640
4.000000, 4.000000, 0.446154, 344, 100, 102, 0.013174, 0.980392, 4129, 40.480392, 6.324049
5.000000, 5.000000, 0.397635, 218, 100, 119, 0.007156, 0.840336, 4864, 40.873951, 6.263158
6.000000, 6.000000, 0.354393, 145, 100, 202, 0.002804, 0.495050, 8311, 41.143566, 6.222115
7.000000, 7.000000, 0.315853, 111, 100, 564, 0.000769, 0.177305, 23108, 40.971630, 6.248226
8.000000, 8.000000, 0.281504, 104, 100, 2039, 0.000199, 0.049044, 83474, 40.938694, 6.253253
9.000000, 9.000000, 0.250891, 100, 100, 10458, 0.000037, 0.009562, 428377, 40.961655, 6.249747
10.000000, 10.000000, 0.223607, 100, 100, 95313, 0.000004, 0.001049, 3905708, 40.977707, 6.247300
11.000000, 11.000000, 0.199290, 100, 100, 1291282, 0.000000, 0.000077, 53003401, 41.047115, 6.236736
