Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 473, 100, 101, 0.146349, 0.990099, 3036, 30.059406, 1.064559
1.000000, -5.020600, 1.260419, 383, 100, 103, 0.116201, 0.970874, 2422, 23.514563, 1.360859
2.000000, -4.020600, 1.123350, 303, 100, 107, 0.088493, 0.934579, 2502, 23.383177, 1.368505
3.000000, -3.020600, 1.001187, 241, 100, 109, 0.069094, 0.917431, 2797, 25.660551, 1.247050
4.000000, -2.020600, 0.892308, 187, 100, 128, 0.045654, 0.781250, 3183, 24.867188, 1.286836
5.000000, -1.020600, 0.795271, 145, 100, 171, 0.026499, 0.584795, 3651, 21.350878, 1.498767
6.000000, -0.020600, 0.708786, 141, 100, 226, 0.019497, 0.442478, 4827, 21.358408, 1.498239
7.000000, 0.979400, 0.631706, 116, 100, 415, 0.008735, 0.240964, 8853, 21.332531, 1.500057
8.000000, 1.979400, 0.563009, 107, 100, 1001, 0.003340, 0.099900, 21435, 21.413586, 1.494378
9.000000, 2.979400, 0.501782, 102, 100, 2183, 0.001460, 0.045809, 46335, 21.225378, 1.507629
10.000000, 3.979400, 0.447214, 101, 100, 6854, 0.000460, 0.014590, 145523, 21.231836, 1.507171
11.000000, 4.979400, 0.398580, 100, 100, 31452, 0.000099, 0.003179, 661468, 21.031031, 1.521561
12.000000, 5.979400, 0.355234, 100, 100, 197331, 0.000016, 0.000507, 4140783, 20.983946, 1.524975
13.000000, 6.979400, 0.316603, 100, 100, 1526863, 0.000002, 0.000065, 31889556, 20.885670, 1.532151
14.000000, 7.979400, 0.282173, 100, 100, 28703906, 0.000000, 0.000003, 599061782, 20.870392, 1.533273
