Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.099010,2.000000,4.000000,15.245282,11.565740,1.495049,1.000000,6.000000,85.615898,8.237861,1.574257,1.000000,2.000000,81.308182,8.674304,10.237624,2.000000,4.000000,12.502901,56.410255,0.762376,1.000000,4.000000,167.896103,4.200764,0.920792,2.000000,4.000000,34.752686,5.073649,1.059406,0.000000,10.000000,30.205608,5.837424
1.000000,2.048544,2.000000,3.000000,15.620853,12.070939,1.388350,1.000000,2.000000,92.195801,8.180779,1.427184,1.000000,2.000000,89.687073,8.409612,9.592233,2.000000,10.000000,13.344130,56.521740,0.883495,2.000000,3.000000,144.879120,5.205950,0.718447,2.000000,3.000000,44.540539,4.233410,0.912621,0.000000,2.000000,35.063828,5.377575
2.000000,2.000000,1.000000,3.000000,16.000000,12.008979,1.317757,1.000000,2.000000,97.134750,7.912458,1.383178,1.000000,2.000000,92.540543,8.305275,9.607476,1.000000,3.000000,13.322958,57.687988,0.785047,1.000000,3.000000,163.047607,4.713805,0.785047,1.000000,3.000000,40.761902,4.713805,0.775701,0.000000,1.000000,41.253014,4.657688
3.000000,2.018349,1.000000,4.000000,15.854545,12.394367,1.311927,1.000000,2.000000,97.566437,8.056338,1.366972,1.000000,2.000000,93.637589,8.394367,9.321101,1.000000,10.000000,13.732283,57.239441,0.688073,1.000000,4.000000,186.026672,4.225352,0.706422,1.000000,4.000000,45.298702,4.338028,0.871560,0.000000,1.000000,36.715790,5.352113
4.000000,1.898438,1.000000,2.000000,16.855967,12.107623,1.335938,1.000000,5.000000,95.812866,8.520180,1.351562,1.000000,5.000000,94.705200,8.619830,8.960938,1.000000,9.000000,14.284220,57.149975,0.750000,1.000000,2.000000,170.666672,4.783258,0.679688,1.000000,2.000000,47.080460,4.334828,0.703125,0.000000,1.000000,45.511112,4.484305
5.000000,1.801170,1.000000,2.000000,17.766233,12.068965,1.163743,1.000000,3.000000,109.989952,7.797805,1.251462,1.000000,2.000000,102.280373,8.385579,8.649123,1.000000,2.000000,14.799188,57.954544,0.678363,1.000000,2.000000,188.689667,4.545455,0.637427,1.000000,2.000000,50.201836,4.271160,0.742690,0.000000,1.000000,43.086613,4.976490
6.000000,1.787611,1.000000,2.000000,17.900990,12.041729,1.203540,1.000000,2.000000,106.352936,8.107303,1.243363,1.000000,2.000000,102.946625,8.375559,8.557522,1.000000,2.000000,14.957602,57.645306,0.663717,1.000000,2.000000,192.853333,4.470939,0.685841,1.000000,2.000000,46.658062,4.619970,0.703540,0.000000,1.000000,45.484276,4.739196
7.000000,1.756626,1.000000,2.000000,18.216736,11.990131,1.178313,1.000000,2.000000,108.629860,8.042764,1.200000,1.000000,2.000000,106.666664,8.190790,8.585542,1.000000,9.000000,14.908786,58.601974,0.583133,1.000000,2.000000,219.504135,3.980263,0.640964,0.000000,2.000000,49.924812,4.375000,0.706024,0.000000,1.000000,45.324230,4.819079
8.000000,1.794206,1.000000,2.000000,17.835190,12.069892,1.220779,0.000000,2.000000,104.851067,8.212365,1.234765,0.000000,2.000000,103.663429,8.306452,8.593407,1.000000,2.000000,14.895141,57.809139,0.664336,0.000000,2.000000,192.673676,4.469086,0.691309,1.000000,2.000000,46.289017,4.650537,0.666334,0.000000,1.000000,48.023987,4.482527
9.000000,1.801649,1.000000,2.000000,17.761505,12.180242,1.202016,1.000000,2.000000,106.487808,8.126354,1.211177,1.000000,4.000000,105.682304,8.188293,8.579477,1.000000,9.000000,14.919324,58.002476,0.672927,1.000000,2.000000,190.213760,4.549396,0.648191,1.000000,2.000000,49.368198,4.382161,0.676134,0.000000,1.000000,47.327915,4.571074
10.000000,1.789758,1.000000,3.000000,17.879513,12.083453,1.213598,1.000000,2.000000,105.471512,8.193540,1.203093,1.000000,2.000000,106.392433,8.122617,8.592355,1.000000,10.000000,14.896964,58.010815,0.663262,1.000000,3.000000,192.985489,4.477980,0.651590,1.000000,3.000000,49.110615,4.399176,0.697987,0.000000,2.000000,45.846153,4.712419
11.000000,1.792096,1.000000,3.000000,17.856188,12.145719,1.195155,1.000000,3.000000,107.099121,8.100019,1.194868,0.000000,3.000000,107.124771,8.098079,8.591313,1.000000,3.000000,14.898769,58.226612,0.661166,1.000000,3.000000,193.597305,4.480976,0.637257,1.000000,3.000000,50.215237,4.318933,0.683104,0.000000,5.000000,46.844963,4.629660
