Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.046729,1.000000,6.000000,15.634703,20.896948,0.897196,0.000000,5.000000,35.666668,9.160305,1.009346,0.000000,2.000000,31.703705,10.305344,3.429907,1.000000,6.000000,9.329700,35.019085,0.728972,1.000000,6.000000,43.897438,7.442748,0.757009,1.000000,6.000000,42.271606,7.729008,0.925234,0.000000,1.000000,34.585857,9.446566
1.000000,1.955357,1.000000,2.000000,16.365297,21.037466,0.883929,0.000000,1.000000,36.202019,9.510087,1.008929,0.000000,2.000000,31.716816,10.854947,2.982143,1.000000,3.000000,10.730538,32.084538,0.839286,1.000000,2.000000,38.127659,9.029779,0.785714,1.000000,2.000000,40.727272,8.453410,0.839286,0.000000,1.000000,38.127659,9.029779
2.000000,1.950000,1.000000,3.000000,16.410255,21.378231,0.914286,0.000000,1.000000,35.000000,10.023493,0.964286,0.000000,2.000000,33.185184,10.571652,2.992857,1.000000,3.000000,10.692123,32.811279,0.757143,1.000000,3.000000,42.264153,8.300705,0.735714,1.000000,3.000000,43.495148,8.065779,0.807143,0.000000,1.000000,39.646019,8.848865
3.000000,1.871921,1.000000,2.000000,17.094736,20.867655,0.866995,0.000000,1.000000,36.909088,9.665019,0.970443,0.000000,2.000000,32.974617,10.818232,3.019704,1.000000,2.000000,10.597064,33.662819,0.709360,1.000000,2.000000,45.111111,7.907743,0.709360,1.000000,2.000000,45.111111,7.907743,0.822660,0.000000,1.000000,38.898205,9.170785
4.000000,1.767974,1.000000,6.000000,18.099815,21.502386,0.807190,0.000000,1.000000,39.643726,9.817170,0.879085,0.000000,4.000000,36.401489,10.691573,2.725490,1.000000,6.000000,11.741008,33.147854,0.663399,1.000000,6.000000,48.236454,8.068362,0.656863,1.000000,6.000000,48.716419,7.988871,0.722222,0.000000,1.000000,44.307693,8.783784
5.000000,1.719388,1.000000,5.000000,18.611277,21.826426,0.750000,0.000000,1.000000,42.666668,9.520725,0.862245,0.000000,1.000000,37.112427,10.945596,2.617347,1.000000,5.000000,12.226121,33.225391,0.622449,1.000000,5.000000,51.409836,7.901555,0.613946,1.000000,5.000000,52.121883,7.793610,0.692177,0.000000,1.000000,46.230957,8.786701
6.000000,1.713109,1.000000,3.000000,18.679487,21.662907,0.750858,0.000000,1.000000,42.617916,9.494880,0.883322,0.000000,1.000000,36.226883,11.169936,2.597117,1.000000,3.000000,12.321353,32.841522,0.629375,1.000000,3.000000,50.844055,7.958688,0.593686,1.000000,3.000000,53.900581,7.507377,0.740563,0.000000,1.000000,43.210381,9.364694
7.000000,1.699944,1.000000,2.000000,18.824144,21.491426,0.754576,0.000000,2.000000,42.407936,9.539670,0.863283,0.000000,2.000000,37.067780,10.913999,2.625069,1.000000,2.000000,12.190154,33.187252,0.632002,1.000000,2.000000,50.632732,7.990043,0.621742,1.000000,2.000000,51.468334,7.860323,0.713256,0.000000,1.000000,44.864697,9.017284
8.000000,1.710104,1.000000,3.000000,18.712307,21.536118,0.769987,0.000000,2.000000,41.559166,9.696788,0.867101,0.000000,2.000000,36.904579,10.919795,2.634347,1.000000,3.000000,12.147223,33.175518,0.638174,1.000000,3.000000,50.143101,8.036807,0.623953,0.000000,3.000000,51.285927,7.857720,0.696970,0.000000,2.000000,45.913044,8.777253
9.000000,1.701331,0.000000,4.000000,18.808800,21.455839,0.765187,0.000000,2.000000,41.819824,9.649934,0.866075,0.000000,2.000000,36.948303,10.922249,2.660801,0.000000,4.000000,12.026454,33.555904,0.630168,0.000000,4.000000,50.780090,7.947181,0.637795,0.000000,4.000000,50.172825,8.043369,0.668098,0.000000,8.000000,47.897175,8.425519
10.000000,1.707548,0.000000,4.000000,18.740326,21.428089,0.772141,0.000000,3.000000,41.443211,9.689631,0.869090,0.000000,4.000000,36.820118,10.906250,2.660532,0.000000,4.000000,12.027669,33.387135,0.640092,0.000000,4.000000,49.992790,8.032546,0.642001,0.000000,4.000000,49.844170,8.056498,0.677331,0.000000,3.000000,47.244270,8.499853
11.000000,1.686530,0.000000,9.000000,18.973867,30.640093,0.760952,0.000000,7.000000,42.052586,13.824620,0.863379,0.000000,7.000000,37.063671,15.685469,2.712975,0.000000,9.000000,11.795171,49.288059,0.632359,0.000000,9.000000,50.604172,11.488400,0.638080,0.000000,9.000000,50.150490,11.592330,0.664400,0.000000,5.000000,48.163761,12.070507
