Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -3.010300, 1.000000, 267, 100, 108, 0.077257, 0.925926, 2081, 19.268518, 1.660740
1.000000, -2.010300, 0.891251, 237, 100, 120, 0.061719, 0.833333, 2162, 18.016666, 1.776133
2.000000, -1.010300, 0.794328, 199, 100, 137, 0.045392, 0.729927, 2471, 18.036497, 1.774181
3.000000, -0.010300, 0.707946, 179, 100, 156, 0.035857, 0.641026, 2761, 17.698717, 1.808041
4.000000, 0.989700, 0.630957, 143, 100, 183, 0.024419, 0.546448, 3149, 17.207651, 1.859638
5.000000, 1.989700, 0.562341, 128, 100, 256, 0.015625, 0.390625, 4144, 16.187500, 1.976834
6.000000, 2.989700, 0.501187, 110, 100, 413, 0.008323, 0.242131, 6649, 16.099274, 1.987667
7.000000, 3.989700, 0.446684, 107, 100, 773, 0.004326, 0.129366, 12396, 16.036222, 1.995482
8.000000, 4.989700, 0.398107, 103, 100, 1700, 0.001893, 0.058824, 27058, 15.916471, 2.010496
9.000000, 5.989700, 0.354813, 101, 100, 4022, 0.000785, 0.024863, 64510, 16.039284, 1.995102
10.000000, 6.989700, 0.316228, 100, 100, 13013, 0.000240, 0.007685, 208118, 15.993084, 2.000865
11.000000, 7.989700, 0.281838, 100, 100, 42845, 0.000073, 0.002334, 679595, 15.861711, 2.017437
