Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 3728, 100, 100, 0.145625, 1.000000, 11727, 117.269997, 2.182997
1.000000, -5.020600, 1.260419, 3068, 100, 100, 0.119844, 1.000000, 10178, 101.779999, 2.515229
2.000000, -4.020600, 1.123350, 2305, 100, 100, 0.090039, 1.000000, 9669, 96.690002, 2.647637
3.000000, -3.020600, 1.001187, 1726, 100, 100, 0.067422, 1.000000, 9623, 96.230003, 2.660293
4.000000, -2.020600, 0.892308, 1214, 100, 100, 0.047422, 1.000000, 9582, 95.820000, 2.671676
5.000000, -1.020600, 0.795271, 746, 100, 100, 0.029141, 1.000000, 9580, 95.800003, 2.672234
6.000000, -0.020600, 0.708786, 490, 100, 100, 0.019141, 1.000000, 9548, 95.480003, 2.681190
7.000000, 0.979400, 0.631706, 275, 100, 109, 0.009855, 0.917431, 10395, 95.366974, 2.684367
8.000000, 1.979400, 0.563009, 156, 100, 138, 0.004416, 0.724638, 13143, 95.239128, 2.687971
9.000000, 2.979400, 0.501782, 120, 100, 297, 0.001578, 0.336700, 28291, 95.255890, 2.687498
10.000000, 3.979400, 0.447214, 104, 100, 830, 0.000489, 0.120482, 78983, 95.160240, 2.690199
11.000000, 4.979400, 0.398580, 100, 100, 3522, 0.000111, 0.028393, 335041, 95.128052, 2.691109
12.000000, 5.979400, 0.355234, 101, 100, 21281, 0.000019, 0.004699, 2024916, 95.151352, 2.690450
13.000000, 6.979400, 0.316603, 100, 100, 205541, 0.000002, 0.000487, 19565198, 95.188782, 2.689393
14.000000, 7.979400, 0.282173, 100, 100, 3601489, 0.000000, 0.000028, 341140619, 94.722099, 2.702643
