Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,11.010000,10.000000,18.000000,23.251589,10.539920,5.910000,5.000000,7.000000,173.265656,5.657668,5.560000,4.000000,11.000000,184.172668,5.322612,72.360001,10.000000,18.000000,14.151464,69.270538,0.930000,10.000000,18.000000,1101.075317,0.890293,6.410000,6.000000,18.000000,39.937599,6.136320,2.280000,1.000000,3.000000,112.280701,2.182654
1.000000,10.160000,9.000000,22.000000,25.196850,10.777555,5.360000,5.000000,6.000000,191.044769,5.685796,4.940000,4.000000,6.000000,207.287445,5.240267,65.430000,9.000000,22.000000,15.650313,69.407028,0.810000,0.000000,22.000000,1264.197510,0.859234,5.740000,6.000000,22.000000,44.599304,6.088894,1.830000,1.000000,3.000000,139.890701,1.941233
2.000000,9.790000,9.000000,11.000000,26.149132,10.676118,5.210000,5.000000,6.000000,196.545105,5.681571,4.950000,4.000000,6.000000,206.868698,5.398037,63.880001,9.000000,66.000000,16.030056,69.661942,0.850000,9.000000,11.000000,1204.705811,0.926936,5.440000,9.000000,11.000000,47.058823,5.932388,1.580000,1.000000,3.000000,162.025314,1.723010
3.000000,9.840000,9.000000,10.000000,26.016260,10.745877,5.280000,5.000000,6.000000,193.939392,5.766080,4.870000,4.000000,6.000000,210.266953,5.318336,64.089996,9.000000,64.000000,15.977532,69.990166,0.780000,9.000000,10.000000,1312.820557,0.851807,5.310000,5.000000,10.000000,48.210922,5.798842,1.400000,1.000000,2.000000,182.857147,1.528885
4.000000,9.850000,9.000000,10.000000,25.989847,10.783886,5.240000,5.000000,6.000000,195.419861,5.736808,4.880000,4.000000,6.000000,209.836060,5.342676,63.939999,9.000000,65.000000,16.015015,70.002190,0.830000,9.000000,10.000000,1233.734985,0.908693,5.210000,5.000000,10.000000,49.136276,5.703963,1.390000,1.000000,2.000000,184.172668,1.521787
5.000000,9.740000,9.000000,10.000000,26.283369,10.700945,5.310000,5.000000,6.000000,192.843689,5.833883,4.940000,4.000000,7.000000,207.287445,5.427379,64.089996,9.000000,64.000000,15.977532,70.413094,0.790000,9.000000,10.000000,1296.202515,0.867941,5.020000,5.000000,10.000000,50.996017,5.515272,1.130000,1.000000,2.000000,226.548676,1.241485
6.000000,9.820000,9.000000,10.000000,26.069248,10.795955,5.240000,5.000000,6.000000,195.419861,5.760774,4.900000,4.000000,6.000000,208.979584,5.386983,63.939999,9.000000,64.000000,16.015015,70.294632,0.810000,0.000000,10.000000,1264.197510,0.890501,5.120000,6.000000,10.000000,50.000000,5.628848,1.130000,0.000000,2.000000,226.548676,1.242304
7.000000,9.633027,9.000000,10.000000,26.575239,10.639376,5.211009,5.000000,6.000000,196.507050,5.755395,4.798165,4.000000,6.000000,213.414902,5.299423,64.027519,9.000000,63.000000,15.993123,70.716385,0.889908,1.000000,10.000000,1150.680420,0.982876,4.926606,9.000000,10.000000,51.962753,5.441281,1.055046,1.000000,2.000000,242.643478,1.165265
8.000000,9.739130,9.000000,10.000000,26.285715,10.768368,5.231884,5.000000,6.000000,195.722992,5.784793,4.862319,4.000000,7.000000,210.599106,5.376172,63.840580,9.000000,10.000000,16.039955,70.587296,0.855072,1.000000,10.000000,1197.559326,0.945437,4.934783,9.000000,10.000000,51.876652,5.456293,0.978261,0.000000,2.000000,261.688873,1.081644
9.000000,9.747475,9.000000,10.000000,26.263212,10.775300,5.222222,5.000000,6.000000,196.085098,5.772881,4.838384,4.000000,6.000000,211.640930,5.348569,63.952862,9.000000,10.000000,16.011793,70.696388,0.821549,9.000000,10.000000,1246.426270,0.908177,4.925926,5.000000,10.000000,51.969929,5.445342,0.952862,0.000000,2.000000,268.664307,1.053337
10.000000,9.755422,9.000000,11.000000,26.241817,10.781625,5.219277,5.000000,6.000000,196.195755,5.768309,4.862650,4.000000,7.000000,210.584747,5.374168,63.993977,9.000000,64.000000,16.001507,70.725700,0.826506,9.000000,11.000000,1238.950439,0.913449,4.896386,5.000000,11.000000,52.283463,5.411452,0.927711,0.000000,2.000000,275.948059,1.025300
11.000000,9.745883,9.000000,11.000000,26.267502,10.774239,5.225156,5.000000,6.000000,195.975006,5.776499,4.877910,4.000000,7.000000,209.925964,5.392612,63.965927,9.000000,66.000000,16.008522,70.715416,0.833617,9.000000,11.000000,1228.381470,0.921578,4.878478,9.000000,11.000000,52.475384,5.393240,0.928450,0.000000,2.000000,275.728424,1.026417
12.000000,9.750059,9.000000,13.000000,26.256250,10.777326,5.224050,4.000000,7.000000,196.016510,5.774456,4.868239,4.000000,7.000000,210.342987,5.381157,63.986656,9.000000,64.000000,16.003336,70.728294,0.831305,1.000000,13.000000,1231.798340,0.918891,4.889056,9.000000,13.000000,52.361851,5.404167,0.918895,0.000000,3.000000,278.595551,1.015710
13.000000,9.750093,8.000000,22.000000,26.256159,10.805512,5.227736,4.000000,8.000000,195.878311,5.793622,4.873037,4.000000,28.000000,210.135880,5.400529,64.027641,8.000000,22.000000,15.993093,70.958443,0.829698,8.000000,22.000000,1234.183716,0.919511,4.889438,4.000000,22.000000,52.357754,5.418705,0.919583,0.000000,5.000000,278.387054,1.019125
14.000000,9.611525,5.000000,32.000000,26.634693,11.645875,5.151295,2.000000,24.000000,198.784973,6.241604,4.823337,1.000000,28.000000,212.301147,5.844232,64.008163,5.000000,32.000000,15.997959,77.555969,0.822395,1.000000,32.000000,1245.144043,0.996461,4.833107,5.000000,32.000000,52.967991,5.856071,0.915846,0.000000,10.000000,279.523102,1.109691
