Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,11.340000,10.000000,13.000000,22.574955,17.917522,3.420000,3.000000,4.000000,149.707596,5.403697,4.130000,3.000000,5.000000,123.970940,6.525517,37.599998,10.000000,36.000000,13.617022,59.409065,0.900000,1.000000,13.000000,568.888916,1.422026,4.120000,10.000000,13.000000,62.135925,6.509717,1.780000,1.000000,2.000000,143.820221,2.812451
1.000000,10.280000,10.000000,11.000000,24.902725,17.965746,3.050000,3.000000,4.000000,167.868851,5.330304,3.650000,3.000000,5.000000,140.273972,6.378888,34.389999,10.000000,34.000000,14.888049,60.101360,0.840000,1.000000,11.000000,609.523804,1.468018,3.690000,3.000000,11.000000,69.376694,6.448794,1.320000,1.000000,2.000000,193.939392,2.306886
2.000000,9.930000,9.000000,11.000000,25.780462,18.123745,2.970000,2.000000,4.000000,172.390564,5.420697,3.530000,3.000000,4.000000,145.042496,6.442781,32.849998,9.000000,11.000000,15.585998,59.956192,0.740000,1.000000,11.000000,691.891907,1.350611,3.560000,4.000000,11.000000,71.910110,6.497536,1.210000,1.000000,2.000000,211.570236,2.208432
3.000000,9.712872,9.000000,10.000000,26.356777,17.996698,2.900990,2.000000,3.000000,176.491470,5.375160,3.584158,3.000000,5.000000,142.850830,6.640983,32.346535,9.000000,10.000000,15.828588,59.933956,0.782178,9.000000,10.000000,654.582275,1.449275,3.544554,9.000000,10.000000,72.223465,6.567602,1.099010,1.000000,2.000000,232.936951,2.036324
4.000000,9.811881,9.000000,12.000000,26.090818,18.287506,2.910891,2.000000,3.000000,175.891159,5.425355,3.435644,3.000000,5.000000,149.025925,6.403396,32.267326,9.000000,32.000000,15.867444,60.140247,0.702970,9.000000,12.000000,728.338013,1.310205,3.445544,3.000000,12.000000,74.298851,6.421849,1.079208,0.000000,2.000000,237.211014,2.011441
5.000000,9.738095,9.000000,11.000000,26.288509,18.129433,2.928571,2.000000,3.000000,174.829269,5.452127,3.507936,3.000000,5.000000,145.954758,6.530733,32.325397,9.000000,32.000000,15.838939,60.180260,0.674603,0.000000,11.000000,758.964722,1.255910,3.515873,4.000000,11.000000,72.812645,6.545508,1.023810,0.000000,2.000000,250.046509,1.906028
6.000000,9.756638,9.000000,11.000000,26.238548,18.127262,2.929204,2.000000,3.000000,174.791550,5.442288,3.548673,3.000000,5.000000,144.279297,6.593226,32.362831,9.000000,11.000000,15.820619,60.128246,0.721239,0.000000,11.000000,709.889587,1.340020,3.530973,4.000000,11.000000,72.501251,6.560342,0.973451,0.000000,2.000000,262.981812,1.808616
7.000000,9.744863,9.000000,10.000000,26.270252,18.161219,2.929795,2.000000,3.000000,174.756287,5.460174,3.498288,3.000000,5.000000,146.357315,6.519658,32.308220,9.000000,10.000000,15.847361,60.211899,0.710616,9.000000,10.000000,720.501221,1.324355,3.527397,4.000000,10.000000,72.574760,6.573908,0.938356,0.000000,2.000000,272.817505,1.748787
8.000000,9.733334,9.000000,11.000000,26.301369,18.137554,2.926622,2.000000,4.000000,174.945724,5.453606,3.491275,3.000000,5.000000,146.651291,6.505807,32.349442,9.000000,11.000000,15.827167,60.281475,0.719016,1.000000,11.000000,712.084656,1.339848,3.508725,3.000000,11.000000,72.960976,6.538324,0.935570,0.000000,2.000000,273.629852,1.743386
9.000000,9.762171,9.000000,13.000000,26.223675,18.163279,2.926487,2.000000,6.000000,174.953766,5.444958,3.516272,2.000000,7.000000,145.608749,6.542298,32.368450,9.000000,32.000000,15.817872,60.224022,0.730425,0.000000,13.000000,700.961975,1.359012,3.522302,4.000000,13.000000,72.679741,6.553517,0.920635,0.000000,2.000000,278.068970,1.712913
10.000000,9.755925,9.000000,16.000000,26.240463,18.168364,2.929549,2.000000,22.000000,174.770966,5.455669,3.502561,2.000000,7.000000,146.178757,6.522784,32.341892,9.000000,16.000000,15.830861,60.229984,0.730558,0.000000,16.000000,700.834167,1.360511,3.513878,9.000000,16.000000,72.853981,6.543860,0.922964,0.000000,4.000000,277.367371,1.718826
11.000000,9.752729,7.000000,34.000000,26.249062,19.291250,2.926856,2.000000,8.000000,174.931717,5.789427,3.501735,1.000000,8.000000,146.213211,6.926559,32.198479,7.000000,34.000000,15.901372,63.689747,0.728544,7.000000,34.000000,702.771301,1.441087,3.514094,7.000000,34.000000,72.849503,6.951005,0.920735,0.000000,5.000000,278.038727,1.821247
