Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -4.771213, 1.224745, 1990, 100, 100, 0.077734, 1.000000, 8750, 87.500000, 2.925714
1.000000, -3.771212, 1.091555, 1413, 100, 100, 0.055195, 1.000000, 8005, 80.050003, 3.198001
2.000000, -2.771212, 0.972849, 991, 100, 100, 0.038711, 1.000000, 7672, 76.720001, 3.336809
3.000000, -1.771212, 0.867053, 561, 100, 100, 0.021914, 1.000000, 7614, 76.139999, 3.362227
4.000000, -0.771212, 0.772762, 352, 100, 103, 0.013350, 0.970874, 7826, 75.980583, 3.369282
5.000000, 0.228788, 0.688725, 197, 100, 126, 0.006107, 0.793651, 9567, 75.928574, 3.371590
6.000000, 1.228788, 0.613826, 142, 100, 240, 0.002311, 0.416667, 18227, 75.945831, 3.370824
7.000000, 2.228788, 0.547073, 106, 100, 581, 0.000713, 0.172117, 44065, 75.843376, 3.375377
8.000000, 3.228788, 0.487580, 104, 100, 2035, 0.000200, 0.049140, 154369, 75.857002, 3.374771
9.000000, 4.228787, 0.434556, 101, 100, 13032, 0.000030, 0.007673, 988743, 75.870399, 3.374175
10.000000, 5.228787, 0.387298, 100, 100, 123197, 0.000003, 0.000812, 9358867, 75.966682, 3.369899
11.000000, 6.228787, 0.345180, 100, 100, 1706116, 0.000000, 0.000059, 129426673, 75.860420, 3.374619
