Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 459, 100, 102, 0.140625, 0.980392, 2362, 23.156862, 1.381880
1.000000, -5.020600, 1.260419, 344, 100, 104, 0.103365, 0.961538, 2360, 22.692308, 1.410169
2.000000, -4.020600, 1.123350, 324, 100, 103, 0.098301, 0.970874, 2306, 22.388350, 1.429315
3.000000, -3.020600, 1.001187, 259, 100, 112, 0.072266, 0.892857, 2459, 21.955357, 1.457503
4.000000, -2.020600, 0.892308, 190, 100, 127, 0.046752, 0.787402, 2692, 21.196850, 1.509658
5.000000, -1.020600, 0.795271, 150, 100, 154, 0.030438, 0.649351, 3062, 19.883118, 1.609406
6.000000, -0.020600, 0.708786, 137, 100, 250, 0.017125, 0.400000, 4966, 19.864000, 1.610955
7.000000, 0.979400, 0.631706, 112, 100, 388, 0.009021, 0.257732, 7748, 19.969072, 1.602478
8.000000, 1.979400, 0.563009, 109, 100, 1001, 0.003403, 0.099900, 19812, 19.792208, 1.616798
9.000000, 2.979400, 0.501782, 102, 100, 2234, 0.001427, 0.044763, 44166, 19.769920, 1.618621
10.000000, 3.979400, 0.447214, 101, 100, 6424, 0.000491, 0.015567, 126967, 19.764477, 1.619066
11.000000, 4.979400, 0.398580, 100, 100, 31287, 0.000100, 0.003196, 619986, 19.816090, 1.614849
12.000000, 5.979400, 0.355234, 100, 100, 190132, 0.000016, 0.000526, 3766809, 19.811546, 1.615220
13.000000, 6.979400, 0.316603, 100, 100, 1555983, 0.000002, 0.000064, 30819455, 19.807064, 1.615585
14.000000, 7.979400, 0.282173, 100, 100, 23217818, 0.000000, 0.000004, 457144951, 19.689402, 1.625240
