Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.000000,1.000000,5.000000,16.000000,11.202636,1.362745,1.000000,2.000000,93.928062,7.633168,1.470588,1.000000,2.000000,87.040001,8.237232,9.921569,1.000000,10.000000,12.901185,55.573860,0.754902,1.000000,5.000000,169.558441,4.228446,1.382353,1.000000,5.000000,23.148935,7.742998,0.960784,0.000000,2.000000,33.306122,5.381658
1.000000,1.990385,1.000000,7.000000,16.077295,11.635749,1.201923,0.000000,2.000000,106.495995,7.026419,1.278846,1.000000,2.000000,100.090225,7.476110,9.605769,1.000000,10.000000,13.325325,56.155140,0.692308,1.000000,7.000000,184.888885,4.047217,1.451923,1.000000,7.000000,22.039734,8.487914,0.884615,0.000000,1.000000,36.173916,5.171444
2.000000,1.893204,1.000000,2.000000,16.902565,11.010729,1.320388,1.000000,2.000000,96.941177,7.679277,1.320388,1.000000,2.000000,96.941177,7.679277,9.611650,1.000000,2.000000,13.317172,55.900623,0.689320,1.000000,2.000000,185.690140,4.009035,1.485437,1.000000,2.000000,21.542482,8.639187,0.873786,0.000000,1.000000,36.622223,5.081875
3.000000,1.785714,1.000000,2.000000,17.920000,10.752687,1.383929,1.000000,3.000000,92.490326,8.333333,1.321429,1.000000,2.000000,96.864868,7.956989,9.366072,1.000000,2.000000,13.666348,56.397850,0.607143,1.000000,2.000000,210.823532,3.655914,1.267857,1.000000,2.000000,25.239435,7.634409,0.875000,0.000000,1.000000,36.571430,5.268817
4.000000,1.834646,1.000000,2.000000,17.442060,11.105815,1.330709,1.000000,2.000000,96.189354,8.055290,1.346457,1.000000,2.000000,95.064331,8.150619,9.141732,1.000000,11.000000,14.001722,55.338413,0.708661,1.000000,2.000000,180.622223,4.289800,1.377953,1.000000,2.000000,23.222857,8.341278,0.779528,0.000000,1.000000,41.050507,4.718779
5.000000,1.694805,1.000000,2.000000,18.881227,11.031277,1.162338,1.000000,2.000000,110.122902,7.565512,1.246753,1.000000,2.000000,102.666672,8.114962,8.610390,1.000000,2.000000,14.865762,56.043957,0.642857,1.000000,2.000000,199.111115,4.184277,1.246753,1.000000,2.000000,25.666668,8.114962,0.759740,0.000000,1.000000,42.119659,4.945055
6.000000,1.656000,1.000000,2.000000,19.323671,10.880421,1.140000,1.000000,2.000000,112.280701,7.490144,1.248000,1.000000,3.000000,102.564102,8.199738,8.576000,1.000000,9.000000,14.925373,56.346912,0.656000,1.000000,2.000000,195.121948,4.310118,1.212000,1.000000,2.000000,26.402639,7.963206,0.732000,0.000000,1.000000,43.715847,4.809461
7.000000,1.695876,1.000000,2.000000,18.869301,11.146874,1.211340,1.000000,2.000000,105.668083,7.962053,1.206186,1.000000,2.000000,106.119659,7.928172,8.561855,1.000000,2.000000,14.950030,56.276466,0.644330,1.000000,2.000000,198.655991,4.235135,1.216495,1.000000,2.000000,26.305086,7.995934,0.677835,0.000000,1.000000,47.209126,4.455362
8.000000,1.678322,1.000000,3.000000,19.066666,11.028687,1.168831,1.000000,2.000000,109.511116,7.680693,1.230769,1.000000,2.000000,103.999992,8.087705,8.596403,1.000000,10.000000,14.889949,56.489201,0.663337,1.000000,3.000000,192.963867,4.358957,1.188811,1.000000,3.000000,26.917646,7.811987,0.691309,0.000000,1.000000,46.289017,4.542769
9.000000,1.707699,1.000000,3.000000,18.738663,11.223889,1.188899,1.000000,2.000000,107.662651,7.814063,1.217099,1.000000,2.000000,105.168076,7.999413,8.606983,1.000000,9.000000,14.871645,56.569580,0.642346,1.000000,3.000000,199.269699,4.221830,1.166517,1.000000,3.000000,27.432079,7.666961,0.685318,0.000000,1.000000,46.693665,4.504266
