Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.009346,1.000000,4.000000,15.925582,15.973253,1.046729,1.000000,2.000000,61.142857,8.320951,1.242991,1.000000,2.000000,51.488724,9.881129,5.551402,1.000000,4.000000,11.528619,44.130760,0.663551,1.000000,4.000000,96.450706,5.274889,1.140187,1.000000,4.000000,28.065575,9.063893,0.925234,0.000000,2.000000,34.585857,7.355127
1.000000,1.983471,0.000000,3.000000,16.133333,16.315432,1.041322,0.000000,2.000000,61.460316,8.565602,1.190083,0.000000,2.000000,53.777775,9.789260,5.264463,0.000000,3.000000,12.156985,43.303879,0.685950,0.000000,3.000000,93.301208,5.642420,1.099174,0.000000,3.000000,29.112782,9.041469,0.892562,0.000000,1.000000,35.851852,7.341944
2.000000,2.000000,1.000000,3.000000,16.000000,16.410862,1.057554,1.000000,2.000000,60.517002,8.677686,1.165468,1.000000,2.000000,54.913582,9.563164,5.237410,1.000000,3.000000,12.219780,42.975208,0.776978,1.000000,3.000000,82.370369,6.375443,1.129496,1.000000,3.000000,28.331209,9.268004,0.820144,0.000000,1.000000,39.017544,6.729634
3.000000,1.885417,1.000000,3.000000,16.972376,16.439600,0.968750,0.000000,1.000000,66.064514,8.446866,1.098958,1.000000,2.000000,58.236965,9.582198,4.984375,1.000000,6.000000,12.840125,43.460491,0.677083,1.000000,3.000000,94.523079,5.903723,1.098958,1.000000,3.000000,29.118483,9.582198,0.755208,0.000000,1.000000,42.372414,6.584922
4.000000,1.809062,1.000000,4.000000,17.688730,16.612185,0.915858,0.000000,1.000000,69.879860,8.410104,1.087379,0.000000,8.000000,58.857143,9.985141,4.699029,1.000000,4.000000,13.619835,43.150070,0.634304,1.000000,4.000000,100.897957,5.824666,1.019418,1.000000,4.000000,31.390474,9.361070,0.724919,0.000000,3.000000,44.142857,6.656760
5.000000,1.792248,0.000000,2.000000,17.854671,16.519007,0.925581,0.000000,1.000000,69.145729,8.531009,1.060465,0.000000,3.000000,60.350880,9.774221,4.663566,0.000000,2.000000,13.723404,42.983711,0.671318,0.000000,2.000000,95.334877,6.187482,1.024806,0.000000,2.000000,31.225414,9.445557,0.711628,0.000000,4.000000,44.967319,6.559017
6.000000,1.764591,1.000000,4.000000,18.134510,16.280741,0.933852,0.000000,2.000000,68.533333,8.616048,1.055447,0.000000,3.000000,60.637787,9.737928,4.675097,1.000000,5.000000,13.689554,43.134090,0.671206,1.000000,4.000000,95.350723,6.192784,1.029183,1.000000,4.000000,31.092627,9.495603,0.709144,0.000000,1.000000,45.124828,6.542811
7.000000,1.787544,1.000000,4.000000,17.901655,16.634127,0.925795,0.000000,19.000000,69.129768,8.615056,1.049028,0.000000,3.000000,61.008842,9.761812,4.649956,1.000000,4.000000,13.763572,43.270515,0.644435,1.000000,4.000000,99.311859,5.996836,1.011705,1.000000,4.000000,31.629776,9.414497,0.677783,0.000000,3.000000,47.212772,6.307158
8.000000,1.781595,0.000000,4.000000,17.961432,16.553328,0.921166,0.000000,1.000000,69.477188,8.558823,1.060429,0.000000,4.000000,60.352905,9.852764,4.653865,0.000000,4.000000,13.752011,43.240437,0.650920,0.000000,4.000000,98.322334,6.047893,1.015276,0.000000,4.000000,31.518520,9.433231,0.679509,0.000000,3.000000,47.092812,6.313521
9.000000,1.767730,0.000000,25.000000,18.102318,16.529926,0.909084,0.000000,4.000000,70.400520,8.500788,1.050303,0.000000,28.000000,60.934803,9.821315,4.645532,0.000000,25.000000,13.776678,43.440075,0.645408,0.000000,25.000000,99.162010,6.035173,1.004153,0.000000,25.000000,31.867661,9.389769,0.671907,0.000000,7.000000,47.625633,6.282960
10.000000,1.765207,0.000000,21.000000,18.128189,16.527109,0.909638,0.000000,17.000000,70.357697,8.516667,1.050805,0.000000,16.000000,60.905708,9.838373,4.647310,0.000000,21.000000,13.771407,43.511391,0.639231,0.000000,21.000000,100.120331,5.984929,1.001502,0.000000,21.000000,31.952015,9.376765,0.666983,0.000000,14.000000,47.977226,6.244766
11.000000,1.764189,0.000000,50.000000,18.138643,23.270401,0.909153,0.000000,54.000000,70.395210,11.992109,1.044302,0.000000,15.000000,61.284962,13.774781,4.499089,0.000000,50.000000,14.225101,59.344887,0.639179,0.000000,50.000000,100.128502,8.431035,1.001106,0.000000,50.000000,31.964636,13.205016,0.667065,0.000000,31.000000,47.971359,8.798864
