Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -4.771213, 1.224745, 263, 100, 104, 0.079026, 0.961538, 2252, 21.653847, 1.477798
1.000000, -3.771212, 1.091555, 205, 100, 115, 0.055707, 0.869565, 2678, 23.286957, 1.374160
2.000000, -2.771212, 0.972849, 182, 100, 136, 0.041820, 0.735294, 2939, 21.610294, 1.480776
3.000000, -1.771212, 0.867053, 135, 100, 192, 0.021973, 0.520833, 3604, 18.770834, 1.704772
4.000000, -0.771212, 0.772762, 115, 100, 278, 0.012927, 0.359712, 5258, 18.913670, 1.691898
5.000000, 0.228788, 0.688725, 109, 100, 612, 0.005566, 0.163399, 10833, 17.700981, 1.807809
6.000000, 1.228788, 0.613826, 106, 100, 1580, 0.002097, 0.063291, 27907, 17.662659, 1.811732
7.000000, 2.228788, 0.547073, 102, 100, 4537, 0.000703, 0.022041, 80271, 17.692528, 1.808673
8.000000, 3.228788, 0.487580, 100, 100, 14970, 0.000209, 0.006680, 264608, 17.675884, 1.810376
9.000000, 4.228787, 0.434556, 100, 100, 100788, 0.000031, 0.000992, 1768771, 17.549421, 1.823422
10.000000, 5.228787, 0.387298, 100, 100, 714364, 0.000004, 0.000140, 12594173, 17.629910, 1.815097
11.000000, 6.228787, 0.345180, 100, 100, 12433708, 0.000000, 0.000008, 216268433, 17.393721, 1.839744
