Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,11.390000,10.000000,17.000000,22.475855,28.418163,2.110000,1.000000,5.000000,121.327019,5.264471,0.800000,0.000000,1.000000,320.000000,1.996008,19.570000,10.000000,17.000000,13.081247,48.827343,0.840000,10.000000,17.000000,304.761902,2.095808,3.650000,10.000000,17.000000,70.136986,9.106786,1.720000,1.000000,2.000000,148.837204,4.291417
1.000000,10.570000,10.000000,17.000000,24.219490,28.927202,1.920000,1.000000,3.000000,133.333344,5.254516,0.760000,0.000000,6.000000,336.842102,2.079912,17.650000,10.000000,17.000000,14.504250,48.303226,0.720000,10.000000,17.000000,355.555542,1.970443,3.450000,3.000000,17.000000,74.202896,9.441708,1.470000,1.000000,2.000000,174.149658,4.022988
2.000000,10.320000,10.000000,11.000000,24.806202,28.939989,1.910000,1.000000,2.000000,134.031418,5.356142,0.730000,0.000000,1.000000,350.684937,2.047112,17.490000,10.000000,20.000000,14.636935,49.046551,0.720000,1.000000,11.000000,355.555542,2.019069,3.280000,10.000000,11.000000,78.048782,9.197981,1.210000,1.000000,2.000000,211.570236,3.393158
3.000000,9.760000,9.000000,10.000000,26.229507,28.867197,1.750000,1.000000,3.000000,146.285721,5.175983,0.700000,0.000000,1.000000,365.714294,2.070393,16.639999,9.000000,17.000000,15.384616,49.216206,0.680000,9.000000,10.000000,376.470581,2.011239,3.170000,3.000000,10.000000,80.757095,9.375924,1.110000,1.000000,2.000000,230.630630,3.283052
4.000000,9.766991,9.000000,11.000000,26.210735,28.924671,1.796116,1.000000,2.000000,142.529739,5.319149,0.747573,0.000000,1.000000,342.441559,2.213916,16.485437,9.000000,17.000000,15.528857,48.821163,0.699029,9.000000,11.000000,366.222198,2.070155,3.203883,3.000000,11.000000,79.903030,9.488211,1.067961,0.000000,2.000000,239.709076,3.162737
5.000000,9.677420,9.000000,10.000000,26.453333,28.908697,1.806452,1.000000,2.000000,141.714294,5.396290,0.645161,0.000000,1.000000,396.800018,1.927246,16.572580,9.000000,10.000000,15.447203,49.506142,0.637097,1.000000,10.000000,401.822784,1.903156,3.137097,3.000000,10.000000,81.604111,9.371236,1.000000,0.000000,2.000000,256.000000,2.987232
6.000000,9.787234,9.000000,10.000000,26.156521,29.058750,1.776596,1.000000,2.000000,144.095810,5.274795,0.691489,0.000000,1.000000,370.215393,2.053064,16.462767,9.000000,16.000000,15.550241,48.878712,0.707447,1.000000,10.000000,361.864655,2.100442,3.244681,9.000000,10.000000,78.898361,9.633607,1.010638,0.000000,2.000000,253.305252,3.000632
7.000000,9.773619,9.000000,11.000000,26.192959,29.109154,1.777184,1.000000,2.000000,144.048141,5.293056,0.705882,0.000000,1.000000,362.666656,2.102357,16.515152,9.000000,11.000000,15.500917,49.187729,0.675579,0.000000,11.000000,378.934052,2.012105,3.183601,3.000000,11.000000,80.412094,9.481844,0.944742,0.000000,2.000000,270.973572,2.813761
8.000000,9.764650,9.000000,11.000000,26.217016,29.107147,1.792533,1.000000,2.000000,142.814667,5.343307,0.686673,0.000000,1.000000,372.812103,2.046882,16.511343,9.000000,11.000000,15.504493,49.218155,0.689508,1.000000,11.000000,371.278961,2.055335,3.179111,9.000000,11.000000,80.525642,9.476516,0.923440,0.000000,2.000000,277.224152,2.752656
9.000000,9.773789,9.000000,11.000000,26.192503,29.163433,1.777087,0.000000,5.000000,144.055984,5.302544,0.692199,0.000000,3.000000,369.835846,2.065412,16.496326,9.000000,11.000000,15.518606,49.222416,0.678726,1.000000,11.000000,377.177124,2.025211,3.174581,3.000000,11.000000,80.640572,9.472444,0.921142,0.000000,2.000000,277.915924,2.748541
10.000000,9.766079,9.000000,14.000000,26.213182,29.157967,1.778501,1.000000,6.000000,143.941467,5.309958,0.685929,0.000000,2.000000,373.216400,2.047935,16.486658,9.000000,14.000000,15.527707,49.223175,0.681264,9.000000,14.000000,375.771912,2.034008,3.175255,3.000000,14.000000,80.623444,9.480159,0.920006,0.000000,5.000000,278.259125,2.746803
11.000000,9.762506,6.000000,38.000000,26.222775,29.991030,1.777878,0.000000,15.000000,143.991867,5.461752,0.695265,0.000000,12.000000,368.204681,2.135899,16.418812,6.000000,38.000000,15.591871,50.439617,0.677925,1.000000,38.000000,377.623108,2.082627,3.173277,3.000000,38.000000,80.673691,9.748506,0.920880,0.000000,15.000000,277.994873,2.829002
