Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -4.771213, 1.224745, 1957, 100, 100, 0.076445, 1.000000, 8391, 83.910004, 3.050888
1.000000, -3.771212, 1.091555, 1446, 100, 100, 0.056484, 1.000000, 7656, 76.559998, 3.343783
2.000000, -2.771212, 0.972849, 965, 100, 100, 0.037695, 1.000000, 7305, 73.050003, 3.504449
3.000000, -1.771212, 0.867053, 548, 100, 100, 0.021406, 1.000000, 7258, 72.580002, 3.527143
4.000000, -0.771212, 0.772762, 335, 100, 102, 0.012829, 0.980392, 7403, 72.578430, 3.527219
5.000000, 0.228788, 0.688725, 195, 100, 130, 0.005859, 0.769231, 9424, 72.492310, 3.531409
6.000000, 1.228788, 0.613826, 137, 100, 213, 0.002512, 0.469484, 15433, 72.455399, 3.533208
7.000000, 2.228788, 0.547073, 113, 100, 558, 0.000791, 0.179211, 40722, 72.978493, 3.507883
8.000000, 3.228788, 0.487580, 102, 100, 2162, 0.000184, 0.046253, 156595, 72.430618, 3.534417
9.000000, 4.228787, 0.434556, 100, 100, 12045, 0.000032, 0.008302, 872744, 72.456955, 3.533132
10.000000, 5.228787, 0.387298, 100, 100, 119174, 0.000003, 0.000839, 8638571, 72.487045, 3.531666
11.000000, 6.228787, 0.345180, 100, 100, 1603406, 0.000000, 0.000062, 116057347, 72.381760, 3.536803
