Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 449, 100, 100, 0.140312, 1.000000, 2464, 24.639999, 1.298701
1.000000, -5.020600, 1.260419, 350, 100, 105, 0.104167, 0.952381, 2347, 22.352381, 1.431615
2.000000, -4.020600, 1.123350, 303, 100, 102, 0.092831, 0.980392, 2174, 21.313726, 1.501380
3.000000, -3.020600, 1.001187, 256, 100, 114, 0.070175, 0.877193, 2358, 20.684210, 1.547074
4.000000, -2.020600, 0.892308, 190, 100, 123, 0.048272, 0.813008, 2550, 20.731707, 1.543529
5.000000, -1.020600, 0.795271, 145, 100, 151, 0.030008, 0.662252, 3040, 20.132450, 1.589474
6.000000, -0.020600, 0.708786, 126, 100, 237, 0.016614, 0.421941, 4603, 19.421942, 1.647621
7.000000, 0.979400, 0.631706, 117, 100, 387, 0.009448, 0.258398, 7520, 19.431524, 1.646809
8.000000, 1.979400, 0.563009, 111, 100, 831, 0.004174, 0.120337, 16239, 19.541515, 1.637539
9.000000, 2.979400, 0.501782, 103, 100, 2073, 0.001553, 0.048239, 40474, 19.524361, 1.638978
10.000000, 3.979400, 0.447214, 102, 100, 5901, 0.000540, 0.016946, 114947, 19.479240, 1.642774
11.000000, 4.979400, 0.398580, 100, 100, 27278, 0.000115, 0.003666, 527265, 19.329313, 1.655517
12.000000, 5.979400, 0.355234, 100, 100, 200948, 0.000016, 0.000498, 3895553, 19.385876, 1.650686
13.000000, 6.979400, 0.316603, 100, 100, 1691449, 0.000002, 0.000059, 32572961, 19.257429, 1.661696
14.000000, 7.979400, 0.282173, 100, 100, 23833958, 0.000000, 0.000004, 462443386, 19.402710, 1.649254
