Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 287, 100, 109, 0.082282, 0.917431, 2797, 25.660551, 1.247050
1.000000, -5.020600, 1.260419, 209, 100, 125, 0.052250, 0.800000, 2717, 21.736000, 1.472212
2.000000, -4.020600, 1.123350, 180, 100, 130, 0.043269, 0.769231, 2679, 20.607693, 1.552818
3.000000, -3.020600, 1.001187, 148, 100, 188, 0.024601, 0.531915, 3886, 20.670214, 1.548121
4.000000, -2.020600, 0.892308, 121, 100, 324, 0.011671, 0.308642, 6658, 20.549383, 1.557224
5.000000, -1.020600, 0.795271, 104, 100, 501, 0.006487, 0.199601, 9987, 19.934132, 1.605287
6.000000, -0.020600, 0.708786, 101, 100, 1128, 0.002798, 0.088652, 22085, 19.578901, 1.634413
7.000000, 0.979400, 0.631706, 101, 100, 3725, 0.000847, 0.026846, 72478, 19.457182, 1.644637
8.000000, 1.979400, 0.563009, 100, 100, 12820, 0.000244, 0.007800, 248548, 19.387520, 1.650546
9.000000, 2.979400, 0.501782, 100, 100, 92756, 0.000034, 0.001078, 1797155, 19.375080, 1.651606
10.000000, 3.979400, 0.447214, 100, 100, 737594, 0.000004, 0.000136, 14237010, 19.301960, 1.657863
11.000000, 4.979400, 0.398580, 101, 100, 11255926, 0.000000, 0.000009, 217712805, 19.342060, 1.654426
