Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.990566,1.000000,6.000000,16.075830,13.204004,1.179245,1.000000,2.000000,81.408005,7.822278,0.858491,0.000000,13.000000,111.824173,5.694618,8.037736,1.000000,6.000000,11.943662,53.316647,0.783019,0.000000,6.000000,122.602409,5.193993,1.226415,1.000000,6.000000,26.092308,8.135168,1.000000,0.000000,4.000000,32.000000,6.633292
1.000000,1.920635,1.000000,3.000000,16.661158,13.742192,1.174603,1.000000,2.000000,81.729729,8.404316,0.746032,0.000000,1.000000,128.680847,5.337876,7.476191,1.000000,3.000000,12.840764,53.492336,0.730159,1.000000,3.000000,131.478256,5.224305,1.142857,1.000000,3.000000,27.999998,8.177173,0.785714,0.000000,1.000000,40.727272,5.621806
2.000000,1.927536,1.000000,2.000000,16.601503,13.846955,1.246377,1.000000,2.000000,77.023262,8.953670,0.695652,0.000000,1.000000,138.000000,4.997397,7.384058,1.000000,9.000000,13.000981,53.045292,0.739130,1.000000,2.000000,129.882355,5.309734,1.144928,1.000000,2.000000,27.949368,8.224883,0.782609,0.000000,1.000000,40.888889,5.622072
3.000000,1.856410,1.000000,11.000000,17.237570,13.949903,1.112821,1.000000,2.000000,86.267281,8.362235,0.687180,0.000000,1.000000,139.701492,5.163776,7.097436,1.000000,11.000000,13.526011,53.333332,0.697436,1.000000,11.000000,137.647049,5.240848,1.102564,1.000000,11.000000,29.023256,8.285164,0.753846,0.000000,1.000000,42.448978,5.664740
4.000000,1.765677,1.000000,3.000000,18.123363,13.914174,1.095710,1.000000,2.000000,87.614456,8.634590,0.699670,0.000000,1.000000,137.207550,5.513654,6.732673,1.000000,7.000000,14.258823,53.055920,0.636964,1.000000,3.000000,150.715012,5.019506,1.072607,1.000000,3.000000,29.833845,8.452536,0.686469,0.000000,1.000000,46.615383,5.409623
5.000000,1.686833,1.000000,2.000000,18.970463,13.569997,1.062278,1.000000,2.000000,90.371864,8.545662,0.644128,0.000000,1.000000,149.038681,5.181792,6.583630,1.000000,7.000000,14.581621,52.963074,0.681495,1.000000,2.000000,140.866837,5.482393,1.053381,1.000000,2.000000,30.378380,8.474091,0.718861,0.000000,1.000000,44.514851,5.782995
6.000000,1.714388,1.000000,2.000000,18.665548,13.845796,1.059712,0.000000,2.000000,90.590637,8.558479,0.661870,0.000000,1.000000,145.043488,5.345418,6.619424,1.000000,2.000000,14.502771,53.459995,0.635971,0.000000,2.000000,150.950226,5.136250,1.033094,1.000000,2.000000,30.974930,8.343502,0.657554,0.000000,2.000000,48.665207,5.310557
7.000000,1.694805,1.000000,3.000000,18.881227,13.655654,1.058442,1.000000,3.000000,90.699387,8.528243,0.649351,0.000000,2.000000,147.839996,5.232051,6.623617,1.000000,3.000000,14.493591,53.368858,0.650553,1.000000,3.000000,147.566727,5.241740,1.054113,1.000000,3.000000,30.357290,8.493363,0.680135,0.000000,1.000000,47.049507,5.480089
8.000000,1.695066,0.000000,3.000000,18.878319,13.681253,1.053852,0.000000,2.000000,91.094398,8.505871,0.643687,0.000000,1.000000,149.140717,5.195343,6.624088,0.000000,8.000000,14.492561,53.464470,0.654755,0.000000,3.000000,146.619843,5.284668,1.043959,0.000000,3.000000,30.652531,8.426027,0.674292,0.000000,2.000000,47.457180,5.442360
9.000000,1.707398,1.000000,4.000000,18.741966,13.773259,1.056064,0.000000,3.000000,90.903625,8.519065,0.648029,0.000000,2.000000,148.141602,5.227525,6.617807,1.000000,7.000000,14.506315,53.384605,0.651994,1.000000,4.000000,147.240570,5.259514,1.045952,1.000000,4.000000,30.594147,8.437495,0.669228,0.000000,2.000000,47.816269,5.398538
10.000000,1.707493,0.000000,4.000000,18.740931,13.773019,1.055422,0.000000,5.000000,90.958885,8.513271,0.647388,0.000000,5.000000,148.288208,5.221977,6.616698,0.000000,8.000000,14.508747,53.371773,0.651930,0.000000,4.000000,147.255020,5.258616,1.048567,0.000000,4.000000,30.517832,8.457979,0.669875,0.000000,3.000000,47.770119,5.403361
11.000000,1.695098,0.000000,8.000000,18.877966,19.152687,1.066046,0.000000,8.000000,90.052406,12.045113,0.659487,0.000000,7.000000,145.567642,7.451458,7.360261,0.000000,8.000000,13.043015,83.162621,0.663410,0.000000,8.000000,144.706924,7.495781,1.059531,0.000000,8.000000,30.202044,11.971500,0.680962,0.000000,8.000000,46.992329,7.694102
