Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 3735, 100, 100, 0.145898, 1.000000, 11037, 110.370003, 2.319471
1.000000, -5.020600, 1.260419, 3119, 100, 100, 0.121836, 1.000000, 9875, 98.750000, 2.592405
2.000000, -4.020600, 1.123350, 2303, 100, 100, 0.089961, 1.000000, 9509, 95.089996, 2.692186
3.000000, -3.020600, 1.001187, 1779, 100, 100, 0.069492, 1.000000, 9547, 95.470001, 2.681471
4.000000, -2.020600, 0.892308, 1163, 100, 100, 0.045430, 1.000000, 9502, 95.019997, 2.694170
5.000000, -1.020600, 0.795271, 794, 100, 101, 0.030709, 0.990099, 9576, 94.811882, 2.700083
6.000000, -0.020600, 0.708786, 473, 100, 103, 0.017938, 0.970874, 9769, 94.844658, 2.699150
7.000000, 0.979400, 0.631706, 261, 100, 111, 0.009185, 0.900901, 10517, 94.747749, 2.701911
8.000000, 1.979400, 0.563009, 151, 100, 150, 0.003932, 0.666667, 14214, 94.760002, 2.701562
9.000000, 2.979400, 0.501782, 118, 100, 259, 0.001780, 0.386100, 24531, 94.714287, 2.702866
10.000000, 3.979400, 0.447214, 106, 100, 873, 0.000474, 0.114548, 82630, 94.650627, 2.704684
11.000000, 4.979400, 0.398580, 100, 100, 3382, 0.000116, 0.029568, 320063, 94.637199, 2.705067
12.000000, 5.979400, 0.355234, 101, 100, 22295, 0.000018, 0.004485, 2111026, 94.686073, 2.703671
13.000000, 6.979400, 0.316603, 100, 100, 207937, 0.000002, 0.000481, 19695648, 94.719307, 2.702723
14.000000, 7.979400, 0.282173, 100, 100, 2801010, 0.000000, 0.000036, 264278143, 94.351021, 2.713272
