Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,10.530000,10.000000,18.000000,24.311491,10.056346,6.030000,5.000000,7.000000,169.817566,5.758762,5.600000,4.000000,8.000000,182.857147,5.348104,73.870003,10.000000,18.000000,13.862190,70.547234,0.950000,10.000000,18.000000,1077.894775,0.907268,6.600000,10.000000,18.000000,38.787880,6.303123,1.130000,1.000000,2.000000,226.548676,1.079171
1.000000,9.360000,9.000000,10.000000,27.350428,10.023560,5.410000,5.000000,6.000000,189.279114,5.793532,4.950000,4.000000,6.000000,206.868698,5.300921,65.989998,9.000000,10.000000,15.517503,70.668236,0.880000,9.000000,10.000000,1163.636353,0.942386,5.750000,9.000000,10.000000,44.521740,6.157636,1.040000,1.000000,2.000000,246.153854,1.113729
2.000000,9.120000,9.000000,10.000000,28.070175,10.091845,5.230000,5.000000,6.000000,195.793503,5.787319,4.850000,4.000000,6.000000,211.134018,5.366825,63.830002,9.000000,66.000000,16.042612,70.631844,0.860000,9.000000,10.000000,1190.697632,0.951643,5.490000,9.000000,10.000000,46.630238,6.075025,0.990000,0.000000,1.000000,258.585846,1.095496
3.000000,9.140000,9.000000,10.000000,28.008751,10.082736,5.220000,5.000000,6.000000,196.168594,5.758411,4.810000,4.000000,6.000000,212.889816,5.306122,64.220001,9.000000,10.000000,15.945189,70.843903,0.870000,0.000000,10.000000,1177.011475,0.959735,5.370000,9.000000,10.000000,47.672253,5.923883,1.020000,1.000000,2.000000,250.980392,1.125207
4.000000,9.200000,9.000000,11.000000,27.826088,10.181497,5.180000,5.000000,6.000000,197.683411,5.732625,4.850000,4.000000,6.000000,211.134018,5.367419,64.080002,9.000000,11.000000,15.980024,70.916336,0.840000,9.000000,11.000000,1219.047607,0.929615,5.200000,9.000000,11.000000,49.230770,5.754759,1.010000,1.000000,2.000000,253.465347,1.117751
5.000000,9.089108,9.000000,10.000000,28.165579,10.079051,5.267327,5.000000,6.000000,194.406006,5.841019,4.891089,4.000000,6.000000,209.360336,5.423803,64.099007,9.000000,10.000000,15.975286,71.080368,0.762376,9.000000,10.000000,1343.168823,0.845411,5.009901,6.000000,10.000000,51.098812,5.555556,1.059406,1.000000,2.000000,241.644867,1.174791
6.000000,9.126214,9.000000,10.000000,28.051062,10.138051,5.155340,5.000000,6.000000,198.628998,5.726920,4.873786,4.000000,6.000000,210.103577,5.414150,64.000000,9.000000,10.000000,16.000000,71.095772,0.883495,1.000000,10.000000,1159.032959,0.981450,4.961165,9.000000,10.000000,51.600784,5.511216,1.019418,1.000000,2.000000,251.123795,1.132442
7.000000,9.171171,9.000000,10.000000,27.913555,10.181019,5.207207,5.000000,6.000000,196.650513,5.780578,4.837838,4.000000,6.000000,211.664810,5.370537,64.036034,9.000000,10.000000,15.990996,71.087112,0.855856,9.000000,10.000000,1196.463135,0.950095,4.954955,7.000000,10.000000,51.665455,5.500550,1.018018,0.000000,2.000000,251.469025,1.130113
8.000000,9.160000,9.000000,10.000000,27.947599,10.158214,5.240000,5.000000,6.000000,195.419861,5.811031,4.900000,4.000000,7.000000,208.979584,5.433979,64.080002,9.000000,10.000000,15.980024,71.063141,0.840000,9.000000,10.000000,1219.047607,0.931539,4.940000,9.000000,10.000000,51.821861,5.478338,1.013333,0.000000,2.000000,252.631577,1.123762
9.000000,9.135135,9.000000,10.000000,28.023670,10.143188,5.258687,5.000000,6.000000,194.725388,5.838979,4.872587,4.000000,6.000000,210.155319,5.410272,64.084946,9.000000,10.000000,15.978792,71.156654,0.872587,9.000000,10.000000,1173.522217,0.968876,4.810811,4.000000,10.000000,53.213482,5.341679,1.027027,0.000000,2.000000,249.263168,1.140358
10.000000,9.140894,9.000000,10.000000,28.006014,10.159135,5.255441,5.000000,6.000000,194.845673,5.840866,4.845361,4.000000,7.000000,211.336166,5.385105,64.058418,9.000000,10.000000,15.985409,71.194145,0.844215,1.000000,10.000000,1212.960693,0.938256,4.841924,9.000000,10.000000,52.871544,5.381286,0.990836,0.000000,2.000000,258.367615,1.101209
11.000000,9.151686,9.000000,11.000000,27.972988,10.173587,5.224423,5.000000,6.000000,196.002487,5.807796,4.859550,4.000000,7.000000,210.719086,5.402181,64.051155,9.000000,63.000000,15.987222,71.203278,0.819633,1.000000,11.000000,1249.339111,0.911156,4.860437,9.000000,11.000000,52.670158,5.403166,0.988468,0.000000,2.000000,258.986542,1.098843
12.000000,9.129132,8.000000,16.000000,28.042095,10.143131,5.229289,5.000000,7.000000,195.820114,5.810121,4.872348,4.000000,7.000000,210.165619,5.413533,64.094727,8.000000,66.000000,15.976354,71.213913,0.823189,8.000000,16.000000,1243.942627,0.914623,4.867190,8.000000,16.000000,52.597084,5.407803,0.987217,0.000000,3.000000,259.314850,1.096870
13.000000,9.137147,8.000000,16.000000,28.017498,10.196196,5.227074,4.000000,11.000000,195.903107,5.832922,4.868494,3.000000,16.000000,210.331985,5.432781,64.127586,8.000000,16.000000,15.968167,71.560349,0.825327,1.000000,16.000000,1240.720459,0.920987,4.862814,8.000000,16.000000,52.644409,5.426443,0.986674,0.000000,3.000000,259.457581,1.101035
14.000000,8.832361,5.000000,19.000000,28.984322,10.336935,5.207506,1.000000,14.000000,196.639252,6.094593,4.846856,1.000000,29.000000,211.270966,5.672507,64.035233,5.000000,63.000000,15.991197,74.943497,0.823537,5.000000,19.000000,1243.416748,0.963825,4.839253,4.000000,19.000000,52.900723,5.663610,0.982711,0.000000,6.000000,260.503784,1.150114
