Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 1999, 100, 100, 0.078086, 1.000000, 11101, 111.010002, 2.306098
1.000000, -5.020600, 1.260419, 1475, 100, 100, 0.057617, 1.000000, 9959, 99.589996, 2.570539
2.000000, -4.020600, 1.123350, 979, 100, 100, 0.038242, 1.000000, 9411, 94.110001, 2.720221
3.000000, -3.020600, 1.001187, 606, 100, 100, 0.023672, 1.000000, 9410, 94.099998, 2.720510
4.000000, -2.020600, 0.892308, 326, 100, 100, 0.012734, 1.000000, 9389, 93.889999, 2.726595
5.000000, -1.020600, 0.795271, 173, 100, 128, 0.005280, 0.781250, 12019, 93.898438, 2.726350
6.000000, -0.020600, 0.708786, 143, 100, 208, 0.002686, 0.480769, 19536, 93.923080, 2.725635
7.000000, 0.979400, 0.631706, 103, 100, 539, 0.000746, 0.185529, 50647, 93.964752, 2.724426
8.000000, 1.979400, 0.563009, 104, 100, 2110, 0.000193, 0.047393, 198203, 93.935074, 2.725287
9.000000, 2.979400, 0.501782, 101, 100, 10088, 0.000039, 0.009913, 946954, 93.869347, 2.727195
10.000000, 3.979400, 0.447214, 100, 100, 98186, 0.000004, 0.001018, 9222963, 93.933586, 2.725330
11.000000, 4.979400, 0.398580, 100, 100, 1677408, 0.000000, 0.000060, 157332515, 93.795013, 2.729356
