Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,10.650000,10.000000,21.000000,24.037560,10.359921,5.950000,5.000000,7.000000,172.100845,5.787938,5.530000,5.000000,8.000000,185.171783,5.379377,73.709999,10.000000,21.000000,13.892281,71.702332,0.930000,1.000000,21.000000,1101.075317,0.904669,4.850000,4.000000,21.000000,52.783504,4.717899,1.180000,1.000000,2.000000,216.949158,1.147860
1.000000,9.360000,9.000000,11.000000,27.350428,10.228390,5.280000,5.000000,6.000000,193.939392,5.769861,5.040000,4.000000,6.000000,203.174606,5.507595,65.550003,9.000000,11.000000,15.621662,71.631523,0.910000,9.000000,11.000000,1125.274658,0.994427,4.320000,4.000000,11.000000,59.259258,4.720796,1.050000,1.000000,2.000000,243.809540,1.147416
2.000000,9.110000,9.000000,10.000000,28.100988,10.217586,5.200000,5.000000,6.000000,196.923080,5.832211,4.860000,4.000000,6.000000,210.699585,5.450875,63.910000,9.000000,66.000000,16.022532,71.680122,0.870000,9.000000,10.000000,1177.011475,0.975774,4.210000,9.000000,10.000000,60.807602,4.721848,1.000000,0.000000,2.000000,256.000000,1.121579
3.000000,9.170000,9.000000,10.000000,27.917120,10.265308,5.190000,5.000000,6.000000,197.302505,5.809918,4.860000,4.000000,7.000000,210.699585,5.440501,63.980000,9.000000,64.000000,16.005001,71.622070,0.870000,1.000000,10.000000,1177.011475,0.973917,4.230000,9.000000,10.000000,60.520096,4.735251,1.030000,1.000000,2.000000,248.543701,1.153028
4.000000,9.140000,9.000000,10.000000,28.008751,10.251234,5.230000,5.000000,6.000000,195.793503,5.865859,4.890000,4.000000,6.000000,209.406952,5.484522,63.889999,9.000000,10.000000,16.027548,71.657692,0.800000,9.000000,10.000000,1280.000000,0.897263,4.160000,9.000000,10.000000,61.538464,4.665769,1.050000,1.000000,3.000000,243.809540,1.177658
5.000000,9.085938,9.000000,10.000000,28.175409,10.183887,5.265625,5.000000,6.000000,194.468842,5.901927,4.898438,4.000000,6.000000,209.046249,5.490368,63.953125,9.000000,64.000000,16.011728,71.681259,0.820312,1.000000,10.000000,1248.304810,0.919440,4.187500,5.000000,10.000000,61.134327,4.693520,1.007812,0.000000,2.000000,254.015503,1.129597
6.000000,9.129807,9.000000,10.000000,28.040022,10.222318,5.274038,5.000000,6.000000,194.158615,5.905151,4.865385,4.000000,6.000000,210.466400,5.447597,64.019234,9.000000,64.000000,15.995193,71.680038,0.812500,1.000000,10.000000,1260.307739,0.909727,4.187500,4.000000,10.000000,61.134327,4.688593,1.024038,0.000000,3.000000,249.990616,1.146579
7.000000,9.120594,9.000000,10.000000,28.068348,10.215065,5.241188,5.000000,6.000000,195.375565,5.870131,4.879406,4.000000,7.000000,209.861588,5.464935,64.063080,9.000000,10.000000,15.984245,71.750648,0.829314,9.000000,10.000000,1234.756226,0.928831,4.170686,9.000000,10.000000,61.380787,4.671169,0.981447,0.000000,2.000000,260.839325,1.099221
8.000000,9.117062,9.000000,11.000000,28.079222,10.214896,5.227962,5.000000,7.000000,195.869827,5.857489,4.889100,4.000000,7.000000,209.445511,5.477823,64.039810,9.000000,11.000000,15.990053,71.751190,0.833649,1.000000,11.000000,1228.334351,0.934034,4.160190,9.000000,11.000000,61.535656,4.661140,0.984834,0.000000,2.000000,259.942261,1.103423
9.000000,9.124702,9.000000,10.000000,28.055710,10.228266,5.219667,4.000000,7.000000,196.181107,5.850946,4.873017,3.000000,7.000000,210.136749,5.462372,64.007729,9.000000,10.000000,15.998068,71.748978,0.827914,9.000000,10.000000,1236.842896,0.928044,4.171194,4.000000,10.000000,61.373322,4.675668,0.986419,0.000000,2.000000,259.524475,1.105719
10.000000,9.121412,8.000000,15.000000,28.065830,10.218049,5.221824,4.000000,7.000000,196.100067,5.849626,4.885198,3.000000,9.000000,209.612808,5.472529,64.049782,8.000000,64.000000,15.987564,71.750275,0.829375,1.000000,15.000000,1234.664917,0.929088,4.173894,8.000000,15.000000,61.333607,4.675708,0.986159,0.000000,3.000000,259.593048,1.104722
11.000000,9.100701,8.000000,26.000000,28.129700,10.301182,5.210855,4.000000,12.000000,196.512878,5.898222,4.872467,3.000000,12.000000,210.160492,5.515197,64.061020,8.000000,26.000000,15.984759,72.511360,0.825048,0.000000,26.000000,1241.140015,0.933881,4.161884,8.000000,26.000000,61.510601,4.710882,0.983595,0.000000,5.000000,260.269745,1.113342
