Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.326733,2.000000,12.000000,13.753192,924.620178,1.415842,0.000000,2.000000,90.405594,562.641235,1.425743,0.000000,3.000000,89.777771,566.575806,10.871287,2.000000,12.000000,11.774135,4320.140625,0.772277,1.000000,12.000000,165.743591,306.895203,1.554455,2.000000,12.000000,20.585987,617.724976,0.821782,0.000000,3.000000,38.939758,326.567963
1.000000,2.097087,2.000000,3.000000,15.259259,903.288757,1.330097,1.000000,2.000000,96.233574,572.919250,1.504854,1.000000,2.000000,85.058067,648.193237,10.368932,2.000000,11.000000,12.344569,4466.260742,0.747573,2.000000,3.000000,171.220779,322.005737,1.514563,2.000000,3.000000,21.128206,652.375183,0.805825,0.000000,1.000000,39.710842,347.097046
2.000000,1.981132,1.000000,3.000000,16.152382,925.187012,1.424528,1.000000,2.000000,89.854301,665.253540,1.433962,1.000000,2.000000,89.263161,669.659180,9.716981,1.000000,11.000000,13.172816,4537.822266,0.707547,0.000000,3.000000,180.906662,330.423920,1.349057,1.000000,3.000000,23.720280,630.008301,0.773585,0.000000,1.000000,41.365852,361.263519
3.000000,1.950413,1.000000,2.000000,16.406780,1071.519653,1.322314,1.000000,2.000000,96.800003,726.453979,1.280992,0.000000,2.000000,99.922577,703.752380,9.413223,1.000000,10.000000,13.597893,5171.444336,0.661157,0.000000,2.000000,193.600006,363.226990,1.380165,1.000000,2.000000,23.185627,758.236450,0.752066,0.000000,1.000000,42.549450,413.170715
4.000000,1.889764,1.000000,2.000000,16.933332,1139.013428,1.275591,1.000000,2.000000,100.345680,768.834045,1.330709,1.000000,2.000000,96.189354,802.055298,9.102363,1.000000,9.000000,14.062284,5486.248535,0.763780,1.000000,2.000000,167.587631,460.351288,1.346457,1.000000,2.000000,23.766083,811.547058,0.755906,0.000000,1.000000,42.333332,455.605408
5.000000,1.786164,1.000000,2.000000,17.915493,1404.541382,1.188679,1.000000,2.000000,107.682541,934.712341,1.270440,1.000000,2.000000,100.752480,999.004700,8.729560,1.000000,2.000000,14.662824,6864.448730,0.540881,1.000000,2.000000,236.651169,425.318848,1.201258,1.000000,2.000000,26.638744,944.603516,0.710692,0.000000,1.000000,45.026550,558.849182
6.000000,1.786957,1.000000,2.000000,17.907543,2068.489990,1.191304,1.000000,2.000000,107.445259,1378.993408,1.217391,1.000000,2.000000,105.142860,1409.190308,8.591305,1.000000,2.000000,14.898785,9944.858398,0.665217,1.000000,2.000000,192.418304,770.021912,1.130435,1.000000,2.000000,28.307693,1308.533813,0.660870,0.000000,2.000000,48.421055,764.989014
7.000000,1.760355,1.000000,2.000000,18.178152,2984.713379,1.189349,1.000000,2.000000,107.621895,2016.562744,1.177515,1.000000,2.000000,108.703514,1996.497559,8.535503,1.000000,9.000000,14.996186,14472.099609,0.686391,1.000000,2.000000,186.482758,1163.787476,1.210059,1.000000,2.000000,26.444988,2051.677002,0.707101,0.000000,1.000000,45.255230,1198.901733
8.000000,1.763587,1.000000,13.000000,18.144838,9699.856445,1.198370,1.000000,3.000000,106.811783,6591.119629,1.230072,1.000000,2.000000,104.058907,6765.487793,8.605072,1.000000,13.000000,14.874949,47328.519531,0.646739,1.000000,13.000000,197.915970,3557.111816,1.202899,1.000000,13.000000,26.602411,6616.028809,0.689312,0.000000,1.000000,46.423126,3791.263672
9.000000,1.758920,1.000000,3.000000,18.192978,19190.326172,1.212260,1.000000,2.000000,105.587921,13226.102539,1.220037,1.000000,2.000000,104.914886,13310.949219,8.583714,1.000000,9.000000,14.911960,93650.781250,0.680695,1.000000,3.000000,188.042999,7426.581055,1.206770,1.000000,3.000000,26.517059,13166.209961,0.693962,0.000000,1.000000,46.112064,7571.319336
