Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, 0.000000, 0.707107, 269, 100, 109, 0.077122, 0.917431, 2441, 22.394495, 1.428923
1.000000, 1.000000, 0.630210, 210, 100, 112, 0.058594, 0.892857, 1656, 14.785714, 2.164251
2.000000, 2.000000, 0.561675, 183, 100, 142, 0.040273, 0.704225, 2075, 14.612676, 2.189879
3.000000, 3.000000, 0.500593, 137, 100, 196, 0.021843, 0.510204, 3155, 16.096939, 1.987956
4.000000, 4.000000, 0.446154, 116, 100, 288, 0.012587, 0.347222, 4061, 14.100695, 2.269392
5.000000, 5.000000, 0.397635, 111, 100, 605, 0.005733, 0.165289, 7786, 12.869422, 2.486514
6.000000, 6.000000, 0.354393, 104, 100, 1439, 0.002259, 0.069493, 18595, 12.922168, 2.476365
7.000000, 7.000000, 0.315853, 101, 100, 3987, 0.000792, 0.025082, 51331, 12.874593, 2.485516
8.000000, 8.000000, 0.281504, 101, 100, 15793, 0.000200, 0.006332, 203085, 12.859179, 2.488495
9.000000, 9.000000, 0.250891, 100, 100, 88409, 0.000035, 0.001131, 1137692, 12.868509, 2.486691
10.000000, 10.000000, 0.223607, 100, 100, 736175, 0.000004, 0.000136, 9558416, 12.983891, 2.464592
11.000000, 11.000000, 0.199290, 100, 100, 10340504, 0.000000, 0.000010, 135698744, 13.123031, 2.438461
