Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.043103,0.000000,4.000000,15.662447,1246.237671,1.103448,0.000000,2.000000,58.000000,673.073486,1.198276,1.000000,2.000000,53.410076,730.915710,5.732759,0.000000,4.000000,11.163910,3496.827148,0.775862,0.000000,4.000000,82.488884,473.254822,1.258621,0.000000,4.000000,25.424656,767.724487,0.862069,0.000000,1.000000,37.119999,525.838623
1.000000,2.042017,2.000000,3.000000,15.670782,1312.023560,1.067227,1.000000,2.000000,59.968506,685.707825,1.235294,1.000000,2.000000,51.809525,793.693298,5.521008,2.000000,7.000000,11.592085,3547.322998,0.806723,1.000000,3.000000,79.333336,518.330322,1.210084,2.000000,3.000000,26.444443,777.495483,0.798319,0.000000,1.000000,40.084209,512.931030
2.000000,1.914894,0.000000,2.000000,16.711111,1540.048462,1.049645,1.000000,2.000000,60.972973,844.174744,1.241135,1.000000,2.000000,51.565712,998.179626,5.241135,0.000000,5.000000,12.211097,4215.169434,0.751773,0.000000,2.000000,85.132072,604.611633,1.170213,0.000000,2.000000,27.345455,941.140686,0.858156,0.000000,1.000000,37.289257,690.169922
3.000000,1.877778,1.000000,2.000000,17.041420,1975.324829,1.027778,0.000000,2.000000,62.270271,1081.168823,1.200000,1.000000,2.000000,53.333332,1262.337769,5.111111,1.000000,2.000000,12.521739,5376.623535,0.705556,1.000000,2.000000,90.708664,742.207825,1.144444,1.000000,2.000000,27.961164,1203.896118,0.833333,0.000000,11.000000,38.400002,876.623352
4.000000,1.789116,1.000000,2.000000,17.885931,3295.907959,0.969388,0.000000,2.000000,66.021049,1785.805664,1.068027,1.000000,2.000000,59.923565,1967.519287,4.772109,1.000000,2.000000,13.411261,8791.176758,0.714286,1.000000,2.000000,89.599998,1315.856812,1.054422,1.000000,2.000000,30.348387,1942.455200,0.741497,0.000000,1.000000,43.155960,1365.984741
5.000000,1.725455,1.000000,2.000000,18.545837,6215.910156,0.927273,0.000000,1.000000,69.019608,3340.478516,1.054545,0.000000,2.000000,60.689659,3798.975586,4.581818,1.000000,2.000000,13.968254,16505.894531,0.650909,1.000000,2.000000,98.324028,2344.884766,1.014545,1.000000,2.000000,31.541220,3654.876709,0.654545,0.000000,1.000000,48.888889,2357.984863
6.000000,1.675445,1.000000,3.000000,19.099398,14052.097656,0.917118,0.000000,1.000000,69.783783,7691.947754,1.058869,0.000000,2.000000,60.441841,8880.822266,4.670023,1.000000,4.000000,13.704428,39167.871094,0.706429,1.000000,3.000000,90.596489,5924.878906,1.013943,1.000000,3.000000,31.559969,8504.020508,0.716499,0.000000,1.000000,44.661621,6009.334961
7.000000,1.719016,1.000000,3.000000,18.615299,47330.156250,0.921003,0.000000,2.000000,69.489471,25358.234375,1.049432,0.000000,4.000000,60.985348,28894.318359,4.635525,1.000000,3.000000,13.806418,127631.226562,0.657521,1.000000,3.000000,97.335251,18103.720703,1.012062,1.000000,3.000000,31.618603,27865.402344,0.679281,0.000000,2.000000,47.108635,18702.835938
8.000000,1.699711,1.000000,4.000000,18.826733,196696.640625,0.918222,0.000000,4.000000,69.699959,106259.898438,1.048602,0.000000,4.000000,61.033638,121348.007812,4.631033,1.000000,5.000000,13.819811,535919.812500,0.640163,1.000000,4.000000,99.974487,74081.992188,1.006692,1.000000,4.000000,31.787277,116498.023438,0.661941,0.000000,1.000000,48.342701,76602.156250
9.000000,1.701974,0.000000,4.000000,18.801699,974790.500000,0.924861,0.000000,4.000000,69.199593,529705.937500,1.053098,0.000000,4.000000,60.773094,603152.312500,4.656615,0.000000,4.000000,13.743890,2667034.750000,0.650950,0.000000,4.000000,98.317772,372826.125000,1.013266,0.000000,4.000000,31.581051,580339.062500,0.676046,0.000000,3.000000,47.334038,387199.500000
10.000000,1.705797,0.000000,18.000000,18.759563,10039408.000000,0.922583,0.000000,17.000000,69.370453,5429830.500000,1.053572,0.000000,18.000000,60.745731,6200761.500000,4.649805,0.000000,18.000000,13.764019,27366266.000000,0.651031,0.000000,18.000000,98.305565,3831622.500000,1.013175,0.000000,18.000000,31.583897,5963004.000000,0.676155,0.000000,4.000000,47.326427,3979486.750000
11.000000,1.702810,0.000000,14.000000,18.792471,107763680.000000,0.922159,0.000000,7.000000,69.402382,58359552.000000,1.054406,0.000000,8.000000,60.697701,66728912.000000,4.503391,0.000000,14.000000,14.211514,285000736.000000,0.654024,0.000000,14.000000,97.855690,41390456.000000,1.013315,0.000000,14.000000,31.579527,64128440.000000,0.679392,0.000000,7.000000,47.100948,42995864.000000
