Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,11.000000,10.000000,14.000000,23.272728,10.605476,5.840000,5.000000,7.000000,175.342468,5.630544,5.510000,4.000000,9.000000,185.843918,5.312379,71.889999,10.000000,14.000000,14.243984,69.311607,0.920000,1.000000,14.000000,1113.043457,0.887003,6.350000,10.000000,14.000000,40.314960,6.122252,2.210000,1.000000,3.000000,115.837105,2.130737
1.000000,9.830000,9.000000,11.000000,26.042727,10.564213,5.280000,5.000000,6.000000,193.939392,5.674368,4.850000,4.000000,6.000000,211.134018,5.212251,64.660004,9.000000,63.000000,15.836683,69.489525,0.900000,9.000000,11.000000,1137.777832,0.967222,5.670000,9.000000,11.000000,45.149910,6.093498,1.860000,1.000000,3.000000,137.634415,1.998925
2.000000,9.770000,9.000000,11.000000,26.202660,10.653147,5.190000,5.000000,6.000000,197.302505,5.659143,4.850000,4.000000,6.000000,211.134018,5.288409,64.019997,9.000000,66.000000,15.995003,69.806999,0.840000,1.000000,11.000000,1219.047607,0.915931,5.420000,6.000000,11.000000,47.232471,5.909934,1.620000,1.000000,2.000000,158.024689,1.766438
3.000000,9.810000,9.000000,10.000000,26.095819,10.726001,5.200000,5.000000,6.000000,196.923080,5.685545,4.830000,4.000000,7.000000,212.008286,5.280997,64.010002,9.000000,64.000000,15.997499,69.986877,0.850000,9.000000,10.000000,1204.705811,0.929368,5.290000,9.000000,10.000000,48.393196,5.783949,1.470000,1.000000,3.000000,174.149658,1.607260
4.000000,9.780000,9.000000,11.000000,26.175869,10.713112,5.280000,5.000000,6.000000,193.939392,5.783766,4.830000,4.000000,6.000000,212.008286,5.290832,63.930000,9.000000,11.000000,16.017519,70.029579,0.890000,1.000000,11.000000,1150.561768,0.974915,5.250000,9.000000,11.000000,48.761906,5.750904,1.330000,1.000000,2.000000,192.481201,1.456896
5.000000,9.760000,9.000000,10.000000,26.229507,10.740618,5.250000,5.000000,6.000000,195.047623,5.777484,4.900000,4.000000,6.000000,208.979584,5.392319,63.930000,9.000000,64.000000,16.017519,70.353249,0.850000,1.000000,10.000000,1204.705811,0.935402,5.050000,5.000000,10.000000,50.693066,5.557390,1.130000,1.000000,2.000000,226.548676,1.243535
6.000000,9.843137,9.000000,10.000000,26.007969,10.827131,5.264706,5.000000,6.000000,194.502808,5.791006,4.921568,4.000000,6.000000,208.063751,5.413566,63.931374,9.000000,10.000000,16.017176,70.322441,0.901961,1.000000,10.000000,1135.304321,0.992128,4.980392,9.000000,10.000000,51.401577,5.478270,1.068627,1.000000,2.000000,239.559631,1.175456
7.000000,9.792453,9.000000,11.000000,26.142582,10.830551,5.169811,5.000000,6.000000,198.072998,5.717863,4.811321,4.000000,6.000000,212.831375,5.321369,63.943398,9.000000,65.000000,16.014164,70.722038,0.820755,9.000000,11.000000,1247.632202,0.907763,4.877358,9.000000,11.000000,52.487427,5.394407,1.000000,0.000000,2.000000,256.000000,1.106010
8.000000,9.777778,9.000000,10.000000,26.181818,10.797545,5.254902,5.000000,6.000000,194.865677,5.802959,4.882353,4.000000,6.000000,209.734940,5.391555,63.986927,9.000000,10.000000,16.003269,70.660408,0.771242,1.000000,10.000000,1327.728760,0.851678,4.928104,5.000000,10.000000,51.946953,5.442078,0.954248,0.000000,2.000000,268.273987,1.053771
9.000000,9.793221,9.000000,10.000000,26.140533,10.823062,5.237288,5.000000,6.000000,195.521042,5.788034,4.854237,4.000000,6.000000,210.949722,5.364702,63.938984,9.000000,10.000000,16.015268,70.662720,0.833898,1.000000,10.000000,1227.967529,0.921590,4.884746,9.000000,10.000000,52.408051,5.398418,0.942373,0.000000,2.000000,271.654694,1.041471
10.000000,9.762002,9.000000,15.000000,26.224129,10.789239,5.223698,5.000000,7.000000,196.029724,5.773377,4.927477,4.000000,7.000000,207.814270,5.445986,63.971401,9.000000,65.000000,16.007153,70.702995,0.812053,9.000000,15.000000,1261.001221,0.897504,4.876404,9.000000,15.000000,52.497700,5.389539,0.906027,0.000000,2.000000,282.552429,1.001366
11.000000,9.775453,9.000000,12.000000,26.188046,10.800342,5.227609,5.000000,7.000000,195.883041,5.775688,4.879561,4.000000,7.000000,209.854950,5.391149,63.996174,9.000000,64.000000,16.000957,70.705727,0.826742,9.000000,12.000000,1238.597534,0.913420,4.875989,5.000000,12.000000,52.502171,5.387203,0.929064,0.000000,2.000000,275.546265,1.026469
12.000000,9.776413,9.000000,19.000000,26.185472,10.805080,5.223428,4.000000,9.000000,196.039825,5.773034,4.866237,4.000000,8.000000,210.429535,5.378259,63.999443,9.000000,63.000000,16.000139,70.733421,0.829456,1.000000,19.000000,1234.543457,0.916731,4.863096,9.000000,19.000000,52.641365,5.374787,0.921707,0.000000,2.000000,277.745636,1.018688
13.000000,9.774932,9.000000,15.000000,26.189442,10.834634,5.231325,4.000000,22.000000,195.743896,5.798454,4.871961,3.000000,25.000000,210.182327,5.400131,64.024101,9.000000,15.000000,15.993977,70.964966,0.831047,9.000000,15.000000,1232.180176,0.921141,4.867853,9.000000,15.000000,52.589920,5.395578,0.920386,0.000000,16.000000,278.144196,1.020165
14.000000,9.698947,5.000000,18.000000,26.394617,11.507243,5.199355,2.000000,13.000000,196.947495,6.168736,4.847806,1.000000,12.000000,211.229553,5.751644,64.010788,5.000000,65.000000,15.997303,75.945122,0.824791,0.000000,18.000000,1241.526855,0.978567,4.839393,5.000000,18.000000,52.899200,5.741661,0.916384,0.000000,8.000000,279.358826,1.087237
