Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, 0.000000, 0.707107, 2094, 100, 100, 0.081797, 1.000000, 4789, 47.889999, 5.345583
1.000000, 1.000000, 0.630210, 1439, 100, 100, 0.056211, 1.000000, 4520, 45.200001, 5.663717
2.000000, 2.000000, 0.561675, 992, 100, 100, 0.038750, 1.000000, 4246, 42.459999, 6.029204
3.000000, 3.000000, 0.500593, 594, 100, 100, 0.023203, 1.000000, 4052, 40.520000, 6.317868
4.000000, 4.000000, 0.446154, 347, 100, 105, 0.012909, 0.952381, 4236, 40.342857, 6.345609
5.000000, 5.000000, 0.397635, 227, 100, 130, 0.006821, 0.769231, 5240, 40.307693, 6.351145
6.000000, 6.000000, 0.354393, 136, 100, 211, 0.002518, 0.473934, 8514, 40.350712, 6.344374
7.000000, 7.000000, 0.315853, 114, 100, 542, 0.000822, 0.184502, 21832, 40.280441, 6.355442
8.000000, 8.000000, 0.281504, 105, 100, 2425, 0.000169, 0.041237, 97562, 40.231754, 6.363133
9.000000, 9.000000, 0.250891, 100, 100, 11497, 0.000034, 0.008698, 462537, 40.231102, 6.363236
10.000000, 10.000000, 0.223607, 100, 100, 95478, 0.000004, 0.001047, 3846079, 40.282360, 6.355139
11.000000, 11.000000, 0.199290, 100, 100, 1298583, 0.000000, 0.000077, 52023618, 40.061832, 6.390122
