Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,11.090000,10.000000,13.000000,23.083858,17.878447,3.500000,3.000000,14.000000,146.285721,5.642431,4.040000,0.000000,5.000000,126.732674,6.512978,36.869999,10.000000,13.000000,13.886629,59.438984,0.820000,0.000000,13.000000,624.390259,1.321941,4.020000,10.000000,13.000000,63.681591,6.480735,1.690000,1.000000,2.000000,151.479279,2.724488
1.000000,10.480000,9.000000,14.000000,24.427483,18.047184,3.100000,2.000000,4.000000,165.161301,5.338385,3.760000,3.000000,5.000000,136.170212,6.474944,34.730000,9.000000,32.000000,14.742298,59.807129,0.840000,9.000000,14.000000,609.523804,1.446530,3.680000,9.000000,14.000000,69.565216,6.337179,1.480000,1.000000,2.000000,172.972977,2.548648
2.000000,9.820000,9.000000,13.000000,26.069248,18.088045,2.980000,2.000000,4.000000,171.812073,5.489040,3.520000,3.000000,5.000000,145.454544,6.483698,32.430000,9.000000,13.000000,15.787850,59.734756,0.730000,9.000000,13.000000,701.369873,1.344631,3.580000,4.000000,13.000000,71.508385,6.594216,1.230000,1.000000,2.000000,208.130081,2.265610
3.000000,9.740000,9.000000,12.000000,26.283369,18.010355,2.940000,2.000000,3.000000,174.149658,5.436390,3.530000,3.000000,6.000000,145.042496,6.527367,32.480000,9.000000,12.000000,15.763547,60.059170,0.730000,9.000000,12.000000,701.369873,1.349852,3.520000,9.000000,12.000000,72.727272,6.508875,1.140000,1.000000,2.000000,224.561401,2.107988
4.000000,9.817307,9.000000,10.000000,26.076397,18.144659,2.903846,2.000000,5.000000,176.317871,5.366981,3.615385,3.000000,5.000000,141.617020,6.682068,32.403847,9.000000,10.000000,15.800593,59.889820,0.740385,9.000000,10.000000,691.532471,1.368402,3.576923,3.000000,10.000000,71.569893,6.610983,1.048077,1.000000,2.000000,244.256897,1.937089
5.000000,9.800000,9.000000,10.000000,26.122448,18.140396,2.946154,2.000000,5.000000,173.785904,5.453510,3.515385,3.000000,8.000000,145.645508,6.507191,32.369232,9.000000,32.000000,15.817490,59.917419,0.753846,1.000000,10.000000,679.183655,1.395415,3.615385,9.000000,10.000000,70.808510,6.692297,1.023077,0.000000,2.000000,250.225571,1.893777
6.000000,9.720589,9.000000,11.000000,26.335854,18.043676,2.887255,2.000000,4.000000,177.331070,5.359418,3.514706,3.000000,5.000000,145.673645,6.524113,32.436275,9.000000,32.000000,15.784797,60.209282,0.745098,1.000000,11.000000,687.157898,1.383076,3.583333,9.000000,11.000000,71.441864,6.651501,0.985294,0.000000,2.000000,259.820892,1.828936
7.000000,9.786738,9.000000,12.000000,26.157846,18.160957,2.910394,2.000000,3.000000,175.921188,5.400732,3.534050,3.000000,4.000000,144.876266,6.558032,32.396057,9.000000,31.000000,15.804393,60.116394,0.772401,1.000000,12.000000,662.867737,1.433322,3.550179,3.000000,12.000000,72.109032,6.587961,0.939068,0.000000,2.000000,272.610687,1.742601
8.000000,9.732266,9.000000,11.000000,26.304253,18.103174,2.923200,2.000000,5.000000,175.150528,5.437500,3.545600,3.000000,5.000000,144.404327,6.595238,32.397335,9.000000,34.000000,15.803769,60.262901,0.744533,0.000000,11.000000,687.679077,1.384921,3.501867,9.000000,11.000000,73.103867,6.513889,0.915200,0.000000,2.000000,279.720276,1.702381
9.000000,9.742041,8.000000,19.000000,26.277863,18.125326,2.928688,2.000000,4.000000,174.822327,5.448902,3.512915,2.000000,6.000000,145.747894,6.535872,32.379475,8.000000,32.000000,15.812487,60.242882,0.735090,1.000000,19.000000,696.513672,1.367654,3.528018,8.000000,19.000000,72.561981,6.563973,0.921994,0.000000,4.000000,277.658966,1.715395
10.000000,9.731599,7.000000,19.000000,26.306057,18.115622,2.930917,1.000000,34.000000,174.689346,5.455978,3.509243,0.000000,19.000000,145.900406,6.532546,32.378624,7.000000,32.000000,15.812901,60.273636,0.730960,0.000000,19.000000,700.448242,1.360702,3.517491,7.000000,19.000000,72.779144,6.547900,0.920548,0.000000,6.000000,278.095093,1.713624
11.000000,9.727251,3.000000,73.000000,26.317816,18.776012,2.929373,0.000000,35.000000,174.781464,5.654418,3.506090,0.000000,62.000000,146.031601,6.767626,32.225445,3.000000,73.000000,15.888066,62.203121,0.730154,1.000000,73.000000,701.222229,1.409378,3.515859,3.000000,73.000000,72.812935,6.786482,0.920003,0.000000,27.000000,278.259857,1.775835
