Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.237624,2.000000,6.000000,14.300885,11.518858,1.465347,1.000000,2.000000,87.351349,7.543323,1.504951,1.000000,2.000000,85.052628,7.747197,10.762376,2.000000,6.000000,11.893285,55.402645,0.801980,2.000000,6.000000,159.604935,4.128440,1.594059,2.000000,6.000000,20.074535,8.205912,1.059406,0.000000,3.000000,30.205608,5.453619
1.000000,2.029412,2.000000,3.000000,15.768116,11.022365,2.117647,1.000000,72.000000,60.444443,11.501598,1.500000,1.000000,2.000000,85.333336,8.146965,9.696078,2.000000,3.000000,13.201214,52.662407,0.754902,1.000000,3.000000,169.558441,4.100107,1.401961,1.000000,3.000000,22.825176,7.614483,0.911765,0.000000,1.000000,35.096775,4.952077
2.000000,2.009709,1.000000,4.000000,15.922706,11.506392,1.320388,1.000000,2.000000,96.941177,7.559756,1.436893,1.000000,2.000000,89.081078,8.226792,9.699029,1.000000,11.000000,13.197197,55.530853,0.747573,0.000000,4.000000,171.220779,4.280156,1.398058,1.000000,4.000000,22.888887,8.004448,0.854369,0.000000,1.000000,37.454544,4.891606
3.000000,1.858407,1.000000,3.000000,17.219048,11.382113,1.274336,1.000000,2.000000,100.444443,7.804878,1.336283,1.000000,3.000000,95.788078,8.184282,9.168141,1.000000,3.000000,13.961390,56.151756,0.646018,1.000000,3.000000,198.136993,3.956639,1.265487,1.000000,3.000000,25.286713,7.750677,0.778761,0.000000,1.000000,41.090908,4.769648
4.000000,1.876923,1.000000,2.000000,17.049181,11.460780,1.246154,1.000000,2.000000,102.716049,7.609207,1.315385,1.000000,4.000000,97.309944,8.031940,9.253846,1.000000,2.000000,13.832087,56.505405,0.661538,1.000000,2.000000,193.488373,4.039455,1.246154,1.000000,2.000000,25.679012,7.609207,0.776923,0.000000,1.000000,41.188118,4.744011
5.000000,1.806667,1.000000,4.000000,17.712177,11.254152,1.246667,1.000000,3.000000,102.673798,7.765780,1.266667,1.000000,4.000000,101.052635,7.890365,8.966666,1.000000,9.000000,14.275094,55.855480,0.726667,1.000000,4.000000,176.146790,4.526578,1.306667,1.000000,4.000000,24.489798,8.139534,0.733333,0.000000,1.000000,43.636364,4.568107
6.000000,1.810680,1.000000,4.000000,17.672922,11.773990,1.213592,1.000000,3.000000,105.471992,7.891414,1.189320,1.000000,2.000000,107.624481,7.733586,8.640777,1.000000,4.000000,14.813483,56.186867,0.621359,0.000000,4.000000,206.000000,4.040404,1.194175,1.000000,4.000000,26.796747,7.765152,0.708738,0.000000,1.000000,45.150684,4.608586
7.000000,1.807143,1.000000,2.000000,17.707510,11.711156,1.216667,1.000000,2.000000,105.205475,7.884586,1.200000,1.000000,2.000000,106.666664,7.776578,8.623810,1.000000,2.000000,14.842628,55.886440,0.690476,1.000000,2.000000,185.379318,4.474618,1.171429,1.000000,2.000000,27.317074,7.591421,0.721429,0.000000,2.000000,44.356434,4.675205
8.000000,1.780087,1.000000,2.000000,17.976645,11.577599,1.195843,1.000000,2.000000,107.037506,7.777699,1.206783,1.000000,2.000000,106.067085,7.848858,8.626915,1.000000,9.000000,14.837285,56.109020,0.668490,1.000000,2.000000,191.476257,4.347826,1.192560,1.000000,2.000000,26.833027,7.756351,0.704595,0.000000,3.000000,45.416149,4.582651
9.000000,1.766551,1.000000,3.000000,18.114399,11.486832,1.192073,0.000000,2.000000,107.375954,7.751346,1.228223,1.000000,3.000000,104.215607,7.986406,8.613240,1.000000,9.000000,14.860842,56.006798,0.669861,0.000000,3.000000,191.084534,4.355707,1.209930,1.000000,3.000000,26.447805,7.867459,0.699042,0.000000,1.000000,45.776947,4.545454
