Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.146789,2.000000,5.000000,14.905982,11.414635,1.568807,1.000000,2.000000,81.590645,8.341464,1.504587,1.000000,3.000000,85.073174,8.000000,10.440367,2.000000,5.000000,12.260106,55.512192,0.825688,2.000000,5.000000,155.022217,4.390244,1.357798,2.000000,5.000000,23.567566,7.219512,0.963303,0.000000,2.000000,33.219048,5.121952
1.000000,1.897436,1.000000,3.000000,16.864864,10.979229,1.376068,1.000000,2.000000,93.018639,7.962414,1.495726,1.000000,6.000000,85.577141,8.654798,9.709402,1.000000,3.000000,13.183098,56.181999,0.743590,1.000000,3.000000,172.137924,4.302671,1.179487,1.000000,3.000000,27.130434,6.824926,0.880342,0.000000,9.000000,36.349514,5.093966
2.000000,1.898438,1.000000,2.000000,16.855967,11.106033,1.375000,1.000000,2.000000,93.090912,8.043876,1.382812,1.000000,2.000000,92.564972,8.089580,9.570312,1.000000,10.000000,13.374694,55.987202,0.765625,1.000000,2.000000,167.183670,4.478976,1.242188,1.000000,2.000000,25.761005,7.266911,0.859375,0.000000,1.000000,37.236362,5.027422
3.000000,1.784753,1.000000,4.000000,17.929649,11.061701,1.286996,1.000000,2.000000,99.456444,7.976654,1.300448,1.000000,2.000000,98.427589,8.060034,9.098655,1.000000,10.000000,14.068014,56.392441,0.713004,1.000000,4.000000,179.522018,4.419122,1.188341,1.000000,4.000000,26.928303,7.365202,0.762332,0.000000,1.000000,41.976471,4.724847
4.000000,1.797203,1.000000,2.000000,17.805447,11.498881,1.241259,1.000000,3.000000,103.121124,7.941834,1.276224,1.000000,2.000000,100.295891,8.165548,8.863636,1.000000,2.000000,14.441026,56.711407,0.667832,0.000000,2.000000,191.664917,4.272931,1.118881,1.000000,2.000000,28.600000,7.158836,0.664336,0.000000,1.000000,48.168419,4.250559
5.000000,1.681979,1.000000,2.000000,19.025209,11.069767,1.183746,1.000000,2.000000,108.131340,7.790698,1.249117,1.000000,2.000000,102.472412,8.220930,8.636043,1.000000,8.000000,14.821604,56.837208,0.664311,1.000000,2.000000,192.680862,4.372093,1.088339,1.000000,2.000000,29.402597,7.162791,0.690813,0.000000,1.000000,46.322250,4.546511
6.000000,1.713435,1.000000,2.000000,18.675930,11.260757,1.195578,1.000000,3.000000,107.061165,7.857382,1.253401,1.000000,5.000000,102.122116,8.237398,8.639456,1.000000,10.000000,14.815748,56.778809,0.649660,0.000000,2.000000,197.026169,4.269588,1.083333,1.000000,2.000000,29.538460,7.119705,0.681122,0.000000,1.000000,46.981274,4.476361
7.000000,1.692120,1.000000,4.000000,18.911186,11.172295,1.193339,0.000000,3.000000,107.262085,7.879070,1.216626,1.000000,2.000000,105.208992,8.032825,8.606011,1.000000,4.000000,14.873324,56.821552,0.667479,1.000000,4.000000,191.766327,4.407058,1.090712,1.000000,4.000000,29.338629,7.201473,0.679393,0.000000,3.000000,47.100834,4.485724
8.000000,1.698898,0.000000,4.000000,18.835735,11.176828,1.199266,0.000000,3.000000,106.731987,7.889810,1.231089,1.000000,3.000000,103.972954,8.099174,8.624724,0.000000,4.000000,14.841054,56.740921,0.667381,0.000000,4.000000,191.794586,4.390609,1.094737,0.000000,4.000000,29.230770,7.202128,0.684088,0.000000,3.000000,46.777599,4.500525
9.000000,1.716528,0.000000,18.000000,18.642286,11.223647,1.218925,0.000000,4.000000,105.010551,7.970034,1.246197,0.000000,5.000000,102.712471,8.148355,8.636060,0.000000,18.000000,14.821574,56.467533,0.676220,0.000000,18.000000,189.287476,4.421516,1.108133,0.000000,18.000000,28.877388,7.245615,0.691786,0.000000,8.000000,46.257088,4.523294
10.000000,1.697303,0.000000,18.000000,18.853437,11.185448,1.200582,0.000000,5.000000,106.614944,7.911991,1.227480,0.000000,7.000000,104.278679,8.089252,8.624301,0.000000,18.000000,14.841783,56.835255,0.659600,0.000000,18.000000,194.057083,4.346847,1.090303,0.000000,18.000000,29.349651,7.185234,0.674642,0.000000,6.000000,47.432560,4.445978
11.000000,1.683368,0.000000,36.000000,19.009512,18.250145,1.196779,0.000000,14.000000,106.953735,12.974817,1.222676,0.000000,11.000000,104.688446,13.255572,8.179441,0.000000,36.000000,15.648991,88.676987,0.655537,0.000000,36.000000,195.259872,7.106966,1.085273,0.000000,36.000000,29.485661,11.765933,0.669892,0.000000,26.000000,47.768929,7.262593
