Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, 0.000000, 0.707107, 265, 100, 108, 0.076678, 0.925926, 1780, 16.481482, 1.941573
1.000000, 1.000000, 0.630210, 198, 100, 111, 0.055743, 0.900901, 1658, 14.936937, 2.142340
2.000000, 2.000000, 0.561675, 175, 100, 132, 0.041430, 0.757576, 2169, 16.431818, 1.947441
3.000000, 3.000000, 0.500593, 141, 100, 195, 0.022596, 0.512821, 2694, 13.815385, 2.316258
4.000000, 4.000000, 0.446154, 129, 100, 335, 0.012034, 0.298507, 4586, 13.689552, 2.337549
5.000000, 5.000000, 0.397635, 112, 100, 605, 0.005785, 0.165289, 8053, 13.310743, 2.404073
6.000000, 6.000000, 0.354393, 102, 100, 1266, 0.002518, 0.078989, 16334, 12.902054, 2.480225
7.000000, 7.000000, 0.315853, 103, 100, 3801, 0.000847, 0.026309, 48982, 12.886609, 2.483198
8.000000, 8.000000, 0.281504, 100, 100, 16652, 0.000188, 0.006005, 214399, 12.875270, 2.485385
9.000000, 9.000000, 0.250891, 100, 100, 94563, 0.000033, 0.001057, 1217241, 12.872275, 2.485963
10.000000, 10.000000, 0.223607, 100, 100, 852880, 0.000004, 0.000117, 11051153, 12.957454, 2.469621
11.000000, 11.000000, 0.199290, 100, 100, 11001349, 0.000000, 0.000009, 141378294, 12.850996, 2.490079
