Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1852.085693,11.000000,15259.000000,0.138223,76.852455,32.361904,5.000000,352.000000,31.642143,1.342860,20.485714,4.000000,154.000000,49.986053,0.850056,476.466675,11.000000,15259.000000,2.149153,19.771027,9.190476,11.000000,15259.000000,111.419685,0.381360,32.580952,11.000000,15259.000000,7.857352,1.351949,36.400002,2.000000,303.000000,7.032967,1.510421
1.000000,2358.571533,10.000000,8566.000000,0.108540,77.743874,43.266666,5.000000,276.000000,23.667181,1.426168,39.628571,4.000000,337.000000,25.839943,1.306248,608.266663,10.000000,8566.000000,1.683472,20.049852,6.095238,10.000000,8566.000000,168.000000,0.200913,46.295238,10.000000,8566.000000,5.529727,1.525996,25.876190,2.000000,380.000000,9.893265,0.852938
2.000000,2803.952393,11.000000,7265.000000,0.091300,81.320457,45.571430,5.000000,529.000000,22.470219,1.321666,34.857143,4.000000,169.000000,29.377048,1.010930,563.438110,11.000000,7265.000000,1.817413,16.340878,5.438095,11.000000,7265.000000,188.301224,0.157716,34.571430,11.000000,7265.000000,7.404958,1.002643,22.847618,2.000000,505.000000,11.204669,0.662628
3.000000,2068.523926,10.000000,7361.000000,0.123760,77.901848,36.742859,5.000000,240.000000,27.869362,1.383758,41.980953,4.000000,252.000000,24.392014,1.581028,575.219055,10.000000,7361.000000,1.780191,21.663094,6.200000,10.000000,7361.000000,165.161301,0.233496,33.009525,10.000000,7361.000000,7.755337,1.243158,15.895238,1.000000,196.000000,16.105453,0.598624
4.000000,2700.723877,12.000000,6446.000000,0.094789,83.947647,25.838095,5.000000,176.000000,39.631405,0.803136,24.847618,4.000000,112.000000,41.211193,0.772348,440.580963,12.000000,6446.000000,2.324204,13.694750,5.723810,3.000000,6446.000000,178.901825,0.177915,26.638096,8.000000,6446.000000,9.610296,0.828002,9.866667,1.000000,125.000000,25.945946,0.306689
5.000000,2568.228516,11.000000,7929.000000,0.099680,81.166397,32.304764,5.000000,241.000000,31.698111,1.020961,32.400002,4.000000,349.000000,31.604937,1.023971,499.819061,11.000000,7929.000000,2.048741,15.796302,7.580952,11.000000,7929.000000,135.075378,0.239589,37.828571,11.000000,7929.000000,6.767372,1.195536,10.200000,0.000000,235.000000,25.098040,0.322361
6.000000,2288.019043,10.000000,7331.000000,0.111887,77.870697,23.419048,5.000000,127.000000,43.725090,0.797046,33.619049,4.000000,235.000000,30.458921,1.144194,591.676208,10.000000,7331.000000,1.730676,20.137175,4.704762,10.000000,7331.000000,217.651825,0.160122,32.609524,10.000000,7331.000000,7.850467,1.109836,13.000000,1.000000,149.000000,19.692308,0.442443
7.000000,3193.784424,10.000000,7370.000000,0.080156,85.320374,32.431034,5.000000,387.000000,31.574696,0.866379,32.594826,4.000000,180.000000,31.416029,0.870755,479.862061,10.000000,7370.000000,2.133947,12.819279,5.043103,1.000000,7370.000000,203.049576,0.134724,25.775862,8.000000,7370.000000,9.931772,0.688589,8.922414,1.000000,176.000000,28.691788,0.238358
8.000000,2668.725586,9.000000,7462.000000,0.095926,83.002121,41.871952,5.000000,351.000000,24.455511,1.302292,33.725609,4.000000,326.000000,30.362684,1.048926,536.060974,9.000000,7462.000000,1.910231,16.672451,7.487805,1.000000,7462.000000,136.755707,0.232884,31.737804,7.000000,7462.000000,8.066091,0.987102,7.896341,0.000000,175.000000,32.420078,0.245590
9.000000,2829.223633,10.000000,8722.000000,0.090484,83.683945,37.820587,5.000000,346.000000,27.075201,1.118673,29.094118,4.000000,222.000000,35.196117,0.860558,519.073547,10.000000,8722.000000,1.972746,15.353371,4.900000,1.000000,8722.000000,208.979584,0.144934,32.417648,7.000000,8722.000000,7.896933,0.958863,6.214706,0.000000,247.000000,41.192616,0.183821
