Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1887.876221,70.000000,7069.000000,0.135602,92.753838,11.523809,1.000000,92.000000,22.214876,0.566180,10.838096,2.000000,118.000000,23.620386,0.532490,96.438095,27.000000,7069.000000,2.654553,4.738130,4.514286,1.000000,7069.000000,56.708862,0.221793,15.447619,3.000000,7069.000000,16.572132,0.758962,12.666667,1.000000,176.000000,20.210526,0.622330
1.000000,3370.942871,19.000000,6744.000000,0.075943,96.034866,10.380953,1.000000,128.000000,24.660549,0.295743,14.600000,2.000000,112.000000,17.534246,0.415940,113.647621,19.000000,6744.000000,2.252577,3.237710,4.657143,5.000000,6744.000000,54.969326,0.132677,17.809525,19.000000,6744.000000,14.374331,0.507376,12.495238,1.000000,141.000000,20.487804,0.355977
2.000000,3327.190430,12.000000,9422.000000,0.076942,96.281624,14.695238,1.000000,246.000000,17.420609,0.425248,14.809524,2.000000,178.000000,17.286175,0.428555,104.971428,12.000000,9422.000000,2.438759,3.037644,4.038095,2.000000,9422.000000,63.396221,0.116854,25.257143,12.000000,9422.000000,10.135747,0.730887,8.838096,1.000000,138.000000,28.965515,0.255755
3.000000,3172.418945,11.000000,7157.000000,0.080696,97.048378,14.000000,1.000000,102.000000,18.285715,0.428278,11.171429,2.000000,98.000000,22.915602,0.341748,114.152382,11.000000,7157.000000,2.242616,3.492068,2.885714,1.000000,7157.000000,88.712868,0.088278,16.009523,5.000000,7157.000000,15.990482,0.489752,20.104761,1.000000,343.000000,12.733302,0.615030
4.000000,3309.256836,40.000000,8781.000000,0.077359,96.403206,16.256880,1.000000,165.000000,15.747179,0.473585,19.834862,2.000000,200.000000,12.906569,0.577817,112.275230,40.000000,8781.000000,2.280111,3.270732,7.724771,40.000000,8781.000000,33.140144,0.225033,19.522936,40.000000,8781.000000,13.112782,0.568730,9.944954,1.000000,136.000000,25.741697,0.289710
5.000000,3378.717529,15.000000,7999.000000,0.075768,96.320091,15.305344,1.000000,160.000000,16.726185,0.436323,17.038168,2.000000,284.000000,15.025089,0.485722,113.068703,15.000000,7999.000000,2.264110,3.223350,5.129771,1.000000,7999.000000,49.904766,0.146239,19.458015,15.000000,7999.000000,13.156532,0.554707,9.061069,1.000000,175.000000,28.252739,0.258312
6.000000,3373.604492,21.000000,8715.000000,0.075883,98.489723,10.259091,1.000000,168.000000,24.953478,0.299506,14.263637,2.000000,170.000000,17.947737,0.416416,106.918182,21.000000,8715.000000,2.394354,3.121392,3.640909,2.000000,8715.000000,70.312111,0.106293,21.659090,4.000000,8715.000000,11.819518,0.632320,8.390909,0.000000,153.000000,30.509209,0.244966
7.000000,3281.709961,12.000000,7013.000000,0.078008,96.809273,11.714992,1.000000,175.000000,21.852343,0.345588,14.894564,2.000000,223.000000,17.187479,0.439384,109.490936,12.000000,7013.000000,2.338093,3.229944,4.204283,1.000000,7013.000000,60.890285,0.124025,19.584843,12.000000,7013.000000,13.071333,0.577746,6.268534,0.000000,135.000000,40.838898,0.184920
8.000000,3399.386963,10.000000,9457.000000,0.075308,96.410286,13.324499,1.000000,379.000000,19.212730,0.377897,16.590105,2.000000,284.000000,15.430884,0.470513,106.747940,10.000000,9457.000000,2.398173,3.027487,4.861602,10.000000,9457.000000,52.657543,0.137880,19.926384,10.000000,9457.000000,12.847288,0.565134,6.638398,0.000000,315.000000,38.563519,0.188272
9.000000,3320.294189,10.000000,15061.000000,0.077102,96.582657,12.382682,0.000000,274.000000,20.674036,0.360195,14.794844,2.000000,549.000000,17.303326,0.430361,106.297203,10.000000,15061.000000,2.408342,3.092035,4.095924,0.000000,15061.000000,62.501152,0.119145,18.260511,6.000000,15061.000000,14.019322,0.531172,5.456150,0.000000,249.000000,46.919529,0.158712
10.000000,3305.495850,10.000000,43715.000000,0.077447,96.712822,12.469749,0.000000,515.000000,20.529682,0.364842,14.754549,0.000000,793.000000,17.350580,0.431691,105.621033,10.000000,43715.000000,2.423760,3.090280,4.279227,1.000000,43715.000000,59.823887,0.125202,18.145891,5.000000,43715.000000,14.107877,0.530916,5.856221,0.000000,17100.000000,43.714195,0.171342
11.000000,3317.961426,9.000000,106629.000000,0.077156,98.647858,12.550792,0.000000,877.000000,20.397120,0.373153,14.771587,0.000000,8156.000000,17.330568,0.439181,105.901581,9.000000,106629.000000,2.417339,3.148609,4.244370,9.000000,106629.000000,60.315193,0.126191,18.329706,4.000000,106629.000000,13.966399,0.544969,5.569219,0.000000,15953.000000,45.966949,0.165581
