Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -3.010300, 1.000000, 2175, 105, 105, 0.080915, 1.000000, 13485, 128.428574, 1.993326
1.000000, -2.010300, 0.891251, 1497, 105, 105, 0.055692, 1.000000, 13397, 127.590477, 2.006419
2.000000, -1.010300, 0.794328, 996, 105, 105, 0.037054, 1.000000, 13429, 127.895241, 2.001638
3.000000, -0.010300, 0.707946, 594, 105, 105, 0.022098, 1.000000, 12622, 120.209526, 2.129615
4.000000, 0.989700, 0.630957, 347, 105, 114, 0.011890, 0.921053, 13876, 121.719299, 2.103200
5.000000, 1.989700, 0.562341, 194, 104, 133, 0.005698, 0.781955, 15592, 117.233086, 2.183684
6.000000, 2.989700, 0.501187, 128, 103, 196, 0.002551, 0.525510, 23368, 119.224487, 2.147210
7.000000, 3.989700, 0.446684, 108, 102, 633, 0.000666, 0.161137, 71528, 112.998421, 2.265518
8.000000, 4.989700, 0.398107, 103, 101, 2343, 0.000172, 0.043107, 261335, 111.538628, 2.295169
9.000000, 5.989700, 0.354813, 100, 100, 12941, 0.000030, 0.007727, 1425008, 110.115753, 2.324826
10.000000, 6.989700, 0.316228, 100, 100, 99116, 0.000004, 0.001009, 10822954, 109.194824, 2.344434
11.000000, 7.989700, 0.281838, 100, 100, 1211577, 0.000000, 0.000083, 132642336, 109.479080, 2.338346
