Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 504, 105, 106, 0.148585, 0.990566, 1628, 15.358491, 2.083538
1.000000, -5.020600, 1.260419, 386, 104, 108, 0.111690, 0.962963, 1653, 15.305555, 2.090744
2.000000, -4.020600, 1.123350, 312, 105, 109, 0.089450, 0.963303, 1583, 14.522936, 2.203411
3.000000, -3.020600, 1.001187, 248, 105, 117, 0.066239, 0.897436, 1752, 14.974359, 2.136986
4.000000, -2.020600, 0.892308, 209, 104, 134, 0.048741, 0.776119, 1530, 11.417911, 2.802614
5.000000, -1.020600, 0.795271, 165, 103, 171, 0.030154, 0.602339, 2339, 13.678363, 2.339461
6.000000, -0.020600, 0.708786, 131, 102, 221, 0.018524, 0.461538, 2830, 12.805429, 2.498940
7.000000, 0.979400, 0.631706, 121, 103, 426, 0.008876, 0.241784, 5648, 13.258216, 2.413598
8.000000, 1.979400, 0.563009, 103, 100, 814, 0.003954, 0.122850, 10958, 13.461917, 2.377076
9.000000, 2.979400, 0.501782, 102, 100, 1888, 0.001688, 0.052966, 24602, 13.030721, 2.455735
10.000000, 3.979400, 0.447214, 100, 100, 6848, 0.000456, 0.014603, 90668, 13.240070, 2.416906
11.000000, 4.979400, 0.398580, 100, 100, 35543, 0.000088, 0.002813, 449083, 12.634921, 2.532663
12.000000, 5.979400, 0.355234, 101, 101, 180851, 0.000017, 0.000558, 2288676, 12.655037, 2.528637
13.000000, 6.979400, 0.316603, 100, 100, 1500763, 0.000002, 0.000067, 18835157, 12.550386, 2.549722
14.000000, 7.979400, 0.282173, 100, 100, 23649880, 0.000000, 0.000004, 296899609, 12.553959, 2.548997
