Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,141.245285,4.000000,2215.000000,0.226556,66.054886,11.641509,1.000000,83.000000,10.995138,5.444278,8.735849,1.000000,91.000000,14.652267,4.085414,82.801888,4.000000,2215.000000,1.545859,38.723198,7.245283,3.000000,2215.000000,17.666666,3.388335,12.905661,4.000000,2215.000000,2.479532,6.035472,14.245283,1.000000,89.000000,2.246358,6.661961
1.000000,180.592590,2.000000,991.000000,0.177194,66.324341,10.250000,1.000000,89.000000,12.487804,3.764410,9.768518,1.000000,88.000000,13.103317,3.587581,81.444443,2.000000,991.000000,1.571623,29.911243,7.712963,2.000000,991.000000,16.595438,2.832659,10.657408,2.000000,991.000000,3.002606,3.914034,13.351851,1.000000,133.000000,2.396671,4.903594
2.000000,212.100922,2.000000,954.000000,0.150872,76.333076,10.633027,1.000000,79.000000,12.037964,3.826724,8.844037,1.000000,46.000000,14.473028,3.182884,76.513763,2.000000,954.000000,1.672902,27.536568,5.192660,2.000000,954.000000,24.650177,1.868788,11.110092,2.000000,954.000000,2.880264,3.998415,8.073395,0.000000,53.000000,3.963636,2.905537
3.000000,247.803421,2.000000,970.000000,0.129135,78.198837,9.547009,1.000000,108.000000,13.407341,3.012731,9.880342,1.000000,101.000000,12.955018,3.117920,72.666664,2.000000,970.000000,1.761468,22.931276,5.376069,2.000000,970.000000,23.809219,1.696515,9.837606,2.000000,970.000000,3.252824,3.104434,9.350428,0.000000,60.000000,3.422303,2.950696
4.000000,100.000000,2.000000,1105.000000,0.320000,58.395435,7.208955,1.000000,101.000000,17.755693,4.209701,7.440299,1.000000,90.000000,17.203611,4.344795,69.111938,2.000000,1105.000000,1.852068,40.358219,3.917910,2.000000,1105.000000,32.670479,2.287881,7.783582,1.000000,1105.000000,4.111217,4.545257,7.388060,0.000000,90.000000,4.331313,4.314290
5.000000,203.263153,4.000000,1100.000000,0.157431,73.191681,9.801169,1.000000,49.000000,13.059666,3.529238,10.824561,1.000000,94.000000,11.824960,3.897745,72.578949,4.000000,1100.000000,1.763597,26.134476,6.198831,3.000000,1100.000000,20.649055,2.232096,10.169591,3.000000,1100.000000,3.146636,3.661901,8.824561,0.000000,73.000000,3.626243,3.177578
6.000000,197.131226,3.000000,1079.000000,0.162328,72.246361,9.321267,1.000000,73.000000,13.732038,3.416139,9.755656,1.000000,183.000000,13.120593,3.575337,74.321266,3.000000,1079.000000,1.722253,27.237900,5.434389,3.000000,1079.000000,23.553705,1.991642,9.330317,2.000000,1079.000000,3.429680,3.419455,6.809955,0.000000,52.000000,4.699003,2.495771
7.000000,231.410797,2.000000,1392.000000,0.138282,82.647408,9.485915,1.000000,69.000000,13.493690,3.387855,9.518780,1.000000,86.000000,13.447102,3.399593,69.892021,2.000000,1392.000000,1.831396,24.961645,5.847418,2.000000,1392.000000,21.890003,2.088381,9.483568,1.000000,1392.000000,3.374257,3.387017,5.647887,0.000000,52.000000,5.665835,2.017119
8.000000,238.342758,2.000000,1710.000000,0.134260,80.210266,10.328010,0.000000,93.000000,12.393482,3.475719,10.023341,1.000000,90.000000,12.770193,3.373188,70.901718,2.000000,1710.000000,1.805316,23.860788,6.609336,2.000000,1710.000000,19.366543,2.224262,9.635135,1.000000,1710.000000,3.321178,3.242543,5.557740,0.000000,83.000000,5.757736,1.870364
9.000000,234.088989,1.000000,1498.000000,0.136700,78.364204,9.734640,1.000000,186.000000,13.148919,3.258792,9.181674,1.000000,137.000000,13.940813,3.073680,74.010590,1.000000,1498.000000,1.729482,24.775969,6.029131,1.000000,1498.000000,21.230255,2.018327,10.177966,1.000000,1498.000000,3.144047,3.407201,5.677966,0.000000,79.000000,5.635821,1.900770
