Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -4.771213, 1.224745, 270, 105, 112, 0.075335, 0.937500, 2542, 22.696428, 1.409913
1.000000, -3.771212, 1.091555, 215, 104, 125, 0.053750, 0.832000, 2271, 18.167999, 1.761339
2.000000, -2.771212, 0.972849, 182, 103, 152, 0.037418, 0.677632, 2568, 16.894737, 1.894081
3.000000, -1.771212, 0.867053, 149, 101, 190, 0.024507, 0.531579, 3069, 16.152632, 1.981101
4.000000, -0.771212, 0.772762, 115, 103, 322, 0.011161, 0.319876, 4536, 14.086957, 2.271605
5.000000, 0.228788, 0.688725, 113, 102, 614, 0.005751, 0.166124, 8601, 14.008143, 2.284385
6.000000, 1.228788, 0.613826, 106, 101, 1472, 0.002250, 0.068614, 22121, 15.027853, 2.129379
7.000000, 2.228788, 0.547073, 100, 100, 4559, 0.000685, 0.021935, 68945, 15.122834, 2.116005
8.000000, 3.228788, 0.487580, 101, 100, 20121, 0.000157, 0.004970, 262239, 13.033100, 2.455287
9.000000, 4.228787, 0.434556, 100, 100, 90867, 0.000034, 0.001101, 1187438, 13.067868, 2.448754
10.000000, 5.228787, 0.387298, 100, 100, 740383, 0.000004, 0.000135, 9607188, 12.975970, 2.466097
11.000000, 6.228787, 0.345180, 100, 100, 12418618, 0.000000, 0.000008, 160719410, 12.941811, 2.472606
