Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,198.428574,3.000000,2995.000000,0.161267,73.148575,10.098214,1.000000,89.000000,9.506632,3.722599,10.187500,1.000000,75.000000,9.423313,3.755513,64.830360,3.000000,2995.000000,1.480788,23.899021,5.633929,3.000000,2995.000000,17.039619,2.076888,10.116072,3.000000,2995.000000,3.163283,3.729182,10.071428,1.000000,45.000000,3.177305,3.712725
1.000000,304.160004,3.000000,1309.000000,0.105208,79.926003,9.704000,1.000000,53.000000,9.892827,2.549980,13.672000,1.000000,190.000000,7.021650,3.592676,74.711998,3.000000,1309.000000,1.284934,19.632532,6.912000,3.000000,1309.000000,13.888888,1.816309,9.680000,3.000000,1309.000000,3.305785,2.543673,12.384000,1.000000,116.000000,2.583979,3.254220
2.000000,271.539459,3.000000,1252.000000,0.117847,79.449471,11.750000,1.000000,146.000000,8.170213,3.437921,25.309210,1.000000,1931.000000,3.793086,7.405197,65.750000,3.000000,1252.000000,1.460076,19.237730,8.355263,3.000000,1252.000000,11.489764,2.444658,11.000000,3.000000,1252.000000,2.909091,3.218479,9.026316,0.000000,87.000000,3.545190,2.641001
3.000000,163.536835,2.000000,2198.000000,0.195675,70.733925,8.210526,1.000000,59.000000,11.692307,3.551266,9.621053,1.000000,113.000000,9.978118,4.161355,71.631577,2.000000,2198.000000,1.340191,30.982517,5.252632,2.000000,2198.000000,18.276552,2.271900,8.994737,1.000000,2198.000000,3.557636,3.890457,7.321053,0.000000,46.000000,4.370956,3.166545
4.000000,259.139740,2.000000,1574.000000,0.123485,89.711113,9.689441,1.000000,482.000000,9.907693,3.354370,8.742236,0.000000,96.000000,10.981173,3.026459,49.854038,2.000000,1574.000000,1.925621,17.258877,4.950311,1.000000,1574.000000,19.392723,1.713739,8.006211,2.000000,1574.000000,3.996897,2.771656,6.372671,0.000000,82.000000,5.021442,2.206143
5.000000,268.089569,2.000000,1893.000000,0.119363,88.486488,8.889251,1.000000,102.000000,10.799561,2.934014,9.068404,1.000000,91.000000,10.586206,2.993146,55.543976,2.000000,1893.000000,1.728360,18.333019,5.501629,2.000000,1893.000000,17.449377,1.815885,9.011400,2.000000,1893.000000,3.551058,2.974331,6.462541,0.000000,159.000000,4.951613,2.133047
6.000000,294.591034,2.000000,1290.000000,0.108625,88.541824,9.899457,1.000000,127.000000,9.697501,2.975365,9.851223,1.000000,166.000000,9.744983,2.960868,59.898777,2.000000,1290.000000,1.602704,18.003084,6.514946,2.000000,1290.000000,14.735350,1.958122,9.701087,2.000000,1290.000000,3.298599,2.915744,6.389946,0.000000,152.000000,5.007867,1.920552
7.000000,305.911377,2.000000,1741.000000,0.104605,87.139526,9.910287,1.000000,185.000000,9.686904,2.822967,10.147401,1.000000,166.000000,9.460550,2.890510,62.223293,2.000000,1741.000000,1.542831,17.724442,6.234920,2.000000,1741.000000,15.397150,1.776031,9.150472,2.000000,1741.000000,3.497087,2.606532,6.099583,0.000000,136.000000,5.246260,1.737480
8.000000,270.119080,2.000000,1656.000000,0.118466,88.589455,8.374037,0.000000,162.000000,11.464005,2.746386,8.405000,0.000000,1103.000000,11.421773,2.756541,51.291687,2.000000,1656.000000,1.871648,16.821850,5.317728,2.000000,1656.000000,18.052824,1.744026,7.672283,2.000000,1656.000000,4.170858,2.516236,5.102977,0.000000,158.000000,6.270850,1.673595
9.000000,271.394226,2.000000,19658.000000,0.117910,88.536964,8.303917,0.000000,1416.000000,11.560809,2.708988,8.140689,0.000000,502.000000,11.792614,2.655738,51.229534,2.000000,19658.000000,1.873919,16.712616,5.218440,2.000000,19658.000000,18.396301,1.702412,7.612169,2.000000,19658.000000,4.203795,2.483319,5.006999,0.000000,857.000000,6.391054,1.633434
10.000000,264.960205,1.000000,58273.000000,0.120773,88.994011,8.275544,0.000000,637.000000,11.600446,2.779564,8.187137,0.000000,2052.000000,11.725711,2.749870,51.560570,1.000000,58273.000000,1.861888,17.318005,5.238453,1.000000,58273.000000,18.326019,1.759475,7.596149,1.000000,58273.000000,4.212661,2.551371,5.027564,0.000000,397.000000,6.364912,1.688643
11.000000,260.360779,0.000000,70365.000000,0.122906,101.510925,7.948183,0.000000,21319.000000,12.078232,3.098882,7.917510,0.000000,52824.000000,12.125025,3.086923,51.363480,0.000000,70365.000000,1.869032,20.025883,4.998345,0.000000,70365.000000,19.206356,1.948783,7.326004,0.000000,70365.000000,4.368002,2.856304,4.806259,0.000000,15039.000000,6.657985,1.873891
