Eb/No,Es/No, Sigma, # Bit Errors, # Frame Errors, # Simulated frames,BER,FER, Time for this SNR, Average time for one frame
0.000000, 0.000000, 0.707107, 283, 100, 112, 0.078962, 0.892857, 0.000519, 0.000005
1.000000, 1.000000, 0.630210, 193, 100, 117, 0.051549, 0.854701, 0.000463, 0.000004
2.000000, 2.000000, 0.561675, 176, 100, 131, 0.041985, 0.763359, 0.000520, 0.000004
3.000000, 3.000000, 0.500593, 144, 100, 186, 0.024194, 0.537634, 0.000719, 0.000004
4.000000, 4.000000, 0.446154, 124, 100, 311, 0.012460, 0.321543, 0.001175, 0.000004
5.000000, 5.000000, 0.397635, 110, 100, 574, 0.005989, 0.174216, 0.002135, 0.000004
6.000000, 6.000000, 0.354393, 102, 100, 1445, 0.002206, 0.069204, 0.005379, 0.000004
7.000000, 7.000000, 0.315853, 104, 100, 4162, 0.000781, 0.024027, 0.015432, 0.000004
8.000000, 8.000000, 0.281504, 101, 100, 17131, 0.000184, 0.005837, 0.063759, 0.000004
9.000000, 9.000000, 0.250891, 100, 100, 88440, 0.000035, 0.001131, 0.327829, 0.000004
10.000000, 10.000000, 0.223607, 100, 100, 841689, 0.000004, 0.000119, 3.117719, 0.000004
11.000000, 11.000000, 0.199290, 100, 100, 10163116, 0.000000, 0.000010, 37.639290, 0.000004
12.000000, 12.000000, 0.177617, 100, 100, 323148376, 0.000000, 0.000000, 1196.268188, 0.000004
