Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, 0.000000, 0.707107, 297, 100, 104, 0.089243, 0.961538, 1626.000000, 15.634615, 2.046741
1.000000, 1.000000, 0.630210, 208, 100, 120, 0.054167, 0.833333, 1752.000000, 14.600000, 2.191781
2.000000, 2.000000, 0.561675, 167, 100, 135, 0.038657, 0.740741, 1936.999878, 14.348147, 2.230253
3.000000, 3.000000, 0.500593, 134, 100, 180, 0.023264, 0.555556, 2412.000000, 13.400000, 2.388060
4.000000, 4.000000, 0.446154, 124, 100, 332, 0.011672, 0.301205, 4207.000000, 12.671687, 2.525315
5.000000, 5.000000, 0.397635, 113, 100, 579, 0.006099, 0.172712, 7049.000000, 12.174438, 2.628458
6.000000, 6.000000, 0.354393, 102, 100, 1229, 0.002594, 0.081367, 14399.000000, 11.716029, 2.731301
7.000000, 7.000000, 0.315853, 103, 100, 4600, 0.000700, 0.021739, 53985.000000, 11.735869, 2.726683
8.000000, 8.000000, 0.281504, 101, 100, 16620, 0.000190, 0.006017, 194548.000000, 11.705656, 2.733721
9.000000, 9.000000, 0.250891, 100, 100, 101640, 0.000031, 0.000984, 1189932.000000, 11.707320, 2.733333
