Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, 0.000000, 0.707107, 266, 100, 106, 0.078420, 0.943396, 1916.000000, 18.075472, 1.770355
1.000000, 1.000000, 0.630210, 216, 100, 125, 0.054000, 0.800000, 2071.000000, 16.568001, 1.931434
2.000000, 2.000000, 0.561675, 175, 100, 141, 0.038785, 0.709220, 2281.999756, 16.184395, 1.977213
3.000000, 3.000000, 0.500593, 139, 100, 171, 0.025402, 0.584795, 2619.000000, 15.315789, 2.089347
4.000000, 4.000000, 0.446154, 123, 100, 328, 0.011719, 0.304878, 4731.000000, 14.423780, 2.218559
5.000000, 5.000000, 0.397635, 112, 100, 574, 0.006098, 0.174216, 7938.000000, 13.829268, 2.313933
6.000000, 6.000000, 0.354393, 106, 100, 1307, 0.002534, 0.076511, 17720.000000, 13.557766, 2.360271
7.000000, 7.000000, 0.315853, 101, 100, 4126, 0.000765, 0.024237, 55908.000000, 13.550170, 2.361594
8.000000, 8.000000, 0.281504, 101, 100, 17291, 0.000183, 0.005783, 233668.000000, 13.513851, 2.367941
9.000000, 9.000000, 0.250891, 100, 100, 91459, 0.000034, 0.001093, 1234820.000000, 13.501350, 2.370133
