SNR,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0,0.872727,0.000000,3.000000,36.666668,4.639923,1.509091,1.000000,2.000000,84.819275,8.023199,1.518182,0.000000,3.000000,84.311378,8.071531,11.454545,0.000000,12.000000,11.174603,60.898979,0.781818,0.000000,3.000000,163.720917,4.156598,1.636364,0.000000,3.000000,19.555555,8.699855,1.036364,0.000000,3.000000,30.877193,5.509908
1,0.911290,0.000000,1.000000,35.115044,5.051408,1.459677,1.000000,2.000000,87.690605,8.091193,1.524194,0.000000,1.000000,83.978836,8.448815,10.854838,0.000000,10.000000,11.791977,60.169868,0.741935,0.000000,1.000000,172.521744,4.112651,1.556452,0.000000,1.000000,20.559586,8.627625,0.991935,0.000000,1.000000,32.260162,5.498435
2,0.796992,0.000000,1.000000,40.150944,4.709018,1.255639,1.000000,2.000000,101.940125,7.418924,1.428571,0.000000,2.000000,89.599998,8.440693,10.263158,0.000000,9.000000,12.471795,60.639713,0.781955,0.000000,1.000000,163.692307,4.620169,1.473684,0.000000,1.000000,21.714287,8.707241,0.924812,0.000000,1.000000,34.601627,5.464238
3,0.843750,0.000000,1.000000,37.925926,5.120101,1.281250,1.000000,2.000000,99.902435,7.774969,1.348958,0.000000,1.000000,94.888031,8.185842,10.041667,0.000000,9.000000,12.746887,60.935528,0.718750,0.000000,1.000000,178.086960,4.361568,1.375000,0.000000,1.000000,23.272728,8.343869,0.869792,0.000000,1.000000,36.790417,5.278130
4,0.788644,0.000000,1.000000,40.576000,5.167425,1.205047,1.000000,2.000000,106.219894,7.895825,1.302839,0.000000,1.000000,98.246971,8.536586,9.302839,0.000000,8.000000,13.759240,60.954945,0.602524,0.000000,1.000000,212.439789,3.947913,1.274448,0.000000,1.000000,25.108912,8.350558,0.785489,0.000000,1.000000,40.738956,5.146755
5,0.774143,0.000000,1.000000,41.336018,5.123183,1.208723,1.000000,2.000000,105.896912,7.999175,1.289720,0.000000,1.000000,99.246384,8.535202,9.171340,0.000000,8.000000,13.956521,60.694775,0.643302,0.000000,1.000000,198.973358,4.257293,1.241433,0.000000,1.000000,25.776663,8.215648,0.781931,0.000000,1.000000,40.924301,5.174724
6,0.799713,0.000000,1.000000,40.014362,5.264401,1.230438,1.000000,3.000000,104.028008,8.099806,1.298636,0.000000,1.000000,98.564949,8.548745,9.200287,0.000000,11.000000,13.912610,60.564243,0.658291,0.000000,1.000000,194.442749,4.333444,1.238335,0.000000,1.000000,25.841160,8.151789,0.765255,0.000000,1.000000,41.816135,5.037569
7,0.777915,0.000000,1.000000,41.135616,5.144338,1.210993,1.000000,3.000000,105.698357,8.008280,1.273601,0.000000,1.000000,100.502419,8.422305,9.162436,0.000000,8.000000,13.970084,60.591045,0.652453,0.000000,1.000000,196.182861,4.314659,1.258812,0.000000,1.000000,25.420795,8.324504,0.785556,0.000000,1.000000,40.735489,5.194869
8,0.771839,0.000000,2.000000,41.459400,5.080816,1.226776,0.000000,3.000000,104.338493,8.075546,1.290910,0.000000,2.000000,99.154823,8.497725,9.175177,0.000000,8.000000,13.950686,60.397774,0.668564,0.000000,2.000000,191.455246,4.400978,1.272839,0.000000,2.000000,25.140648,8.378765,0.785143,0.000000,2.000000,40.756905,5.168390
9,0.766159,0.000000,5.000000,41.766769,5.056975,1.221784,0.000000,5.000000,104.764839,8.064289,1.281462,0.000000,5.000000,99.885902,8.458190,9.169603,0.000000,9.000000,13.959165,60.523251,0.663966,0.000000,5.000000,192.781036,4.382453,1.268156,0.000000,5.000000,25.233492,8.370363,0.779417,0.000000,5.000000,41.056339,5.144480
