SNR,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0,0.891892,0.000000,1.000000,35.878788,9.339622,0.945946,0.000000,1.000000,33.828571,9.905661,0.972973,0.000000,1.000000,32.888889,10.188681,3.846847,0.000000,3.000000,8.318501,40.283020,0.720721,0.000000,1.000000,44.400002,7.547170,1.144144,0.000000,1.000000,27.968504,11.981133,1.027027,0.000000,1.000000,31.157896,10.754717
1,0.876033,0.000000,2.000000,36.528301,9.706960,0.966942,0.000000,3.000000,33.094017,10.714285,0.966942,0.000000,2.000000,33.094017,10.714285,3.363636,0.000000,3.000000,9.513514,37.271061,0.793388,0.000000,2.000000,40.333332,8.791208,1.074380,0.000000,2.000000,29.784616,11.904762,0.983471,0.000000,2.000000,32.537815,10.897435
2,0.899281,0.000000,1.000000,35.584000,9.834776,0.985611,0.000000,3.000000,32.467155,10.778914,0.992806,0.000000,1.000000,32.231884,10.857594,3.402878,0.000000,3.000000,9.403805,37.214794,0.769784,0.000000,1.000000,41.570095,8.418569,1.100719,0.000000,1.000000,29.071896,12.037766,0.992806,0.000000,1.000000,32.231884,10.857594
3,0.865591,0.000000,1.000000,36.968945,9.938272,0.908602,0.000000,1.000000,35.218933,10.432098,0.919355,0.000000,1.000000,34.807018,10.555555,3.274194,0.000000,3.000000,9.773399,37.592590,0.784946,0.000000,1.000000,40.767120,9.012346,1.021505,0.000000,1.000000,31.326317,11.728395,0.935484,0.000000,1.000000,34.206898,10.740740
4,0.801205,0.000000,1.000000,39.939850,10.298103,0.774096,0.000000,1.000000,41.338524,9.949671,0.855422,0.000000,1.000000,37.408451,10.994967,2.957831,0.000000,3.000000,10.818737,38.017811,0.653614,0.000000,1.000000,48.958527,8.401084,0.939759,0.000000,1.000000,34.051281,12.078978,0.798193,0.000000,1.000000,40.090565,10.259389
5,0.801471,0.000000,1.000000,39.926605,10.468187,0.799632,0.000000,1.000000,40.018391,10.444178,0.825368,0.000000,1.000000,38.770603,10.780313,2.875000,0.000000,3.000000,11.130435,37.551022,0.637868,0.000000,1.000000,50.167149,8.331332,0.919118,0.000000,1.000000,34.816002,12.004802,0.797794,0.000000,1.000000,40.110600,10.420168
6,0.773920,0.000000,1.000000,41.347954,10.330621,0.810957,0.000000,3.000000,39.459564,10.825008,0.810957,0.000000,1.000000,39.459564,10.825008,2.790123,0.000000,3.000000,11.469027,37.243797,0.638889,0.000000,1.000000,50.086956,8.528170,0.880401,0.000000,1.000000,36.347065,11.751983,0.786265,0.000000,1.000000,40.698723,10.495417
7,0.767230,0.000000,6.000000,41.708496,10.306938,0.783588,0.000000,2.000000,40.837780,10.526695,0.814427,0.000000,6.000000,39.291409,10.940989,2.782784,0.000000,6.000000,11.499277,37.383816,0.640654,0.000000,6.000000,49.948933,8.606527,0.878520,0.000000,6.000000,36.424908,11.802004,0.776616,0.000000,6.000000,41.204418,10.433029
8,0.767969,0.000000,2.000000,41.668324,10.280229,0.790370,0.000000,3.000000,40.487366,10.580088,0.822008,0.000000,2.000000,38.929062,11.003601,2.785867,0.000000,2.000000,11.486550,37.292301,0.647480,0.000000,2.000000,49.422379,8.667326,0.881300,0.000000,2.000000,36.309990,11.797300,0.775359,0.000000,2.000000,41.271183,10.379152
9,0.769908,0.000000,4.000000,41.563389,10.269193,0.793285,0.000000,5.000000,40.338585,10.580997,0.824299,0.000000,4.000000,38.820881,10.994660,2.802675,0.000000,4.000000,11.417665,37.382637,0.643920,0.000000,4.000000,49.695641,8.588730,0.885028,0.000000,4.000000,36.157040,11.804684,0.778148,0.000000,4.000000,41.123268,10.379098
