Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.920290,0.000000,4.000000,34.771652,4.735272,1.500000,1.000000,6.000000,85.333336,7.718121,1.528986,0.000000,4.000000,83.715637,7.867263,11.347826,0.000000,11.000000,11.279694,58.389263,0.775362,0.000000,4.000000,165.084106,3.989560,2.369565,0.000000,4.000000,13.504587,12.192394,0.992754,0.000000,4.000000,32.233578,5.108128
1.000000,0.865248,0.000000,1.000000,36.983608,4.663608,1.446808,1.000000,5.000000,88.470589,7.798165,1.546099,0.000000,1.000000,82.788994,8.333333,10.765958,0.000000,9.000000,11.889328,58.027527,0.801418,0.000000,1.000000,159.716812,4.319572,2.184397,0.000000,2.000000,14.649350,11.773701,0.943262,0.000000,1.000000,33.924812,5.084098
2.000000,0.822335,0.000000,1.000000,38.913582,4.736842,1.355330,1.000000,2.000000,94.441948,7.807018,1.395939,0.000000,1.000000,91.694542,8.040936,10.152285,0.000000,9.000000,12.608000,58.479530,0.720812,0.000000,1.000000,177.577454,4.152047,2.010152,0.000000,2.000000,15.919191,11.578947,0.903553,0.000000,1.000000,35.415730,5.204678
3.000000,0.736655,0.000000,1.000000,43.439613,4.642297,1.238434,1.000000,2.000000,103.356316,7.804441,1.288256,0.000000,1.000000,99.359123,8.118412,9.384341,0.000000,8.000000,13.639743,59.138821,0.644128,0.000000,1.000000,198.718246,4.059206,1.758007,0.000000,2.000000,18.202429,11.078718,0.818505,0.000000,1.000000,39.095654,5.158107
4.000000,0.744635,0.000000,1.000000,42.974064,4.834889,1.223176,1.000000,2.000000,104.645615,7.942037,1.244635,0.000000,2.000000,102.841377,8.081371,9.163090,0.000000,10.000000,13.969088,59.495609,0.648069,0.000000,1.000000,197.509933,4.207887,1.620172,0.000000,1.000000,19.750994,10.519716,0.757511,0.000000,1.000000,42.243626,4.918490
5.000000,0.747253,0.000000,1.000000,42.823528,4.882865,1.190934,1.000000,2.000000,107.478661,7.782066,1.269231,0.000000,2.000000,100.848488,8.293690,9.125000,0.000000,8.000000,14.027397,59.626602,0.642857,0.000000,1.000000,199.111115,4.200700,1.546703,0.000000,2.000000,20.689165,10.106812,0.781593,0.000000,1.000000,40.942005,5.107261
6.000000,0.776860,0.000000,3.000000,41.191490,5.066293,1.220937,0.000000,2.000000,104.837547,7.962344,1.267769,0.000000,3.000000,100.964798,8.267759,9.158127,0.000000,10.000000,13.976657,59.724770,0.659504,0.000000,3.000000,194.085220,4.300959,1.462259,0.000000,3.000000,21.883949,9.536129,0.788430,0.000000,3.000000,40.587002,5.141748
7.000000,0.764997,0.000000,1.000000,41.830250,5.023235,1.235453,1.000000,3.000000,103.605751,8.112413,1.272748,0.000000,2.000000,100.569809,8.357306,9.148730,0.000000,10.000000,13.991013,60.073761,0.656257,0.000000,1.000000,195.045532,4.309213,1.395641,0.000000,2.000000,22.928526,9.164269,0.755336,0.000000,1.000000,42.365261,4.959799
8.000000,0.764390,0.000000,6.000000,41.863468,5.028334,1.223265,0.000000,3.000000,104.638023,8.046923,1.273855,0.000000,6.000000,100.482422,8.379715,9.150288,0.000000,9.000000,13.988631,60.192741,0.663594,0.000000,6.000000,192.889038,4.365277,1.348093,0.000000,6.000000,23.737230,8.868074,0.778162,0.000000,6.000000,41.122547,5.118932
9.000000,0.762609,0.000000,3.000000,41.961189,5.037785,1.227838,0.000000,3.000000,104.248283,8.111075,1.272706,0.000000,3.000000,100.573120,8.407473,9.150520,0.000000,10.000000,13.988276,60.448177,0.658662,0.000000,3.000000,194.333359,4.351110,1.298028,0.000000,3.000000,24.652786,8.574749,0.767430,0.000000,3.000000,41.697620,5.069628
10.000000,0.756472,0.000000,3.000000,42.301605,5.018828,1.220069,0.000000,4.000000,104.912071,8.094569,1.268298,0.000000,3.000000,100.922630,8.414545,9.145414,0.000000,10.000000,13.996085,60.675396,0.654635,0.000000,3.000000,195.528671,4.343189,1.262476,0.000000,3.000000,25.347025,8.375915,0.765325,0.000000,3.000000,41.812298,5.077561
