Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, -6.020600, 1.414214, 1618, 100, 100, 0.505625, 1.000000, 2593.000000, 25.930000, 1.234092
1.000000, -5.020600, 1.260419, 1596, 100, 100, 0.498750, 1.000000, 2441.000000, 24.410000, 1.310938
2.000000, -4.020600, 1.123350, 1558, 100, 100, 0.486875, 1.000000, 2297.000000, 22.969999, 1.393121
3.000000, -3.020600, 1.001187, 1547, 100, 100, 0.483438, 1.000000, 2216.000000, 22.160000, 1.444043
4.000000, -2.020600, 0.892308, 1633, 100, 100, 0.510312, 1.000000, 2145.000000, 21.450001, 1.491841
5.000000, -1.020600, 0.795271, 1620, 100, 100, 0.506250, 1.000000, 2147.000000, 21.469999, 1.490452
6.000000, -0.020600, 0.708786, 1575, 100, 100, 0.492188, 1.000000, 2147.000000, 21.469999, 1.490452
7.000000, 0.979400, 0.631706, 1584, 100, 100, 0.495000, 1.000000, 2066.000000, 20.660000, 1.548887
8.000000, 1.979400, 0.563009, 1587, 100, 100, 0.495937, 1.000000, 2027.000122, 20.270000, 1.578688
9.000000, 2.979400, 0.501782, 1587, 100, 100, 0.495937, 1.000000, 2031.000122, 20.310001, 1.575578
