Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, -4.771213, 1.224745, 1626, 100, 100, 0.508125, 1.000000, 2373.000000, 23.730000, 1.348504
1.000000, -3.771213, 1.091555, 1659, 100, 100, 0.518438, 1.000000, 2292.000000, 22.920000, 1.396161
2.000000, -2.771213, 0.972849, 1577, 100, 100, 0.492813, 1.000000, 2209.000000, 22.090000, 1.448619
3.000000, -1.771213, 0.867053, 1637, 100, 100, 0.511563, 1.000000, 2132.000000, 21.320000, 1.500938
4.000000, -0.771213, 0.772762, 1582, 100, 100, 0.494375, 1.000000, 2028.000000, 20.280001, 1.577909
5.000000, 0.228787, 0.688725, 1546, 100, 100, 0.483125, 1.000000, 2010.000000, 20.100000, 1.592040
6.000000, 1.228787, 0.613826, 1589, 100, 100, 0.496563, 1.000000, 2002.000000, 20.020000, 1.598402
7.000000, 2.228787, 0.547073, 1557, 100, 100, 0.486562, 1.000000, 1991.000122, 19.910002, 1.607232
8.000000, 3.228787, 0.487580, 1562, 100, 100, 0.488125, 1.000000, 1896.000000, 18.959999, 1.687764
9.000000, 4.228787, 0.434556, 1610, 100, 100, 0.503125, 1.000000, 1895.000122, 18.950001, 1.688654
