Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.936937,0.000000,3.000000,34.153847,6.001154,1.270270,1.000000,2.000000,75.574471,8.136180,1.261261,0.000000,3.000000,76.114288,8.078476,8.837838,0.000000,8.000000,10.862385,56.607040,0.774775,0.000000,3.000000,123.906975,4.962493,1.441441,0.000000,3.000000,22.200001,9.232544,1.090090,0.000000,3.000000,29.355373,6.982111
1.000000,0.922414,0.000000,1.000000,34.691589,6.096866,1.318966,1.000000,2.000000,72.784309,8.717949,1.275862,0.000000,1.000000,75.243240,8.433048,8.422414,0.000000,8.000000,11.398157,55.669518,0.801724,0.000000,1.000000,119.741936,5.299145,1.387931,0.000000,1.000000,23.055901,9.173789,1.000000,0.000000,1.000000,32.000000,6.609686
2.000000,0.984375,0.000000,3.000000,32.507938,5.361702,1.367188,1.000000,4.000000,70.217140,7.446808,1.382812,0.000000,3.000000,69.423729,7.531915,8.945312,0.000000,13.000000,10.731877,48.723404,0.867188,0.000000,3.000000,110.702705,4.723404,3.812500,0.000000,3.000000,8.393442,20.765957,1.000000,0.000000,3.000000,32.000000,5.446808
3.000000,1.173913,0.000000,2.000000,27.259260,6.319485,1.652174,1.000000,3.000000,58.105263,8.894091,1.559783,0.000000,2.000000,61.547039,8.396724,10.244565,0.000000,8.000000,9.370823,55.149216,1.048913,0.000000,2.000000,91.523323,5.646577,1.690217,0.000000,2.000000,18.932476,9.098889,1.206522,0.000000,2.000000,26.522522,6.495027
4.000000,0.825279,0.000000,1.000000,38.774773,6.223718,1.141264,1.000000,2.000000,84.117264,8.606672,1.122677,0.000000,1.000000,85.509933,8.466498,7.501859,0.000000,7.000000,12.796828,56.574150,0.669145,0.000000,1.000000,143.466660,5.046257,1.178439,0.000000,1.000000,27.154573,8.887019,0.821561,0.000000,1.000000,38.950226,6.195683
5.000000,0.782946,0.000000,1.000000,40.871284,6.089473,1.106977,1.000000,5.000000,86.722687,8.609671,1.088372,0.000000,1.000000,88.205124,8.464971,7.286822,0.000000,7.000000,13.174468,56.674305,0.648062,0.000000,1.000000,148.133972,5.040395,1.145736,0.000000,1.000000,27.929634,8.911130,0.798450,0.000000,1.000000,40.077667,6.210057
6.000000,0.788226,0.000000,1.000000,40.597477,6.289270,1.081804,0.000000,2.000000,88.740639,8.631733,1.077217,0.000000,1.000000,89.118523,8.595132,7.035933,0.000000,6.000000,13.644247,56.139812,0.645260,0.000000,1.000000,148.777252,5.148539,1.121560,0.000000,2.000000,28.531698,8.948941,0.782875,0.000000,1.000000,40.875000,6.246569
7.000000,0.766415,0.000000,1.000000,41.752838,6.125658,1.071608,0.000000,3.000000,89.584969,8.564950,1.070693,0.000000,1.000000,89.661537,8.557636,7.028826,0.000000,6.000000,13.658041,56.178684,0.667582,0.000000,1.000000,143.802597,5.335722,1.134981,0.000000,1.000000,28.194315,9.071460,0.771448,0.000000,1.000000,41.480427,6.165886
8.000000,0.764262,0.000000,4.000000,41.870438,6.140367,1.068637,0.000000,4.000000,89.834091,8.585822,1.062039,0.000000,4.000000,90.392151,8.532815,7.029551,0.000000,7.000000,13.656634,56.478012,0.643566,0.000000,4.000000,149.168854,5.170647,1.111715,0.000000,4.000000,28.784359,8.931929,0.766757,0.000000,4.000000,41.734200,6.160412
9.000000,0.770593,0.000000,4.000000,41.526470,6.167116,1.074981,0.000000,5.000000,89.303886,8.603161,1.066480,0.000000,4.000000,90.015739,8.535127,7.032794,0.000000,8.000000,13.650337,56.284012,0.656301,0.000000,4.000000,146.274384,5.252428,1.120303,0.000000,4.000000,28.563698,8.965877,0.773737,0.000000,4.000000,41.357708,6.192282
