Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.940000,0.000000,3.000000,34.042553,7.088989,1.080000,1.000000,2.000000,59.259258,8.144796,1.070000,0.000000,3.000000,59.813080,8.069382,6.230000,0.000000,7.000000,10.272873,46.983406,0.860000,0.000000,3.000000,74.418602,6.485671,1.750000,0.000000,3.000000,18.285715,13.197586,1.330000,0.000000,3.000000,24.060150,10.030166
1.000000,0.950000,0.000000,1.000000,33.684212,7.370054,1.080000,1.000000,2.000000,59.259258,8.378589,1.090000,0.000000,1.000000,58.715595,8.456167,5.950000,0.000000,7.000000,10.756303,46.159813,0.710000,0.000000,1.000000,90.140846,5.508146,1.690000,0.000000,2.000000,18.934910,13.110938,1.420000,0.000000,2.000000,22.535212,11.016292
2.000000,0.860000,0.000000,1.000000,37.209301,6.666667,1.110000,1.000000,2.000000,57.657658,8.604651,1.110000,0.000000,1.000000,57.657658,8.604651,5.830000,0.000000,7.000000,10.977702,45.193798,0.800000,0.000000,1.000000,80.000000,6.201550,1.790000,0.000000,2.000000,17.877096,13.875969,1.400000,0.000000,1.000000,22.857143,10.852714
3.000000,0.830000,0.000000,1.000000,38.554218,6.556082,1.090000,1.000000,2.000000,58.715595,8.609795,1.040000,0.000000,1.000000,61.538464,8.214850,5.830000,0.000000,7.000000,10.977702,46.050552,0.770000,0.000000,1.000000,83.116882,6.082149,1.650000,0.000000,2.000000,19.393940,13.033175,1.450000,0.000000,2.000000,22.068964,11.453397
4.000000,0.820000,0.000000,1.000000,39.024391,6.788080,1.030000,1.000000,2.000000,62.135925,8.526490,1.010000,0.000000,1.000000,63.366337,8.360928,5.530000,0.000000,7.000000,11.573236,45.778145,0.650000,0.000000,1.000000,98.461540,5.380795,1.680000,0.000000,2.000000,19.047619,13.907285,1.360000,0.000000,1.000000,23.529411,11.258278
5.000000,0.810000,0.000000,1.000000,39.506172,6.818182,1.060000,1.000000,2.000000,60.377361,8.922558,1.000000,0.000000,1.000000,64.000000,8.417508,5.420000,0.000000,5.000000,11.808118,45.622894,0.770000,0.000000,1.000000,83.116882,6.481482,1.610000,0.000000,2.000000,19.875776,13.552189,1.210000,0.000000,2.000000,26.446280,10.185185
6.000000,0.880000,0.000000,1.000000,36.363636,7.407407,1.010000,0.000000,2.000000,63.366337,8.501683,0.990000,0.000000,1.000000,64.646461,8.333333,5.440000,0.000000,4.000000,11.764706,45.791245,0.640000,0.000000,1.000000,100.000000,5.387205,1.610000,0.000000,2.000000,19.875776,13.552189,1.310000,0.000000,2.000000,24.427483,11.026936
7.000000,0.820000,0.000000,1.000000,39.024391,7.295374,0.970000,0.000000,1.000000,65.979378,8.629893,0.950000,0.000000,1.000000,67.368423,8.451958,5.160000,0.000000,5.000000,12.403101,45.907475,0.670000,0.000000,1.000000,95.522385,5.960854,1.480000,0.000000,2.000000,21.621622,13.167260,1.190000,0.000000,2.000000,26.890755,10.587190
8.000000,0.790000,0.000000,1.000000,40.506329,6.905595,0.990000,0.000000,2.000000,64.646461,8.653847,0.890000,0.000000,1.000000,71.910110,7.779721,5.250000,0.000000,6.000000,12.190476,45.891609,0.710000,0.000000,1.000000,90.140846,6.206294,1.550000,0.000000,1.000000,20.645163,13.548951,1.260000,0.000000,1.000000,25.396826,11.013987
9.000000,0.770000,0.000000,1.000000,41.558441,7.090240,0.970000,0.000000,1.000000,65.979378,8.931860,0.910000,0.000000,1.000000,70.329666,8.379375,4.960000,0.000000,6.000000,12.903226,45.672192,0.670000,0.000000,1.000000,95.522385,6.169429,1.440000,0.000000,1.000000,22.222221,13.259669,1.140000,0.000000,1.000000,28.070175,10.497238
