Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.270000,2.000000,8.000000,14.096916,20.088495,0.940000,0.000000,1.000000,34.042553,8.318583,0.960000,1.000000,8.000000,33.333336,8.495575,3.880000,2.000000,8.000000,8.247422,34.336281,0.700000,1.000000,8.000000,45.714287,6.194690,1.150000,1.000000,8.000000,27.826088,10.176991,1.400000,1.000000,8.000000,22.857143,12.389380
1.000000,2.100000,2.000000,3.000000,15.238096,20.134226,0.910000,0.000000,1.000000,35.164833,8.724832,0.900000,1.000000,3.000000,35.555557,8.628955,3.340000,2.000000,4.000000,9.580838,32.023010,0.720000,1.000000,3.000000,44.444443,6.903164,1.090000,1.000000,3.000000,29.357798,10.450623,1.370000,1.000000,3.000000,23.357664,13.135186
2.000000,2.130000,2.000000,3.000000,15.023474,20.170456,0.960000,0.000000,1.000000,33.333336,9.090909,0.920000,1.000000,3.000000,34.782608,8.712121,3.340000,2.000000,5.000000,9.580838,31.628786,0.750000,1.000000,3.000000,42.666668,7.102273,1.090000,1.000000,3.000000,29.357798,10.321969,1.370000,1.000000,3.000000,23.357664,12.973484
3.000000,2.110000,2.000000,3.000000,15.165877,19.999998,0.960000,0.000000,1.000000,33.333336,9.099525,0.920000,1.000000,3.000000,34.782608,8.720379,3.340000,2.000000,3.000000,9.580838,31.658768,0.840000,1.000000,3.000000,38.095238,7.962085,1.030000,1.000000,3.000000,31.067963,9.763033,1.350000,1.000000,3.000000,23.703703,12.796208
4.000000,1.990000,1.000000,3.000000,16.080402,20.473251,0.880000,0.000000,1.000000,36.363636,9.053497,0.830000,1.000000,3.000000,38.554218,8.539094,3.130000,1.000000,3.000000,10.223641,32.201645,0.710000,1.000000,3.000000,45.070423,7.304526,0.930000,1.000000,3.000000,34.408604,9.567901,1.250000,1.000000,3.000000,25.600000,12.860082
5.000000,2.000000,1.000000,4.000000,16.000000,20.491802,0.890000,0.000000,1.000000,35.955055,9.118853,0.810000,0.000000,4.000000,39.506172,8.299180,3.110000,1.000000,4.000000,10.289390,31.864754,0.700000,1.000000,4.000000,45.714287,7.172131,0.990000,1.000000,4.000000,32.323231,10.143442,1.260000,1.000000,4.000000,25.396826,12.909836
6.000000,1.820000,1.000000,2.000000,17.582417,19.956141,0.850000,0.000000,1.000000,37.647057,9.320175,0.800000,0.000000,2.000000,40.000000,8.771930,2.920000,1.000000,4.000000,10.958904,32.017544,0.620000,0.000000,2.000000,51.612904,6.798246,0.950000,1.000000,2.000000,33.684212,10.416667,1.160000,1.000000,2.000000,27.586208,12.719298
7.000000,1.770000,1.000000,2.000000,18.079096,19.977427,0.790000,0.000000,1.000000,40.506329,8.916479,0.720000,1.000000,2.000000,44.444443,8.126411,2.980000,1.000000,4.000000,10.738255,33.634312,0.620000,0.000000,2.000000,51.612904,6.997743,0.850000,1.000000,2.000000,37.647057,9.593679,1.130000,1.000000,2.000000,28.318584,12.753951
8.000000,1.890000,1.000000,2.000000,16.931217,20.454546,0.860000,0.000000,1.000000,37.209301,9.307360,0.770000,0.000000,2.000000,41.558441,8.333334,2.990000,1.000000,4.000000,10.702341,32.359306,0.720000,1.000000,2.000000,44.444443,7.792208,0.860000,1.000000,2.000000,37.209301,9.307360,1.150000,1.000000,2.000000,27.826088,12.445888
9.000000,1.870000,1.000000,2.000000,17.112299,20.504387,0.840000,0.000000,1.000000,38.095238,9.210526,0.760000,1.000000,2.000000,42.105263,8.333333,2.900000,1.000000,4.000000,11.034482,31.798246,0.680000,0.000000,2.000000,47.058823,7.456141,0.880000,1.000000,2.000000,36.363636,9.649123,1.190000,1.000000,2.000000,26.890755,13.048246
