Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, 0.000000, 0.707107, 247, 100, 111, 0.069538, 0.900901, 1751.000122, 15.774776, 2.028555
1.000000, 1.000000, 0.630210, 214, 100, 121, 0.055269, 0.826446, 1772.999878, 14.652891, 2.183869
2.000000, 2.000000, 0.561675, 176, 100, 139, 0.039568, 0.719424, 2023.000122, 14.553958, 2.198715
3.000000, 3.000000, 0.500593, 139, 100, 186, 0.023353, 0.537634, 2496.000000, 13.419354, 2.384615
4.000000, 4.000000, 0.446154, 122, 100, 332, 0.011483, 0.301205, 4306.000000, 12.969879, 2.467255
5.000000, 5.000000, 0.397635, 108, 100, 544, 0.006204, 0.183824, 6504.000000, 11.955882, 2.676507
6.000000, 6.000000, 0.354393, 106, 100, 1296, 0.002556, 0.077160, 15138.000000, 11.680555, 2.739596
7.000000, 7.000000, 0.315853, 102, 100, 3729, 0.000855, 0.026817, 43661.000000, 11.708501, 2.733057
8.000000, 8.000000, 0.281504, 101, 100, 17321, 0.000182, 0.005773, 202179.000000, 11.672479, 2.741492
9.000000, 9.000000, 0.250891, 100, 100, 87865, 0.000036, 0.001138, 1025453.000000, 11.670779, 2.741891
