Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.060000,2.000000,5.000000,15.533981,18.278616,0.980000,0.000000,1.000000,32.653061,8.695652,0.930000,1.000000,5.000000,34.408604,8.251996,3.750000,2.000000,5.000000,8.533334,33.274178,0.730000,1.000000,5.000000,43.835617,6.477373,1.510000,2.000000,5.000000,21.192053,13.398402,1.310000,2.000000,5.000000,24.427483,11.623779
1.000000,2.080000,2.000000,3.000000,15.384616,18.521818,0.990000,0.000000,2.000000,32.323231,8.815673,0.970000,1.000000,3.000000,32.989689,8.637578,3.360000,2.000000,5.000000,9.523809,29.919859,0.820000,0.000000,3.000000,39.024391,7.301870,1.560000,2.000000,3.000000,20.512821,13.891363,1.450000,1.000000,3.000000,22.068964,12.911844
2.000000,2.100000,2.000000,3.000000,15.238096,18.783541,1.020000,0.000000,7.000000,31.372549,9.123434,0.910000,1.000000,3.000000,35.164833,8.139535,3.370000,2.000000,4.000000,9.495549,30.143112,0.830000,1.000000,3.000000,38.554218,7.423971,1.480000,1.000000,3.000000,21.621622,13.237925,1.470000,2.000000,3.000000,21.768707,13.148479
3.000000,2.050000,1.000000,3.000000,15.609756,19.123135,0.930000,0.000000,1.000000,34.408604,8.675373,0.940000,1.000000,3.000000,34.042553,8.768657,3.290000,1.000000,3.000000,9.726444,30.690298,0.710000,0.000000,3.000000,45.070423,6.623134,1.470000,1.000000,3.000000,21.768707,13.712687,1.330000,1.000000,3.000000,24.060150,12.406716
4.000000,1.970000,1.000000,2.000000,16.243654,19.070667,0.860000,0.000000,1.000000,37.209301,8.325266,0.860000,1.000000,2.000000,37.209301,8.325266,3.170000,1.000000,3.000000,10.094637,30.687319,0.820000,1.000000,2.000000,39.024391,7.938045,1.390000,1.000000,2.000000,23.021584,13.455954,1.260000,1.000000,2.000000,25.396826,12.197483
5.000000,1.930000,1.000000,2.000000,16.580311,18.647343,0.900000,0.000000,1.000000,35.555557,8.695652,0.910000,1.000000,2.000000,35.164833,8.792271,3.200000,1.000000,3.000000,10.000000,30.917873,0.710000,1.000000,2.000000,45.070423,6.859903,1.440000,1.000000,2.000000,22.222221,13.913043,1.260000,1.000000,2.000000,25.396826,12.173913
6.000000,1.970000,1.000000,2.000000,16.243654,19.163425,0.870000,0.000000,1.000000,36.781609,8.463036,0.830000,1.000000,2.000000,38.554218,8.073930,3.110000,1.000000,4.000000,10.289390,30.252918,0.740000,0.000000,2.000000,43.243244,7.198444,1.440000,1.000000,2.000000,22.222221,14.007783,1.320000,1.000000,2.000000,24.242424,12.840467
7.000000,1.880000,1.000000,2.000000,17.021276,19.066938,0.880000,0.000000,1.000000,36.363636,8.924950,0.820000,1.000000,2.000000,39.024391,8.316430,3.060000,1.000000,4.000000,10.457517,31.034483,0.650000,0.000000,2.000000,49.230770,6.592292,1.320000,1.000000,2.000000,24.242424,13.387424,1.250000,1.000000,2.000000,25.600000,12.677485
8.000000,1.820000,1.000000,2.000000,17.582417,18.590399,0.850000,0.000000,1.000000,37.647057,8.682329,0.820000,1.000000,2.000000,39.024391,8.375894,2.960000,1.000000,4.000000,10.810811,30.234934,0.750000,0.000000,2.000000,42.666668,7.660879,1.370000,1.000000,2.000000,23.357664,13.993872,1.220000,1.000000,2.000000,26.229507,12.461696
9.000000,1.930000,1.000000,11.000000,16.580311,19.896908,0.860000,0.000000,1.000000,37.209301,8.865979,0.760000,0.000000,11.000000,42.105263,7.835052,2.890000,1.000000,11.000000,11.072664,29.793816,0.700000,0.000000,11.000000,45.714287,7.216495,1.330000,1.000000,11.000000,24.060150,13.711341,1.230000,1.000000,11.000000,26.016260,12.680412
