Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 436, 100, 100, 0.136250, 1.000000, 3029.000000, 30.290001, 1.056454
1.000000, -5.020600, 1.260419, 357, 100, 101, 0.110458, 0.990099, 2977.999756, 29.485146, 1.085292
2.000000, -4.020600, 1.123350, 290, 100, 103, 0.087985, 0.970874, 2888.000000, 28.038836, 1.141274
3.000000, -3.020600, 1.001187, 238, 100, 115, 0.064674, 0.869565, 3208.000000, 27.895653, 1.147132
4.000000, -2.020600, 0.892308, 183, 100, 146, 0.039170, 0.684932, 3897.999756, 26.698629, 1.198563
5.000000, -1.020600, 0.795271, 146, 100, 191, 0.023887, 0.523560, 4989.000000, 26.120419, 1.225095
6.000000, -0.020600, 0.708786, 114, 100, 292, 0.012200, 0.342466, 7598.000000, 26.020548, 1.229797
7.000000, 0.979400, 0.631706, 113, 100, 509, 0.006938, 0.196464, 13235.000000, 26.001965, 1.230676
8.000000, 1.979400, 0.563009, 102, 100, 1382, 0.002306, 0.072359, 35715.000000, 25.842981, 1.238247
9.000000, 2.979400, 0.501782, 101, 100, 4512, 0.000700, 0.022163, 116753.000000, 25.876108, 1.236662
