Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.027523,2.000000,3.000000,15.782804,17.105263,0.899083,0.000000,1.000000,35.591839,7.585139,1.293578,2.000000,3.000000,24.737587,10.913313,3.394495,2.000000,3.000000,9.427027,28.637772,0.743119,1.000000,3.000000,43.061729,6.269349,2.513762,2.000000,3.000000,12.729927,21.207430,0.981651,1.000000,3.000000,32.598133,8.281734
1.000000,2.032000,2.000000,3.000000,15.748031,17.361586,0.944000,0.000000,1.000000,33.898304,8.065619,1.328000,1.000000,3.000000,24.096386,11.346547,3.248000,2.000000,3.000000,9.852217,27.751194,0.728000,0.000000,3.000000,43.956043,6.220095,2.456000,2.000000,3.000000,13.029316,20.984278,0.968000,1.000000,3.000000,33.057850,8.270677
2.000000,2.051852,2.000000,3.000000,15.595669,17.699680,0.896296,0.000000,1.000000,35.702477,7.731630,1.251852,1.000000,3.000000,25.562132,10.798722,3.244444,2.000000,3.000000,9.863014,27.987221,0.770370,0.000000,3.000000,41.538464,6.645367,2.451852,2.000000,3.000000,13.051359,21.150160,0.925926,1.000000,3.000000,34.560001,7.987220
3.000000,1.979798,1.000000,3.000000,16.163265,17.554859,0.904040,0.000000,1.000000,35.396648,8.016122,1.277778,1.000000,3.000000,25.043478,11.330050,3.106061,1.000000,3.000000,10.302440,27.541424,0.691919,1.000000,3.000000,46.248173,6.135244,2.414141,1.000000,3.000000,13.255230,21.406179,0.904040,1.000000,3.000000,35.396648,8.016122
4.000000,1.881306,1.000000,2.000000,17.009462,17.754131,0.792285,0.000000,1.000000,40.389515,7.476897,1.189911,1.000000,2.000000,26.892767,11.229348,2.916914,1.000000,2.000000,10.970498,27.527304,0.688427,1.000000,2.000000,46.482758,6.496780,2.284867,1.000000,3.000000,14.005194,21.562590,0.842730,1.000000,2.000000,37.971828,7.952954
5.000000,1.831776,1.000000,2.000000,17.469389,17.808468,0.792523,0.000000,1.000000,40.377357,7.704888,1.142056,1.000000,2.000000,28.019640,11.103035,2.878505,1.000000,4.000000,11.116883,27.984735,0.665421,1.000000,2.000000,48.089890,6.469198,2.160748,1.000000,3.000000,14.809688,21.006725,0.814953,1.000000,2.000000,39.266056,7.922951
6.000000,1.800407,1.000000,4.000000,17.773756,17.470354,0.792261,0.000000,1.000000,40.390743,7.687747,1.158859,1.000000,4.000000,27.613356,11.245059,2.871691,1.000000,4.000000,11.143262,27.865612,0.662933,1.000000,4.000000,48.270351,6.432806,2.207739,1.000000,4.000000,14.494465,21.422926,0.811609,1.000000,4.000000,39.427853,7.875494
7.000000,1.813176,1.000000,3.000000,17.648590,17.640448,0.785890,0.000000,1.000000,40.718174,7.645948,1.143559,1.000000,3.000000,27.982803,11.125726,2.875860,1.000000,3.000000,11.127105,27.979340,0.665929,1.000000,3.000000,48.053158,6.478847,2.198623,1.000000,3.000000,14.554562,21.390476,0.795477,1.000000,3.000000,40.227440,7.739220
8.000000,1.792576,1.000000,4.000000,17.851404,17.587166,0.784734,0.000000,9.000000,40.778149,7.699114,1.130179,1.000000,4.000000,28.314098,11.088314,2.857731,1.000000,4.000000,11.197695,28.037521,0.655797,0.000000,4.000000,48.795612,6.434095,2.177885,1.000000,4.000000,14.693152,21.367477,0.793622,1.000000,4.000000,40.321476,7.786312
9.000000,1.795942,0.000000,5.000000,17.817945,17.629532,0.799859,0.000000,6.000000,40.007042,7.851668,1.131439,0.000000,5.000000,28.282558,11.106563,2.847534,0.000000,5.000000,11.237793,27.952288,0.654820,0.000000,5.000000,48.868366,6.427921,2.170587,0.000000,5.000000,14.742554,21.307165,0.786942,0.000000,5.000000,40.663738,7.724868
