Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 426, 100, 104, 0.128005, 0.961538, 63372.000000, 609.346130, 0.052515
1.000000, -23.082401, 10.083356, 371, 100, 102, 0.113664, 0.980392, 58828.000000, 576.745117, 0.055484
2.000000, -22.082401, 8.986799, 271, 100, 107, 0.079147, 0.934579, 61741.000000, 577.018677, 0.055457
3.000000, -21.082401, 8.009494, 211, 100, 120, 0.054948, 0.833333, 69145.000000, 576.208313, 0.055535
4.000000, -20.082401, 7.138470, 172, 100, 135, 0.039815, 0.740741, 77846.000000, 576.637024, 0.055494
5.000000, -19.082401, 6.362167, 135, 100, 167, 0.025262, 0.598802, 96246.000000, 576.323364, 0.055524
6.000000, -18.082401, 5.670288, 120, 100, 301, 0.012458, 0.332226, 173664.000000, 576.956787, 0.055463
7.000000, -17.082401, 5.053649, 112, 100, 673, 0.005201, 0.148588, 387980.968750, 576.494751, 0.055508
8.000000, -16.082401, 4.504069, 104, 100, 1504, 0.002161, 0.066489, 866722.000000, 576.277954, 0.055529
9.000000, -15.082401, 4.014256, 102, 100, 4631, 0.000688, 0.021594, 2668447.000000, 576.213989, 0.055535
10.000000, -14.082401, 3.577709, 101, 100, 20159, 0.000157, 0.004961, 11617478.000000, 576.292358, 0.055527
11.000000, -13.082401, 3.188637, 100, 100, 88775, 0.000035, 0.001126, 51202552.000000, 576.767700, 0.055482
12.000000, -12.082401, 2.841876, 100, 100, 919709, 0.000003, 0.000109, 530231136.000000, 576.520569, 0.055505
13.000000, -11.082401, 2.532824, 100, 100, 11224128, 0.000000, 0.000009, 6473529344.000000, 576.751221, 0.055483
