Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 436, 100, 105, 0.129762, 0.952381, 70056.000000, 667.200012, 0.047962
1.000000, -23.082401, 10.083356, 370, 100, 102, 0.113358, 0.980392, 64025.003906, 627.696106, 0.050980
2.000000, -22.082401, 8.986799, 274, 100, 108, 0.079282, 0.925926, 67677.000000, 626.638916, 0.051066
3.000000, -21.082401, 8.009494, 211, 100, 121, 0.054494, 0.826446, 75543.000000, 624.322327, 0.051256
4.000000, -20.082401, 7.138470, 171, 100, 133, 0.040179, 0.751880, 82904.000000, 623.338318, 0.051336
5.000000, -19.082401, 6.362167, 138, 100, 171, 0.025219, 0.584795, 106374.992188, 622.075989, 0.051441
6.000000, -18.082401, 5.670288, 120, 100, 297, 0.012626, 0.336700, 184327.000000, 620.629639, 0.051561
7.000000, -17.082401, 5.053649, 112, 100, 672, 0.005208, 0.148810, 416163.000000, 619.290161, 0.051672
8.000000, -16.082401, 4.504069, 104, 100, 1504, 0.002161, 0.066489, 930347.000000, 618.581787, 0.051731
9.000000, -15.082401, 4.014256, 102, 100, 4631, 0.000688, 0.021594, 2861585.000000, 617.919434, 0.051787
10.000000, -14.082401, 3.577709, 101, 100, 20159, 0.000157, 0.004961, 12447385.000000, 617.460449, 0.051825
11.000000, -13.082401, 3.188637, 100, 100, 88775, 0.000035, 0.001126, 54842816.000000, 617.773193, 0.051799
12.000000, -12.082401, 2.841876, 100, 100, 919709, 0.000003, 0.000109, 567639808.000000, 617.195007, 0.051847
13.000000, -11.082401, 2.532824, 100, 100, 11224128, 0.000000, 0.000009, 6934299136.000000, 617.802917, 0.051796
