Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.679245,0.000000,2.000000,47.111111,0.116275,39.113209,37.000000,46.000000,209.443314,6.695520,2.584906,2.000000,26.000000,3169.167969,0.442492,531.443420,0.000000,512.000000,15.414623,90.974136,2.716981,0.000000,2.000000,3015.111084,0.465101,6.886793,0.000000,7.000000,4.646575,1.178903,0.745283,0.000000,1.000000,42.936710,0.127580
1.000000,0.606838,0.000000,1.000000,52.732391,0.108841,37.470085,37.000000,52.000000,218.627747,6.720525,2.170940,2.000000,3.000000,3773.480225,0.389373,507.692322,0.000000,1.000000,16.135757,91.058205,2.384615,0.000000,1.000000,3435.354736,0.427698,6.504273,0.000000,1.000000,4.919842,1.166587,0.717949,0.000000,1.000000,44.571426,0.128769
2.000000,0.656000,0.000000,1.000000,48.780487,0.117816,37.424000,37.000000,38.000000,218.896973,6.721264,2.232000,2.000000,3.000000,3670.250732,0.400862,506.895996,0.000000,1.000000,16.161106,91.037361,2.376000,0.000000,1.000000,3447.811523,0.426724,6.496000,0.000000,1.000000,4.926108,1.166667,0.720000,0.000000,3.000000,44.444443,0.129310
3.000000,0.672222,0.000000,2.000000,47.603306,0.120661,37.366665,37.000000,39.000000,219.232834,6.707153,2.150000,2.000000,4.000000,3810.232422,0.385916,507.377777,0.000000,2.000000,16.145760,91.072090,2.400000,0.000000,2.000000,3413.333252,0.430790,6.438889,0.000000,2.000000,4.969801,1.155752,0.711111,0.000000,1.000000,45.000000,0.127641
4.000000,0.676871,0.000000,2.000000,47.276382,0.121479,37.418365,37.000000,40.000000,218.929932,6.715542,2.248299,2.000000,3.000000,3643.642822,0.403506,507.363953,0.000000,2.000000,16.146200,91.057541,2.367347,0.000000,3.000000,3460.413818,0.424872,6.421769,0.000000,7.000000,4.983051,1.152527,0.693878,0.000000,1.000000,46.117645,0.124531
5.000000,0.622366,0.000000,1.000000,51.416664,0.111558,37.403564,37.000000,39.000000,219.016556,6.704530,2.213938,2.000000,4.000000,3700.193115,0.396845,508.119934,0.000000,502.000000,16.122177,91.079697,2.410049,0.000000,2.000000,3399.101318,0.431997,6.463533,0.000000,1.000000,4.950852,1.158578,0.651540,0.000000,1.000000,49.114429,0.116787
6.000000,0.615819,0.000000,1.000000,51.963303,0.110449,37.365616,37.000000,57.000000,219.238998,6.701649,2.201776,2.000000,6.000000,3720.633545,0.394896,507.823242,0.000000,510.000000,16.131598,91.079811,2.388216,0.000000,1.000000,3430.175049,0.428335,6.497175,0.000000,1.000000,4.925217,1.165290,0.666667,0.000000,1.000000,48.000000,0.119569
7.000000,0.623740,0.000000,1.000000,51.303387,0.111884,37.344311,37.000000,39.000000,219.364075,6.698662,2.183337,2.000000,4.000000,3752.053955,0.391638,507.768250,0.000000,514.000000,16.133345,91.081291,2.394446,0.000000,3.000000,3421.250732,0.429505,6.492013,0.000000,1.000000,4.929134,1.164509,0.682969,0.000000,1.000000,46.854263,0.122508
8.000000,0.631863,0.000000,5.000000,50.643898,0.113319,37.351807,36.000000,45.000000,219.320053,6.698707,2.199291,2.000000,5.000000,3724.837646,0.394423,507.839142,0.000000,509.000000,16.131092,91.076332,2.388015,0.000000,5.000000,3430.464844,0.428269,6.496342,0.000000,7.000000,4.925849,1.165060,0.690830,0.000000,3.000000,46.321106,0.123894
9.000000,0.636451,0.000000,5.000000,50.278831,0.114078,37.360195,36.000000,56.000000,219.270798,6.696468,2.198367,0.000000,11.000000,3726.403076,0.394037,508.318665,0.000000,509.000000,16.115875,91.111404,2.382298,0.000000,5.000000,3438.697021,0.427005,6.503135,0.000000,7.000000,4.920704,1.165627,0.682903,0.000000,5.000000,46.858799,0.122404
10.000000,0.633633,0.000000,7.000000,50.502419,0.115741,37.202366,32.000000,56.000000,220.201050,6.795486,2.197509,0.000000,17.000000,3727.857666,0.401403,510.619476,0.000000,509.000000,16.043259,93.271156,2.381057,0.000000,7.000000,3440.488525,0.434930,6.512028,0.000000,7.000000,4.913984,1.189505,0.683246,0.000000,10.000000,46.835258,0.124804
11.000000,0.633323,0.000000,13.000000,50.527107,0.121434,34.289833,33.000000,61.000000,238.904633,6.574749,2.199249,0.000000,30.000000,3724.907959,0.421685,511.883636,0.000000,511.000000,16.003637,98.148804,2.405093,0.000000,13.000000,3406.105713,0.461154,7.292973,0.000000,13.000000,4.387785,1.398358,0.683730,0.000000,17.000000,46.802132,0.131099
