Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame, SNR throughput
0.000000, -4.771213, 1.224745, 274, 100, 106, 0.080778, 0.943396, 2664.000000, 25.132076, 1.273273
1.000000, -3.771213, 1.091555, 217, 100, 115, 0.058967, 0.869565, 2683.000000, 23.330435, 1.371599
2.000000, -2.771213, 0.972849, 177, 100, 146, 0.037885, 0.684932, 3193.000000, 21.869864, 1.463201
3.000000, -1.771213, 0.867053, 148, 100, 180, 0.025694, 0.555556, 3779.000000, 20.994444, 1.524213
4.000000, -0.771213, 0.772762, 114, 100, 311, 0.011455, 0.321543, 6104.000000, 19.627010, 1.630406
5.000000, 0.228787, 0.688725, 109, 100, 604, 0.005639, 0.165563, 11736.000977, 19.430466, 1.646898
6.000000, 1.228787, 0.613826, 106, 100, 1413, 0.002344, 0.070771, 27294.000000, 19.316349, 1.656628
7.000000, 2.228787, 0.547073, 102, 100, 4617, 0.000690, 0.021659, 90019.000000, 19.497293, 1.641253
8.000000, 3.228787, 0.487580, 100, 100, 17825, 0.000175, 0.005610, 348004.000000, 19.523367, 1.639062
9.000000, 4.228787, 0.434556, 100, 100, 103281, 0.000030, 0.000968, 2007670.125000, 19.438911, 1.646183
